Line,New_Trans_Capacity,Cost_Trans_Capacity
1,5.31924e-9,4.872834e-8
2,7.1714594e-9,4.788721e-8
3,9.498047e-10,7.360063e-9
4,1.8233209,10.212054
5,0.33049336,2.7736802
6,1.8131705e-9,1.4884994e-8
7,4.1539305e-9,3.295472e-8
8,3.744122e-9,2.8692714e-8
9,1.1323251e-8,5.9873905e-8
10,2.372549e-9,1.45940655e-8
11,5.006642e-9,3.9142147e-8
12,1.6599088e-9,1.2766057e-8
13,7.2511053,31.517963
14,1.2271273,13.015806
15,9.562576e-10,7.649843e-9
16,2.1390592e-9,3.4677907e-8
17,2.0137076e-9,2.0945857e-8
18,4.0347776,22.991463
19,5.364834e-9,4.6800984e-8
20,1.1012927e-9,1.8930386e-8
21,6.770739e-9,6.670241e-8
22,6.214017e-8,7.0689373e-7
23,1.3881964e-9,1.0889267e-8
24,4.8094706e-9,5.0907417e-8
25,5.0292315,34.18406
26,7.797543e-9,6.771087e-8
27,2.821184e-7,2.9563957e-6
28,2.5701108e-9,1.8121977e-8
29,5.1104236e-9,4.5630504e-8
30,2.1800158,25.271017
31,7.553839e-9,5.566312e-8
32,6.795761e-8,6.357854e-7
33,10.0,72.49161
34,1.1755754,12.318534
35,2.7069595e-9,2.448321e-8
36,9.48851e-10,9.044563e-9
37,1.4534854e-8,5.924039e-8
38,7.788218,45.467655
39,5.885094e-11,5.414175e-10
40,1.4000947e-8,1.7096805e-7
41,3.6516292e-9,4.6615284e-8
42,6.071912e-9,9.190866e-8
43,1.2805372,17.89764
44,8.302349,103.82995
45,9.642497e-9,1.6232796e-7
46,4.280799e-9,6.6815225e-8
47,1.690505e-11,1.9803391e-10
48,2.204616e-9,3.629121e-8
49,7.908648e-9,1.3912724e-7
50,0.43720528,7.9199476
51,4.829816e-9,1.12990094e-7
52,1.1350568e-11,2.3972016e-10
53,1.4351918e-8,2.2380975e-7
54,1.7979978e-8,3.0714216e-7
55,3.1273062,37.647964
56,1.1833632e-9,2.120405e-8
57,4.579325e-8,6.182566e-7
58,7.402917,95.6809
59,1.9149757e-9,2.409186e-8
60,1.6068272e-9,1.5456056e-8
61,1.90462e-9,2.2360329e-8
62,2.5231306e-9,3.070538e-8
63,1.0007548e-9,1.5836406e-8
64,9.79171e-10,1.8357577e-8
65,2.4445739e-9,1.6055388e-8
66,3.7801352,64.761826
67,5.290774e-10,6.1037024e-9
68,10.0,82.4684
69,6.2905463e-9,7.988428e-8
70,10.0,82.64922
71,8.2304325,85.89047
72,3.121398e-9,2.936617e-8
73,8.831733,124.78404
74,3.3064693e-9,5.3038413e-8
75,5.5858564,74.34547
76,4.1797657,36.288467
77,5.6192895e-10,6.2971783e-9
78,10.0,100.40602
79,3.0408556e-9,3.6916255e-8
80,1.3131776e-10,1.7477608e-9
81,5.066844,40.210064
82,2.9757576,38.831238
83,7.450464e-9,8.613355e-8
84,4.2068155e-8,3.6362317e-7
85,3.3028994,54.14519
86,1.1549699,17.561941
87,3.682916e-10,5.544069e-9
88,2.147113e-9,1.5964858e-8
89,1.7051787,17.245537
90,2.386677,14.7548685
91,4.947803,56.211826
92,9.776952,56.52179
93,10.0,115.54203
94,3.7944944e-10,3.921701e-9
95,0.07263122,0.6314277
96,2.3861506e-9,1.7286668e-8
97,0.71740407,6.084822
98,2.9313743e-9,2.3632232e-8
99,4.332647e-9,4.804186e-8
100,4.4410963,54.03988
101,1.5280774,20.612082
102,6.6638113e-9,3.894734e-8
103,2.9533622e-8,1.7207715e-7
104,4.0460014,26.156446
105,2.7386435e-10,2.339516e-9
106,6.1054993,40.524544
107,1.4643163e-8,1.5969731e-7
108,4.2045403e-10,1.5787573e-9
109,1.3213773,7.1201143
110,2.4303193,37.979263
111,6.9520736e-9,4.2269342e-8
112,7.8201632,107.6378
113,6.8379347e-9,5.3911872e-8
114,9.423643e-10,1.584465e-8
115,0.7674828,8.508094
116,3.1700606,43.372887
117,3.7166722,44.127125
118,10.0,66.95375
119,0.009938385,0.07867333
120,4.3329997e-9,3.4613826e-8
121,1.4836116,21.33964
122,1.1175161e-9,1.2986696e-8
123,1.1761212e-9,1.8058033e-8
124,3.3669807e-9,3.0389053e-8
125,0.024089416,0.20481965
126,7.6474593e-10,5.4131e-9
127,0.94016224,9.807567
128,0.106999986,0.9941988
129,1.6140192,19.07023
130,5.6227646,75.85866
131,0.57088476,41.452522
132,3.3076613e-9,4.466907e-7
133,2.0737558e-9,5.041959e-8
134,10.0,321.14584
135,4.5481333e-10,1.5254047e-8
136,5.1791355e-10,1.6224826e-8
137,4.2878273e-8,3.4450868e-6
138,5.7560374e-7,3.8458136e-5
139,6.5018966e-8,2.647014e-6
140,7.6270105e-8,2.2988654e-6
141,6.8874626,421.20392
142,5.3891565e-8,2.4761364e-6
143,0.54621303,35.504787
144,7.704559e-8,2.247251e-6
145,10.0,433.71515
146,5.04802e-8,6.3028274e-6
147,4.0416875,33.750565
