Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,Total
Sum,1.5411227e8,1.947122e7,1.5469493e8,5.902969e8,2.5241787e8,1.3004283e7,2.0939756e7,3.5249104e8,8.61191e7,9.9535304e7,2.7216928e7,1.6164749e8,1.8377814e8,3.4367478e8,4.7131944e7,2.962247e8,1.9322648e7,4.3415504e8,2.1220498e8,6.4582936e7,3.35191e8,2.2687736e8,2.288817e8,1.7436363e8,4.4432323e8,3.1740563e8,18.800003,1.9981448e7,3.2117648e8,5.572452e8,1.10703656e8,2.4697928e8,4.7205117e8,6.540609e8,1.6009402e8,2.6212412e7,3.950131e8,7.208763e8,351829.4,1.0255907e7,1.2973539e8,6.5737363e8,8.7322906e8,1.2637875e9,2.077846e8,6.078629e8,3.901086e8,9.447501e7,3.1312077e8,7.894743e7,3.315043e7,1.0613037e8,6.3818086e8,2.2510646e8,3.1762022e8,2.6195875e8,5.413622e8,6.679266e8,2.0763507e8,2.7907824e8,1.6193213e8,9.212363e7,2.2583472e8,4.3577664e8,4.5824272e8,5.863119e8,5.4986332e7,9.4606925e8,1.1655714e8,5.4619923e8,5.5934355e8,3.2485814e7,9.9073376e8,2.320173e8,6.963654e8,2.231295e8,1.0641977e8,7.851889e8,5.233683e8,1.26707144e8,5.862262e8,5.0988874e8,2.5079805e8,5.9387226e8,3.4424045e8,1.448534e8,3.577927e8,2.4208394e8,3.026469e8,1.9054403e8,8.433287e8,6.779437e8,1.00236954e9,1.1016322e8,1.6507973e8,1.6732038e8,1.8472874e8,2.3527269e8,5.6132828e7,6.510262e8,3.0712707e8,3.0991715e8,3.7009784e7,2.9907258e8,6.966019e7,4.1874182e8,1.5655697e7,4.720256e8,3.0623008e8,4.023478e8,2.1394163e8,4.5599194e8,2.5583301e8,1.9458107e8,1.00114136e8,3.4023046e8,8.863355e8,1.1759644e9,4.0106902e8,7.040005e7,5.1067734e8,5.1690788e7,9.427099e7,5.508174e7,2.1806392e8,5.0463804e7,8.221684e7,1.30221944e8,3.26672e8,3.400931e8,1.31948136e8,1.0170042e8,1.3728083e8,8.5091046e8,1.1677678e8,1.0970784e7,6.6777215,81.681,7.902194,5.104158,1.2141379e9,8.670577,8.323915e7,6.8288326,7.011351e8,11.804199,4.0926694e8,4.4714815e10
t1,52583.232581768454,23534.353739243612,36355.912832071146,59196.714986850915,5520.733430011491,25558.7499562212,21858.744057025142,47938.92565091562,0.005006410769234347,12999.131474801961,0.010604049625512165,48110.41757772077,40396.2836224066,2296.3422660164697,24393.489446294214,0.006221152180254823,10904.766527636975,39962.98941742164,27285.71077805779,47472.70540912978,0.0008435818613793314,0.0009446296128811276,25214.715666886295,33107.044711676004,52100.54508532572,81481.39986988298,0.003871749306298157,15338.516541017405,37288.48746023239,69505.79336599816,46096.332028169374,87787.02139488715,117054.89171716146,76355.40174028066,0.0007418046843333255,10177.8223758556,87470.98698074836,96340.12595596789,441.9889688007951,14619.39735464714,59892.09665088939,0.0008500318752954567,21056.03845494941,4209.690791959135,0.0011309081573584292,44580.02952765268,41548.89091604194,25886.56666386799,0.0013531346344100824,0.0016985766510051246,0.0011710922640357558,0.0008651195686329136,82075.48528728378,0.001747118641991613,52766.00303061567,64374.54962614926,330.17559769999826,152871.68939664285,65619.50227495783,0.002286812038513812,30755.463092002097,36641.41038626229,0.0008263800678503148,0.0008839753060850237,47281.218574976105,111997.54828171319,4182.078403975961,104780.96487560243,0.0013246739917681862,113825.56193784233,151113.8138674024,14794.630882261994,71386.34728272981,0.0007014188853575384,144359.36446457237,28961.369672041874,23399.73785674467,15962.209926676966,33737.47309164415,0.0009945222850470316,0.0009266870159461802,0.000767767561492797,78479.7169627176,3873.716926647578,88212.29007284681,0.0009363477159347174,0.0014414118220803305,4203.610975125406,80829.59989167753,28379.830080305546,108705.30297576357,120712.34670441152,158070.90112232315,33991.127254419735,0.0022360908894002176,13539.885138694344,28148.008069681924,0.0007695242958879468,21616.14924308389,111096.58949242886,0.001325944834313729,25014.238469246004,2318.1448122396278,32288.909919056372,8307.638892402425,91772.2930275828,0.000821201301118411,63299.900009571575,0.01300203070871944,98846.62160279251,3410.3707684428,127520.25296216493,17688.50156910622,0.000851192697095413,6209.522614295842,1893.5237472684166,86757.85051633778,143234.78766506558,55440.511909179935,0.0008734142107260468,0.0008212697489234442,0.0008874294182809194,0.0006665494579222205,0.0007697689556506224,19876.30929400851,0.0007514661430595633,24702.88666266169,17526.9613909273,31403.863389002534,131494.71222207136,10958.435065324093,7286.522060991441,18853.39122129934,57170.02265208653,23111.844504427936,1489.0689698163421,0.0007019427527116651,0.000867359957298204,0.0007751198102007949,0.0010339255574652215,0.001280899925570018,0.002095504570205847,0.0008865232329846565,0.0007865868172362367,49230.650080613144,0.0021552655675508114,0.0023482974435035196,4.962106481541065e6
t2,52583.23261859568,24005.18094728241,36355.912881780205,59843.63922590447,11043.918015195297,25677.137282069056,17141.133009124867,47938.92565084293,0.004579685164048311,13066.832816403516,0.01045286963363331,48110.417599627806,40667.92041005257,5757.394908931609,26868.469797315498,0.006888358187248504,10904.76629013968,39203.15363047013,27285.712229234494,44184.22614192845,0.0007731048318773097,3291.327403449366,26097.15599686434,33107.04468227154,52100.545063208876,81481.39986984477,0.0038720537934079963,15245.470396615134,37288.48817407097,69505.79336590605,46096.33209032567,87787.01948855845,117842.66595960392,76355.40169131896,0.0007548756134164962,5672.2779328332535,86429.24332720158,96340.12595595242,0.0009061985327131318,12879.323196461346,59892.09665081802,0.0008492974986493981,22215.341074237225,4947.923287835122,0.0011580706266579735,39664.43691284768,35319.68695190449,25886.55430166762,0.0009433615226135616,0.0016825202583575654,0.0008249068844658703,0.0008819169276990321,77450.05992779958,0.0009111013495535685,54179.43895168629,53250.45833489269,4414.319764896656,140214.9283193752,65619.49579251328,1690.3117735784524,39702.06159173422,23220.996666150306,0.0008616605945027204,0.0008334204963638352,59811.76079774544,111997.54845709431,7932.2489590473115,113086.50537773331,1970.9302461129218,113496.66341584321,151113.81179180555,14794.630875413144,62976.586059179324,0.0007822784331219789,138151.02516417505,29580.728514086662,23399.737703586616,12367.72312342472,27046.985458209612,0.0007360841961920339,6384.563627356291,0.0007292947747467189,78479.71699852448,0.0012364729852842216,97016.0596924184,0.0010066594433934426,0.0018558269043840927,6160.585872905343,80829.59983759667,25822.16019634069,95018.4987198873,122649.3535008032,158070.90114451075,29450.151490685515,0.0020567322042325704,24064.731193616062,14124.28945293411,0.0007327823659160075,21616.14922358417,83119.88042905655,0.0013519356902196582,8637.462680245835,2372.9703749037276,28003.183370758223,8282.519537307751,86396.82193171872,0.0008244432473793804,79891.93305126688,0.015570726694199497,98846.6215974187,14206.907971191471,118309.41043958017,22600.739450568035,0.000846932622063074,5500.779759315452,1960.350183971152,85967.1760712477,150852.3873822329,66221.25945061457,0.0010446983687821567,0.0009000584696678604,0.0008370992610390246,0.0006692423767982349,0.0008015296059204192,31046.08014812452,0.0007473678077012929,23692.77783004218,19454.68161614539,28818.124349947386,123616.94681304159,9414.085666815463,6620.218760152458,19764.081525561716,65681.73288472345,22666.938134870732,1493.364330222601,0.0006109231799455023,0.0008833556363715925,0.0007759309411588212,0.0010344461326844507,0.0010701029975808353,0.0020970982837135517,0.0009069788927948151,0.0007846740486723405,54518.03533326754,0.0021548347498391357,0.004169821586237516,4.921196900711989e6
t3,52583.23241249696,27870.772112147486,36355.912599465155,63768.03190302247,22685.548980061183,23813.87668259833,7098.186823199664,47938.92565082632,0.004598709738953596,13570.541790701742,0.010434886615538761,48110.41748046487,40660.88238333669,0.007484060631093139,26497.95526070678,0.007494503901985911,10904.75979764689,39326.73975557406,27285.71080181323,35436.49264766936,0.0009722901447700834,7067.899381726165,26997.503588976157,33107.04470570393,52100.54508368942,81481.3998697366,0.003871532212930938,12090.464032529513,37288.488152977894,69505.79336584275,46096.33171059285,84175.40870749405,115140.09135846193,76355.40149647598,0.000850680480308723,1876.860383339001,84886.52362542009,96340.12595585187,0.0009539667726283763,18918.067641461264,59892.0966506799,0.0008616965306097085,20572.243759060002,2493.3047645803204,0.0012040683428466985,36692.821749871,30540.136232572804,25886.554913992833,0.0009435330036545919,0.001712851098001866,0.0008287292576469709,0.0008782637288179816,74094.21344380754,0.0009050028763199208,63387.107779401565,45902.34169969599,6295.982210936837,129588.3063211117,65619.49820351729,6352.392948617719,39601.503520174294,15410.875514083174,0.0008635679632065181,0.0008643298799799921,65913.16981040496,111997.55075940708,9665.286373042547,116090.77861613277,0.02643154430579785,115457.54112334778,151113.81727814538,14794.630867476106,62663.0077644595,0.0009610949507562758,142159.39669742744,32578.686697671237,23399.73780016421,10569.291168851305,25203.936838270103,0.000811765898895493,8844.171236137972,0.0007777531659688832,78479.71760724629,0.0016961160567434323,97016.08332859272,0.000989241710905427,0.0019705428440919726,4530.038654993573,80829.59987590765,25659.292283461054,81994.07831143016,122649.35314637485,158070.90117509622,16245.29120571435,0.00985090012717018,24838.53707344565,12443.955982737021,0.0007753837914992331,21616.14914584748,52931.433652238105,0.0013456509608063038,0.0021960609222523397,2534.4937060765924,25673.754214469973,8389.458910858166,83184.72856691641,0.000825706155922109,86555.05679487145,0.002348582505635698,98846.62160169178,15853.512400944575,106943.92531802873,22005.078204351812,0.0008448656990429466,5094.4203232129585,2028.0509084515525,92371.81502339944,153517.94244698228,66221.26301388974,0.01759574761060024,0.0010489146339846928,0.0007715224858601466,0.0006950323562187638,0.000769675094061153,31319.87082137323,0.0007428898966294985,23152.00316175709,20018.365243250308,24436.097009521058,115708.67215445315,8264.634866338956,3460.2277363569688,26503.827371413037,75070.25488809493,23543.216857904692,1504.25873587067,0.0006450256251057651,0.0009489014076592569,0.0007885098169513347,0.0010337002935373973,0.0011260351984457508,0.00209464199567116,0.0009747244845168086,0.0008153086610746073,60646.71430643498,0.0021545432868581437,15578.176825968481,4.855847321494075e6
t4,52583.232494987824,21818.957028560526,36355.91272358675,58070.59052934885,29899.2776442082,19561.128275351326,16103.741569724334,47938.92431595461,0.0007742670793929505,14722.789618320687,0.0017258135151170249,48110.417523590484,40512.99156654937,0.0030158393043091584,20167.3368435705,9724.27432560587,10904.759471844236,43255.0046437771,27285.711115267128,30903.523805698856,0.0010583298661983886,14145.98719643139,27633.223259924285,33107.04320276677,50014.052803802595,81481.3995923578,0.0035818981282113873,5706.960142241071,37288.4881109061,69505.79144907737,46096.331922734025,82721.03744336983,114140.89784714962,76355.40139929419,0.0009216145997164319,1656.1057920737815,84458.63847444244,96340.12575046248,0.0009656380390379608,27432.28057708009,59892.095051111224,0.0008574385306320217,17856.261249140625,441.6544589515839,0.0011495675736245775,35293.415917184604,30078.59112268733,25886.555209186547,0.0009377565425396047,0.0017232734914519562,0.0008303753208676704,0.0008762187960088146,72448.20246876281,0.0008888264397661238,62557.61600720547,42066.81957282636,7392.717225114946,122667.67367516532,65619.50113376457,10712.546904108838,34045.15855059905,14774.462662367005,0.0008375919933564774,0.0008570376265564739,67083.95336174766,111997.55067685428,10421.22836581087,118694.30452232479,0.0022903853756606612,115635.17465357645,151113.81724997284,14794.630860936923,48729.52119224797,0.0008567605073283585,130984.47674407427,35996.255840939455,23399.73785672466,10206.344960495211,12215.697797599692,0.0008157511412555968,17747.919013820727,0.0007653133113927045,78479.71756390018,4538.695231686374,97016.08319266647,0.0009774177472520447,0.0016205964890168433,4065.5460734063695,80829.59989752552,24685.03538506676,59865.88953135381,122649.35307560378,158070.90120436,18693.738674981105,4964.5280624074,21758.256265937947,10289.651765040191,0.0007645900351955314,21616.149235243105,45227.891529123495,0.0013494048423646043,0.0014110040946641725,2536.149872464028,21510.051014472916,7775.095330066246,82026.77710114903,0.0008255857478357953,86223.60088406739,0.0016500835003162135,98846.62160262205,11695.443317921088,98993.54190621876,17752.153034251714,0.000845812835876053,4864.550490255428,2243.2773344619613,96147.48425459706,155522.2146923522,66221.26302652717,780.9773498143733,0.0011866548923952901,0.0007734272247244445,0.0007057198228292728,0.0007910089885143578,30801.91132956168,0.0007416588713543728,23070.642986185434,20709.551717455608,20066.860376385597,107424.24890460126,10392.136017079862,0.006553251530067378,25586.765368653625,86387.44148870531,24803.578032924794,1527.8730478866719,0.0006492276407200421,0.0009527179355284857,0.0007904759880466331,0.0007917695315524296,0.0011233763071509249,0.0008595519820270657,0.0009786467582069127,0.0008331133349137288,68828.5040367542,0.0018022242135216375,22316.82832136949,4.794562856999489e6
t5,52583.232468970586,28468.652522090404,36355.912663878924,63286.04473440361,29899.277884370378,0.0014708548289989365,12091.915716202671,47938.92420371671,2035.5242269282683,18820.35532087521,0.0017908400965363411,48110.417514899396,40472.35759473819,0.0011057788224303614,28903.313158799487,7884.347713823679,3481.1646624075615,37399.36629630207,27285.711162880198,27104.000645334483,0.0012752207239357623,16735.098321860405,23998.629550464946,33107.04356489859,34546.44925221725,81481.39949020147,0.00351585199469855,0.0008517509677540452,37288.48809961424,69505.79133466241,46096.33182074314,84871.30783737678,115492.0228691664,76355.40096798945,0.0011142291129208268,4838.028398367324,85605.13949557164,96340.12573103028,0.0009663597312384632,8054.708628847122,59892.09507227095,0.000854014643259858,18166.44364331179,293.7583300833438,0.0011502362020802636,35837.34098069209,28609.213895525274,25886.555020476844,0.0009354875694206508,0.0017337142249104723,0.0008283989393730923,0.000875124665193517,72283.60138036485,0.0008843159317792026,63877.56171120018,40994.36060059243,8019.940247063262,121986.8355052345,65619.50116855423,17378.191646242933,39384.656674953105,1655.3244261198793,0.0008372275188437996,0.0008619704473842816,73389.09258444593,111997.55075114167,9460.56703753707,125250.34053660466,0.0023099231550567562,115145.77063004002,151113.8173254369,14794.630854565132,55332.431580650074,0.0008367423452319224,135086.31520789082,42596.163929337716,23399.73785977479,11173.452914939116,18488.074595622063,0.0008165506945608229,12814.843636884494,0.0007657628246578849,78479.71760180745,70.81501055495535,97016.0832889472,0.0009784764915489216,0.0013694910564749465,4873.097574248518,80829.59989900081,26555.241798694657,78768.02114487004,122649.35318781894,158070.9012026228,15630.754822833691,0.0036659251532999066,21528.593006436062,17339.733882104316,0.0007663494145055947,21616.14925018139,58001.77606419158,0.001357691598355831,0.00815797249795237,2382.1012560501326,22519.53415983566,7913.284266730679,80898.76047174688,0.0008274857692504725,80180.63604047826,0.006442044254015128,98846.62160641335,11194.066425419178,97191.57563304716,12922.103899760892,0.0008483633585298093,3401.365755932521,4590.033530090719,101964.08144537023,160104.80495984666,66221.26305140115,2329.090120144437,0.0012112065062679003,0.0007740876958017553,0.0007399045260091182,0.0008114374245087039,29783.009796491537,0.0007418893499407211,23760.69604574438,20709.552053408173,17543.74326276461,93505.46808932857,10670.371413043249,0.006448326299697627,26815.050560663632,75222.31876688759,26098.075868420856,1548.3815120796232,0.0006510646774002729,0.0009328697608888297,0.0007836885865608718,0.0007640238560376661,0.001165421597418137,0.0009600457330649511,0.0009572092343300535,0.00080765311451847,61675.83149470101,0.0017859986428113146,25882.913151948203,4.773669295702232e6
t6,52583.23209496081,24435.416309418044,36355.911415877774,59498.60821445849,29899.278319014724,0.0007065442297656231,8184.867270819035,44615.17194507032,8635.345223263881,27804.70775427982,0.0013391311830912613,48110.4173634694,40379.113002464226,0.001121884186096823,24822.590535526157,13008.115905579234,4296.218052585044,39952.12174168662,27285.70733190996,6241.626354823732,0.0012464906233977456,19330.454952394648,17641.40088337233,33107.043607636006,33461.85790974124,81481.38901061435,0.0018297186234210172,0.0007624215935645301,37288.4881178963,59220.15902028578,40883.98153704236,76951.05405809799,103566.45483276679,76355.40100724378,0.0010824526581693296,0.001493230734806893,82847.81610866865,96340.124195573,0.0009134290613306199,0.005364376980537804,59892.09201820348,0.0008555643177393396,14369.737397953753,11.479249585597016,0.0011479876610686964,36929.13032737582,26466.50465320428,25886.554399886827,0.0009326632479815934,0.0017751197208836936,0.0008204179804405066,0.0008758075927739276,73057.01319187667,0.0008728973339554615,63541.344934435474,41077.550080608424,9294.18201209849,119478.40854088191,65619.50108387946,20933.618012408642,38055.784626384484,0.0013833485550882297,0.000837420020266986,0.000977758208941188,70663.0953122053,111997.54888339835,9753.761586784836,121013.77432261397,0.0022374677959234135,105572.0057112707,139584.08603110883,14794.630856994894,57403.231596252495,0.0008319828998687744,134114.3542215325,46732.10631796003,23399.73785886859,10679.804301153146,23333.68941538439,0.0008154279889406983,7410.828142207947,0.0007823712067505372,78479.71695886049,150.6917387745658,83326.8821815997,0.0012665505125104308,7381.422410332016,0.03580394112433539,80829.5998984367,27444.02150652471,94127.84574762324,122649.35557353206,158070.90116713836,15385.119816238186,0.0021688429028826734,11839.170135785434,26599.308824002306,0.0007706586544932578,21616.14910223979,77896.2937397734,0.0013725928224336008,12406.191510937913,2412.946153140633,26053.527043617647,7707.767832954951,79418.01859057047,0.000827440709355098,66009.62812074707,2657.5359288986783,98846.62155392929,0.011386690548105788,101681.83942832531,12255.41814261639,0.0008545071857210248,414.6126935278889,9847.525080840602,88914.85039018875,155287.92215843478,66221.26257186852,0.0025215239388381677,0.0008986425398101446,0.0007857081059601824,0.0008484820624678179,0.0007611988069800557,29169.732426452872,0.0007475991366853577,25431.288154893748,18201.214199779613,16205.343484562185,83778.73515486777,13826.518978677555,960.6597884551297,26529.089732858924,59977.84424147435,26699.45939611838,1551.564466239502,0.0006506657558516827,0.0009332895301776521,0.0007798150534772554,0.0004906194970010646,0.001163227621489361,0.0008695151929118578,0.0009580381215684122,0.0005642110128695305,50684.95823567945,0.0014645252932184967,0.006487435979745148,4.614598289806215e6
t7,52583.231620755396,437.2713370174379,36355.911776078916,37066.724372126766,29899.269843818587,0.0007373584714758032,0.0020200434746101095,37991.645927524216,1958.2303528894117,22166.12059226945,0.001928103728581377,48110.41728719824,39687.25025624491,0.001387102742659046,0.0037373302878103603,42195.26360144062,9244.485421200803,55070.92148194901,27285.70457851147,5312.189857525008,0.0010457082256042339,27157.078602716138,20115.720907261264,33107.043856871365,36422.07532910773,59255.068973051464,0.001981287189340889,0.000777922907358721,37288.48814514876,62898.75736289098,111.96956586018104,43576.78050673562,35609.477725853074,76355.40111229508,0.000990327317184315,0.0012353169252005273,70823.89206786128,96340.12368562179,0.0008986126873448553,806.4441646168505,59892.091148257794,0.0008330177736691134,16574.407666384443,0.0008096534384167034,0.0011477953390638981,40374.695592991644,21192.45000314698,25886.56667179299,0.001370642239462372,0.000808062078575356,0.0011894195174960303,0.0008654000904381168,75349.00796651996,0.0017498267501773162,43613.14777514689,49390.182696733376,6242.290058828153,131659.024192707,65619.5024465946,29551.171903036007,0.000792029750219299,30343.739400888273,0.0008314489014675581,0.0007804476246221327,47241.914206278256,111997.54920440038,12094.52296475398,110767.38236499904,0.002295241950168259,27954.15956404252,41328.070473018444,14794.630873317723,29828.086848933166,0.0010500506058648239,109563.7581077212,55408.207864962045,23399.737434961757,7716.280796049341,5860.209113365668,0.0007508716792574232,18277.91176993266,0.0008285115921974045,78479.71707074123,27016.037602527944,77443.22039333388,0.0010014762146836169,0.0018704733749733446,0.0007057645542480779,80829.5997683769,33299.84908543806,50052.34193944416,122308.10792542734,158070.90125583517,43161.54956533627,0.002021706080538479,22931.5690183801,12787.22056683175,0.0007211583151919319,21616.149185428152,124047.67571258073,0.0013425266676332372,32501.455882791957,10055.970417251892,26915.176283195386,4995.422261269984,88410.83918418524,0.0008167788182744988,34348.06830350667,17169.044525629026,98846.62161440623,0.017097332908157226,147803.21316959363,28541.81896376679,1340.6988262284551,0.0009185910608691609,13690.601871511873,92926.68964629047,161343.9828090238,66048.69586414602,0.0007831252095290922,0.045927227953813876,0.0008869042229172897,0.000990746354577896,0.000708613319638234,22943.831251845284,0.0007400548341853408,10019.302760249826,20444.95381311672,16724.625354749904,67013.3719259994,10367.477226644409,0.0010635913413386698,15255.431461103717,28644.90590475642,28474.19696107718,1617.050782375073,0.000627282325443265,0.0008703821466483182,0.0007744667539068039,0.0005356240687337462,0.0011184883519957255,0.000886574901610594,0.000893218000832845,0.0005855263654717607,26760.658221089503,0.0014940152032130688,0.0012320903565119581,4.182401823252965e6
t8,34945.206296630764,0.0008387750302702104,36355.911700203265,44342.40929424503,29899.283128131025,0.0007221197991650888,0.0014035774262695037,39396.0821771005,0.021698903517465732,21953.59170485198,0.000807106154951529,18913.040128702647,14139.420429424472,34071.45303853774,0.000819056497179209,42090.21626110868,0.001123628263984484,52489.30540752857,27285.711768616402,7678.4250680643945,16800.764190207632,34263.58354119938,22831.609286342642,19647.389871633943,48855.3618338788,46280.03257597506,0.0021567171433575106,0.000905806155874516,37288.4882124495,69505.79033438346,0.0026143840376512133,868.7692688749501,0.002684380618996056,76355.39708050716,0.0012218861288596753,0.001541596010563211,55259.60209051978,85711.29348219217,0.0008609217927522084,0.0008678537399827793,50340.63213703649,0.0008466423610405467,20452.12839274457,967.4849179096177,0.0011997585232649338,43052.525511048065,19796.80166897516,25886.5668457748,0.0018699109539674884,0.0007726114809832196,0.0014920749795915727,0.0008582376266116909,78869.67645147801,0.0031329480395334485,43573.96982277599,58976.518418162166,1901.781004643976,147578.6370152104,65619.50238524548,49645.667086180445,0.0009504275554809704,6186.191350875946,0.0008448586916353349,0.0008315955368024902,31968.0191212966,91233.55297337299,12094.522781786156,81609.57476816534,0.0008022473812382291,0.0007601622312463956,6442.072842889744,14794.611513905655,43712.27050319639,0.0015747771843950672,127536.92416374621,74541.13743587879,23399.737136122483,13770.966190852221,7512.502213996926,0.0007939407504329618,16026.686255852685,0.0009319098238339273,59715.983952036324,12281.917489698584,0.0011943028863293783,0.0009979964249509912,0.0014667691483522746,0.001272269813553641,80829.59969377135,47636.345235910405,73692.26349200051,111448.475281989,158070.90119323213,43161.54974605024,0.0020891968127738697,34839.16861686945,708.9211285049994,0.0007672285265907383,21616.149225607754,140804.81855432846,0.0013366353314773324,45590.227079793265,18998.342274200684,26728.147791581378,5283.703702698191,89225.42287800032,0.0008206145194280532,10268.404391672637,32097.344509127823,98846.62162866234,0.014200075525951993,154891.49097053974,44195.29316857777,38182.71349387405,0.0008319787103323375,48449.64114730103,68223.33470696337,138138.1320258024,57825.35291933618,0.0008412335477926028,0.0010644522904152017,0.0008751711418314574,0.0031717159223886827,2285.630184017923,27444.419679405306,0.0007579565738020628,26938.918600573827,20709.557537515455,14296.114978822394,53289.16266861492,9667.16593721061,1997.1137416264955,15279.277679093751,0.0007600871043946842,32029.308173558235,1751.9517929605524,0.0006328641182719247,0.0009026870094750182,0.0007741894317462878,0.0005453816233455955,0.003479598768666855,0.0007823452338985361,0.0009288665555693892,0.0005754274902416388,0.0007208707345545384,0.0010153372823417275,0.0009705749568219066,3.9421577880566064e6
t9,0.0036189736573243843,0.0007970115370876703,36355.911434030575,63499.94719826393,29899.283115206206,0.0011795450533297182,0.0014694484044196216,40169.10042448141,3620.0996249454633,18630.859797955025,1247.1748337804354,8468.603785109675,8464.234753260345,45867.24066119381,0.0007989001632374704,40696.75675239356,0.0011081109621948549,50877.1297014532,27285.711388818603,0.0025603022943873227,23272.0366133568,27068.50114555805,23493.29482578493,19465.26786157728,52100.544267441786,34131.7967990726,0.002159935374482687,0.0008432801098680222,37288.48822446272,68267.31216890595,1193.0851804266515,0.0010300745290494728,993.3116119341723,76355.39698783112,0.0008974768377696083,0.0007629010221041683,55796.99830932801,96340.12509375026,0.0008562780177670049,0.0008463404058306444,14128.841607088885,0.0008157232657951366,32325.589027965256,8211.461286263375,0.0015061793945456137,16695.90510050038,15305.525369094697,25886.566871835992,26592.760479972207,0.000858120366959692,0.0019159296510766351,0.000877803495325132,67992.67064125968,35651.34428334957,37837.810605787774,0.0022101098484948057,18822.103741529496,105643.5505127081,65619.5029581486,49023.56157695698,0.0007830582251936133,8618.394750349695,0.001286464329845699,0.0010319589194867156,19965.765359125755,0.0009905374086268907,7407.113238414724,0.0009520208335457562,0.000782377674256223,0.0007616101697735481,7718.602710109378,14794.612161483885,11728.127425681188,0.0068432456306979856,85080.88593185035,75049.04940095622,23399.737721590143,4785.490396630773,0.007331152359194531,0.0008085933113177112,16428.763297293863,29402.958960141656,55038.827089433835,26786.74949619805,0.0008060018484344336,0.001322137292483823,21450.012514283844,0.0008088972312426512,80829.59987685141,34177.87739305653,68005.50291257912,122649.35568270396,158070.89914710927,43161.549716124144,0.0020826045901478326,37119.797241372806,1307.7884328102978,0.0007567037687105345,21616.149156437867,140550.3151768345,0.0013450965391665808,46279.472718485624,18892.464770180362,25267.662497649042,5438.460941653422,88111.07622801697,0.000820689407718529,14262.872749195354,25309.624791963226,98846.6215953606,0.01295202755034402,154783.92586986715,39521.604386410545,52589.66683648199,15632.029366117222,88895.4229782684,96008.62705510674,84884.44828560436,22649.963485316923,9613.591778220625,0.0009342713708964769,0.0008856530400191034,0.000841446912275967,0.0008208484895349004,31320.23667268686,0.0007749096303066862,24284.759314969324,13980.115619932962,9813.307616053708,73378.32910640824,0.0009246712600372686,15938.091841288495,13832.032913268458,1778.667600746627,33456.50676259411,1931.865126581093,0.0006581695089335775,0.000916778327623397,0.0007745943641531071,0.0005456217579047251,0.0011597916721914534,0.0007611001838080326,0.0009403299843113677,0.0005872341559669785,1753.2380132856342,0.0009288403003224411,0.0011491959611285864,3.6341841019149995e6
