Line,New_Trans_Capacity,Cost_Trans_Capacity,Line_Max_Flow_MW,distance_km,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
1,5.31924e-06,4.872834e-08,4362.853663,192.8397702,DE1 0,8.585665972,49.23105928,DE1 11,8.059747295,47.88802187
2,7.1714594e-06,4.788721e-08,15060.90012,140.5648017,DE1 0,8.585665972,49.23105928,DE1 12,9.580929922,48.46048444
3,9.498047e-07,7.360063e-09,3566.015485,163.1217338,DE1 0,8.585665972,49.23105928,DE1 18,6.961294781,49.74481059
4,1823.3209,10.212054,9117.540976,117.9002226,DE1 0,8.585665972,49.23105928,DE1 7,8.614807726,50.07909121
5,330.49336,2.7736802,2377.343656,176.6681518,DE1 1,9.745630895,51.04223934,DE1 14,11.75030038,51.22456746
6,1.8131705e-06,1.4884994e-08,2377.343656,172.8122916,DE1 1,9.745630895,51.04223934,DE1 15,10.35871363,52.2258987
7,4.153930499999999e-06,3.295472e-08,2377.343656,167.0025114,DE1 1,9.745630895,51.04223934,DE1 7,8.614807726,50.07909121
8,3.7441220000000005e-06,2.8692714e-08,4754.687313,161.3192882,DE1 1,9.745630895,51.04223934,DE1 9,8.718996773,52.01133541
9,1.1323251e-05,5.9873905e-08,2377.343656,111.3092027,DE1 10,8.442956595,53.18344976,DE1 16,7.383087925,52.70033778
10,2.372549e-06,1.45940655e-08,3971.020013,129.4868617,DE1 10,8.442956595,53.18344976,DE1 5,9.656115621,53.77222271
11,5.0066419999999995e-06,3.9142147e-08,1593.676357,164.5745525,DE1 10,8.442956595,53.18344976,DE1 9,8.718996773,52.01133541
12,1.6599088e-06,1.2766057e-08,4754.687313,161.8963819,DE1 11,8.059747295,47.88802187,DE1 12,9.580929922,48.46048444
13,7251.1053,31.517963,3964.434574,91.49946478,DE1 11,8.059747295,47.88802187,FR1 17,7.098681163,48.02632462
14,1227.1273,13.015806,2377.343656,223.2780571,DE1 12,9.580929922,48.46048444,DE1 19,10.72308407,49.88281742
15,9.562576e-07,7.649843e-09,5551.525491,168.4000708,DE1 12,9.580929922,48.46048444,DE1 4,11.39973609,48.35883243
16,2.1390592000000002e-06,3.4677907e-08,2377.343656,341.267308,DE1 13,12.50484475,48.81759488,DE1 14,11.75030038,51.22456746
17,2.0137076000000003e-06,2.0945857e-08,796.8381785,218.9607842,DE1 13,12.50484475,48.81759488,DE1 19,10.72308407,49.88281742
18,4034.7776,22.991463,4362.853663,119.9531437,DE1 13,12.50484475,48.81759488,DE1 4,11.39973609,48.35883243
19,5.3648339999999995e-06,4.6800984e-08,2377.343656,183.6383195,DE1 14,11.75030038,51.22456746,DE1 15,10.35871363,52.2258987
20,1.1012927000000001e-06,1.8930386e-08,3174.181835,361.8439804,DE1 14,11.75030038,51.22456746,DE1 17,12.62697015,53.77264365
21,6.770739e-06,6.670241e-08,10698.04645,207.3815449,DE1 14,11.75030038,51.22456746,DE1 19,10.72308407,49.88281742
22,6.214017e-05,7.0689373e-07,7132.030969,239.4673588,DE1 14,11.75030038,51.22456746,DE1 3,13.55352574,52.53973418
23,1.3881964e-06,1.0889267e-08,6348.36367,165.1248065,DE1 14,11.75030038,51.22456746,DE1 6,13.6417236,51.1474873
24,4.8094705999999995e-06,5.0907417e-08,2377.343656,222.8170537,DE1 15,10.35871363,52.2258987,DE1 5,9.656115621,53.77222271
25,5029.2315,34.18406,796.8381785,143.0825182,DE1 15,10.35871363,52.2258987,DE1 9,8.718996773,52.01133541
