Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,Zone27,Zone28,Zone29,Zone30,Zone31,Zone32,Zone33,Zone34,Zone35,Zone36,Zone37,Zone38,Zone39,Zone40,Zone41,Zone42,Zone43,Zone44,Zone45,Zone46,Zone47,Zone48,Zone49,Zone50,Zone51,Zone52,Zone53,Zone54,Zone55,Zone56,Zone57,Zone58,Zone59,Zone60,Zone61,Zone62,Zone63,Zone64,Zone65,Zone66,Zone67,Zone68,Zone69,Zone70,Zone71,Zone72,Zone73,Zone74,Zone75,Zone76
cH2Total,1.6719392787877459e10,2.4111648008263093e8,6.007189771004503e7,2.6475093827165562e8,9.025286952127492e7,4.0619435266558087e8,2.2022241201395768e8,2.2067638839553788e8,2.0566026095224884e8,1.0131845031665626e8,5.039122997533692e7,1.660565736810318e8,3.0740310639821917e8,1.9318694961294502e8,4.813085264830796e8,6.684427657630461e8,5.320798118857756e8,1.2016283620307136e8,6.615313929234937e8,5.545189031060532e8,1.0968659495108007e8,4.084341794711227e7,4.090026229299233e7,2.724893975094261e8,2.508248267558733e8,4.2826072373030347e8,3.9569265580072415e8,1.1960431871401587e8,6.327447419976817e7,1.8403416883501574e7,4.1117059844925845e8,1.930154718274379e7,3.980600100494923e7,3.6480082268137224e7,8.50541033249821e7,2.2233943547499247e7,3.421073747757761e7,7.370957491159996e7,1.933000955789896e7,1.204273559312915e8,4.951891054179584e7,3.850190084554163e7,8.539994989230533e7,6.83332877333405e7,2.347519041868275e7,1.3808891190033463e8,1.0322831586099896e8,5.897541017186886e8,3.378305128193404e7,1.0394545303428455e8,2.5846836831061608e8,1.381717516871559e8,1.7089515725831024e7,2.0964907315380085e7,2.6135809787591524e7,4.439992163191293e7,1.4434636869154563e9,5.403897978107207e8,2.2616541408183116e8,1.3899467737222964e8,1.3933502496495938e8,1.5197531931891242e8,3.064384367034122e8,3.3201740199486244e7,1.2725337526071742e8,7.839397273285115e8,3.875024604822921e8,2.4022413039167163e8,1.3079303389797917e8,3.047332465014992e8,5.2366069163015616e8,1.4446229280369183e8,2.9807563815011704e8,1.587781128037349e8,3.035380893004943e8,2.248033376409586e8,2.2535501822984028e8
cH2Fix_Gen,7.600344879936537e9,1.5112217907840216e8,4.011890407015791e7,8.653816140322046e7,5.422268957031896e7,2.0304898071363786e8,1.2534024385340686e8,1.3190924247134209e8,1.1998948898643215e8,3.3134638184458233e7,3.519439523100172e7,1.0300720308841695e8,1.701947277648697e8,1.2227707482563883e8,2.004761480962393e8,2.6883946358777565e8,1.5189042496422336e8,6.908963255721946e7,2.811668824799823e8,2.7183887880190706e8,7.575884451749928e7,2.6531346673951257e7,3.1923159302350778e7,1.1365384261995803e8,1.0224079798125687e8,1.572668921149048e8,1.475066512736592e8,6.496015784327929e7,3.0915057944678783e7,1.4510700225369466e7,7.911852041126892e7,1.3330415559429167e7,1.5985887674205739e7,1.4277398695533391e7,3.1910353090018723e7,1.3048251513457153e7,1.3731453361136284e7,2.6674880143582433e7,1.3796074853472345e7,4.579230884085851e7,2.5518747221478168e7,1.7226081678371362e7,3.1739819163756028e7,2.0451503779824838e7,1.494123799782862e7,4.515846868744136e7,3.692503728357701e7,1.619538325100845e8,1.5459550936859008e7,3.829430424238526e7,1.3099263911274846e8,5.835424552320754e7,9.736654185629938e6,1.3041569337681811e7,1.6505581051784806e7,2.2337289560371675e7,5.915277435329496e8,1.7902954957337755e8,1.0119094065201284e8,6.77101813333246e7,8.687130901547372e7,9.739517543512592e7,1.1312430195669274e8,2.6316391082367823e7,7.538162245571308e7,3.7578808700239664e8,2.270528576086925e8,1.2638912826832479e8,8.115802198022573e7,1.536758528961956e8,2.1514309408087933e8,9.442028126751502e7,1.751573210041913e8,8.95752638265991e7,1.5842102032704082e8,1.5022745401940086e8,1.0382036597647718e8
cH2Fix_Liq,5.00761346858229e9,883111.7115454434,162079.14148660432,1.2403007291931324e7,4.261610612405347e6,7.203138647963502e7,3.1840848387943645,1.1915626302397827e7,2.864317481281194e7,5.007108064028075e6,1.3646806306510386e6,1.0368278343680264e7,2.227256110566992e7,1.6470458781054905e7,1.7515954026208407e8,2.1384915945487556e8,8.076003396160835e7,8.192851609572711e6,2.2737228117843965e8,1.5754759758947203e8,3.4480418232769333e6,8.909496777795158e6,2.7327844582149447e6,1.3683683759160644e8,1.2843636421976319e8,2.387507876737865e8,2.1680353772410598e8,3.7249365409509934e7,2.6281276079075802e7,1.1161980145852556e6,3.149262526397636e8,2.1092950078272074e6,1.9124653996920664e7,3.1840416926804016,4.685512594658908e7,5.631839295261872e6,1.787266927417538e7,6.042920021568722e6,3.1840206892670206,6.133188625496849e7,1.0184532314904636e7,1.7882671617042065e7,4.785676776401998e7,1.5758650763304984e7,2.921679197740144e6,8.319705053737336e7,5.857672742706357e7,3.733045619946556e8,1.5094933528797988e7,5.769572711184673e7,7.63605931934221e7,880523.7176241168,3.225324204422767e6,3.902727520381951e6,5.108469841131834e6,1.287209947944672e7,5.846278020831081e8,1.0580297736745368e8,8.606954718820998e7,4.835926851897432e7,1.6693432037157983e7,1.2230402295018096e7,3.585481788630543e7,201411.84350207628,2.886340803636594e7,2.4245347752898157e8,5.787072767256019e7,5.244521596596934e7,5.681110259840702e6,8.321838681559107e7,2.0614512263273552e8,2.471702856858641e7,5.7351953983858086e7,4.809387773132196e7,1.0232678056166099e8,2.3746741951682e7,7.691304834593207e7
cH2Fix_G2P,5.087879412092478e6,5.348848166794926,5.414637667470436,532270.3383705417,5.368553007472797,5.4435142605398195,5.424212526878213,5.453444286130269,5.437701706963566,247823.82556779092,5.527000780113602,5.379683926322335,5.417596489622132,5.429864792672851,5.771338405796955,5.993598879750926,3.554519762590568e6,5.473377841376058,5.74946362980837,5.4700180945908015,5.431772355459904,6.195640520290484,6.55709840115255,7.232501366725893,6.7897791962456155,6.079105853688573,6.4454886443528485,5.973390804983356,6.996199214021126,7.088175770269527,8.90836843432957,5.5690758752286635,5.6823446919391145,10.73395388125989,5.55553672606408,5.69639482645519,6.15142355214625,28127.42936918822,5.451093528577908,5.713073729127353,5.417187037651245,6.378784130929197,5.73324219857969,371950.9911820664,5.414695552950781,5.814123076899751,5.820581161202484,5.456283078909224,5.93738670400096,5.868823738983634,5.677523178655255,68.18947562074717,5.665511641917661,5.840265715428921,5.858400747824594,5.788926156043595,5.656378766402796,126.16580002504242,5.646721849595909,5.672770118095702,5.614396512765834,5.6525214816187646,352576.4675791114,6.028285703819573,8.67175561083307,5.7182819318636415,5.823536374575333,5.833506558451916,7.011335695127865,5.947251222360974,7.083852539028255,5.664054427933249,7.486674234621445,8.198877538884034,8.682113583824433,5.778716917067012,7.046120540033844
cH2Fix_Stor,6.402736874309194e8,4.826041808378334e6,950288.3999673313,1.5003947427506496e6,1.345840045914715e6,4.457534546460969e6,2.8293265256518982e6,2.7566590550280106e6,2.9467195289290994e6,562494.6608375803,3.5609782113274154e6,3.0530815516975787e6,3.6687232008916656e6,5.095860495584766e6,7.020956780060429e6,8.435110599779971e6,1.4692416085079638e6,1.619883784695233e6,7.7194227053122595e6,1.0127031399998076e7,6.241073391383307e6,5.340935774666441e6,6.244256409677562e6,2.199870184724551e7,2.014764699500681e7,3.224302591632381e7,3.0030215918603756e7,1.187730274487103e7,6.078093224706899e6,2.7764560740984743e6,9.179118231559077e6,1.917281070773967e6,2.457573704200217e6,283802.70242321375,5.237115780177489e6,2.2152790784789347e6,2.6065959342252314e6,393459.73065908765,1.0894631857524717e6,7.763516906917251e6,637416.5157592448,3.393083465631399e6,5.803333091529129e6,451386.55749237613,855467.7735755934,9.733376129785184e6,7.726512141284878e6,1.557494296351064e7,3.2277438211726737e6,7.955404927705423e6,8.310586731592173e6,883362.2738811816,591973.3247745511,1.1824813312798503e6,2.34275278816832e6,983589.1453477525,2.260160088712105e7,3.9775591694891592e6,7.07329312752906e6,5.439866357581745e6,4.933082528570894e6,3.107424319315868e6,2.2682611782233417e6,4.0085906791743017e6,9.471852357993206e6,4.435730721000001e7,2.8258599762603983e7,1.4912139264322063e7,9.109805337640762e6,1.871571348292744e7,2.928222903103077e7,1.6127466372962011e7,2.366595218661642e7,1.5375144828013957e7,2.3832108142914664e7,2.1180579895480346e7,1.285519405539334e7
cH2Var,3.465857719630764e9,8.42851420586229e7,1.8840620581343155e7,1.6375277253558412e8,3.0422723841519307e7,1.266564454080947e8,9.205283295401548e7,7.409485501249255e7,5.408087208213263e7,6.235335358068602e7,1.0271170246614616e7,4.962800523015282e7,1.1126708882763764e8,4.934354997514907e7,9.865187547199957e7,1.7731902605122846e8,2.942570176750756e8,4.1260462676261984e7,1.452728007248062e8,1.1500538974533634e8,2.4238629678005133e7,61632.30849684835,55.30012448483525,7.894911184326605,10.48275782244357,11.724030535191563,1.3522441770045252e6,5.517486568683819e6,39.65700525073112,55.14221360519083,7.94669797934122e6,1.9445498250605646e6,2.2378797833174635e6,2.1918866473131876e7,1.0515028042677457e6,1.33856779672488e6,12.467459804582983,4.0568840442694664e7,4.444462753998618e6,5.539638049885596e6,1.3178208960394671e7,57.44899525246021,23.95727958400173,3.1285461037440326e7,4.756799913107698e6,10.538051069476753,32.99147597775447,3.892075866666959e7,816.8377243307227,10.65931842112401,4.280454337981899e7,7.805354878747724e7,3.535558116316735e6,2.8381230459135934e6,2.1790000000684913e6,8.206937401030615e6,2.447065345671603e8,2.5157958037023106e8,3.183162728405711e7,1.7485355282450557e7,3.0837195571414344e7,3.924231140502454e7,1.5482496867045894e8,2.6753402755150837e6,1.3536483161719015e7,1.2134084971720111e8,7.432026940629435e7,4.647764084631335e7,3.48440889703034e7,4.912328714381151e7,7.309023846419945e7,9.197510743511235e6,4.190040303547609e7,5.7338176809715815e6,1.8958171041284785e7,2.964855578920961e7,3.1766402475200824e7
cH2Var_G2P,215152.88485623174,0.07683390793693455,0.10245235427402256,24331.95979852811,0.08256360473735767,0.07423801945471897,0.07258604205043737,0.10083311608122868,0.10424129718257154,13032.001078564988,0.1287413551327088,0.08740024133981537,0.08155375344256213,0.10565263654006514,0.10135780920964046,0.075787704233929,148573.9137698883,0.10194410868990442,0.08548984821927418,0.09932153333056733,0.10914306078024813,0.21656205661414973,0.26552616168630977,0.32320360976104445,0.2873093644402321,0.22215204925790633,0.2618620525260338,0.17428101788531156,0.2981022238702188,0.33905900115848675,0.27895714178852077,0.15057700874882643,0.163960452533862,0.4790531656373968,0.14839234286553665,0.16718157859017968,0.28915735085170213,1347.143725849863,0.12956130641720445,0.16558792551517107,0.11207208225844828,0.2567174341912973,0.1824784116328934,14334.604095914614,0.12173514169374823,0.19356061009389963,0.1970163774905037,0.1274852746150931,0.21999333525916248,0.2242049934018643,0.21551115194629752,3.195490235944665,0.22917539212154348,0.23985716678617244,0.2480373258840248,0.25679001359357084,0.188738306413704,5.164369151654791,0.183300321073132,0.20712828519501253,0.19794593588886064,0.21190653417996472,13510.544152578852,0.29064125589079437,0.5771705689324887,0.15165015369991275,0.20860477235744415,0.21323548147235225,0.3386329225231329,0.21572240238896676,0.3374586106243208,0.18706274602631734,0.45330086944470505,0.5379507478537757,0.545479502340543,0.20646888122404788,0.33071631137881735
cH2NSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cH2Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
