Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
AnnualSum,706278.25,157877.42,65539.555,254931.16,1.0613341e6,771368.6,620887.44,453177.7,24955.984,86068.6,415864.3,932377.0,413480.7,826666.2,1.4858678e6,117771.89,345747.4,1.2173322e6,963702.56,203110.73,516.45593,0.46339455,0.06615643,0.08784163,0.098243035,11331.306,46234.492,0.332311,0.46207133,66590.38,16294.607,18752.604,8772.696,8811.204,11216.702,0.1044727,16237.065,37242.953,46420.113,110428.51,0.4814013,0.20075312,12521.533,39860.223,0.08830497,0.27645636,326141.53,6.8447976,0.089321144,358686.22,31239.75,29626.668,23782.42,18259.213,68771.09,2.0505501e6,100690.9,266737.25,146520.8,258404.28,328836.03,61966.34,22418.361,113430.72,1.0167914e6,622776.3,389465.4,291980.56,411634.94,612469.1,77071.734,351109.84,48047.27,158862.45,248443.92,266190.7,2.0276482e7
t1,3.808460882938112e-7,3.810722454391243e-7,0.2913344617185472,3.8155275232593214e-7,3.8142043282680725e-7,3.8342109044375644e-7,3.80793179456042e-7,3.7993544408931776e-7,4.78588233134246e-7,3.778110077432575e-7,3.802466217966943e-7,3.8124942302517607e-7,3.7971148112238305e-7,3.793647189270858e-7,3.8199304753103697e-7,1.8815354732578975,3.803235683558357e-7,3.801440593190176e-7,3.800339531187879e-7,3.7946144740123574e-7,3.7895129068936116e-7,3.778510058373554e-7,3.7754715829361815e-7,3.752631619144724e-7,3.7646813839496353e-7,3.7981249043692425e-7,3.796115782076795e-7,3.7776785180795097e-7,3.790238816205132e-7,3.7733058383462524e-7,3.790602665539994e-7,3.8008376389776354e-7,9.027074443214852e-7,3.7815690399400723e-7,3.7973300782948356e-7,3.755218323266666e-7,0.037032506387610915,3.797008152188667e-7,3.7956071067521197e-7,3.8113155106766834e-7,3.7916879449773995e-7,3.764520317758016e-7,4.7465278756576266e-7,3.795932286629794e-7,3.779878737039196e-7,3.7878503221734076e-7,3.789298550652067e-7,3.789511531445975e-7,3.7725425089899035e-7,3.7141708997560683e-7,4.79348708445474e-7,3.7455701103463644e-7,3.4606893422392817e-7,3.434410871156663e-7,3.729052164960276e-7,3.774933311987253e-7,4.7576115445854226e-7,3.737760203705107e-7,3.7448809750174594e-7,3.7706667903338945e-7,3.772627839982331e-7,4.751596846824426e-7,3.4350846102231737e-7,66.55358132615945,416.2336875281034,224.44028128196797,140.55075739083017,103.34709016740261,164.12639072922886,214.98924031005404,3.8209906893642247e-7,142.50381183651854,18.9107902162527,82.42647920342502,90.05216634066025,117.43353490309049,1783.777737684438
t2,3.808582767248871e-7,3.8107517327973875e-7,0.2909543909538521,3.8156457368076033e-7,3.814319788594359e-7,3.834265513869618e-7,3.8079558992026377e-7,3.79938343715107e-7,4.785742464637672e-7,3.778159211684642e-7,3.8025881508695395e-7,3.8137135616165997e-7,3.797142176841617e-7,3.79367222629652e-7,3.8200463604227307e-7,1.8815426691406245,3.803253288626422e-7,3.801562729336859e-7,3.800364695556152e-7,3.7946483234654404e-7,3.78955376516642e-7,3.7719175517640945e-7,3.7754853189149806e-7,3.7526472427474014e-7,3.764676055295534e-7,3.798185083573961e-7,3.7892425842561706e-7,3.777718728680976e-7,3.7902520033952837e-7,3.773341525440518e-7,3.790685026797087e-7,3.800034628595587e-7,9.037000560705722e-7,3.781644392531785e-7,3.7923019821242307e-7,3.7553016526705095e-7,0.23544710460097984,3.7971248038486684e-7,3.7906170355197335e-7,3.8114322018742607e-7,3.7916940093218434e-7,3.764599930686818e-7,4.749739718092192e-7,3.7960485526837563e-7,3.779844430282616e-7,3.7821732445480544e-7,3.789447007456901e-7,3.783609981935915e-7,3.7725272043287665e-7,3.714217540428898e-7,4.792952953445152e-7,3.745710057139886e-7,3.4607679335564923e-7,3.4357571759355753e-7,3.7291391518579957e-7,3.774967200787799e-7,4.7573047879678354e-7,3.73778867114498e-7,3.744918473878356e-7,3.7707048044946143e-7,3.772659374777575e-7,4.750682261216857e-7,3.4351348079650575e-7,66.55358132616783,416.23368752805516,224.44028128195893,140.5507573908166,103.34709016740064,164.1263907292111,214.98924031004415,3.813837430066492e-7,142.5038118365157,18.910790216257332,82.42647920342911,90.05216634064264,117.43353490309198,1783.9757794050051
t3,3.808650710580052e-7,3.8107833425731015e-7,0.0007609824567715714,3.815709666908998e-7,3.814379693468366e-7,3.8342999511573654e-7,3.8079812261431746e-7,3.799405090792688e-7,4.785751042980351e-7,3.778193521980377e-7,3.8026591861571086e-7,3.814229604330397e-7,3.797153036278977e-7,3.793696160324792e-7,3.820104844343983e-7,1.8808771806282736,3.803274768509368e-7,3.801630852463875e-7,3.8003736524629477e-7,3.7946653402816424e-7,3.789551309214519e-7,3.7719305050867823e-7,3.7755481240034115e-7,3.752710051222847e-7,3.764699848446694e-7,3.798186502562974e-7,3.789283371107224e-7,3.777717761812058e-7,3.79026757717817e-7,3.773378234586879e-7,3.7907153654895526e-7,3.800069934572388e-7,9.04131777290158e-7,3.781640362100691e-7,3.792343830404699e-7,3.755305002776251e-7,0.3101944627390094,3.797199084673345e-7,3.790650395452366e-7,3.8114988638344044e-7,3.790575719584888e-7,3.7646219114813974e-7,4.7512329226072295e-7,3.796122274192248e-7,3.778682203554259e-7,3.7810782028712243e-7,3.789539740559585e-7,3.78364120450514e-7,3.7725493715294713e-7,3.7372729914120923e-7,4.758765889513412e-7,3.74390975047706e-7,3.7419230109360574e-7,3.721313596203676e-7,3.727514440988182e-7,3.7704380918997037e-7,4.725667893843306e-7,3.733538051198711e-7,3.742501886752612e-7,3.7662220911953997e-7,3.768187086667167e-7,4.719681836524139e-7,3.4351881915065884e-7,66.55358132617029,416.23368752810234,224.4402812819786,140.5507573908169,103.3470901674009,164.12639072921374,214.98924031006655,3.8138521491823073e-7,142.50381183652115,18.91079021625897,82.42647920342938,90.05216634063616,117.43353490309883,1783.7596679136157
t4,3.8086399438326374e-7,3.810818561599886e-7,6.080357079844673e-6,3.8156951553421816e-7,3.814356067038069e-7,3.834298301614159e-7,3.8080101878897557e-7,3.7969262060250524e-7,4.7653556368234275e-7,3.774092829603251e-7,3.802654329674458e-7,3.813788799267332e-7,3.7928493549454283e-7,3.7937249208400383e-7,3.820079628737046e-7,6.550851895084033e-6,3.803300455620138e-7,3.8016209177319814e-7,3.796035963943233e-7,3.790384149803643e-7,3.7896445490151147e-7,3.772036591255082e-7,3.775612956917794e-7,3.752774805086285e-7,3.7647497784898026e-7,3.798297687041367e-7,3.78934847388043e-7,3.77781111844687e-7,3.7903517893858865e-7,3.773416678273065e-7,3.790763001736269e-7,3.800089710320544e-7,9.03719984289613e-7,3.783099403982402e-7,3.7923740171080855e-7,3.7552404936389206e-7,0.31016149824133543,3.7972125440631e-7,3.79067901863976e-7,3.811493699473748e-7,3.791739457625488e-7,3.764609051821955e-7,4.750008195326946e-7,3.796132229139116e-7,3.7798794749703404e-7,3.7878852780454013e-7,3.7895536778024935e-7,3.7904226738999303e-7,3.7725716774209787e-7,3.7473899040597365e-7,4.7577169387972697e-7,3.7442077137470697e-7,3.750487986982967e-7,3.7303049104628647e-7,3.737111308237041e-7,3.7703983601991743e-7,4.721458878234233e-7,3.734175657368376e-7,3.7512186930430007e-7,3.7661916864570263e-7,3.7682944502365924e-7,4.718783344388157e-7,3.435251214095882e-7,66.55358132617047,416.23368752813354,224.4402812819823,140.55075739084066,103.34709016740521,164.12639072922528,214.989240310051,3.813875954132315e-7,142.50381183651962,18.910790216257887,82.4264792034259,90.05216634065548,117.43353490310041,1781.878009418668
t5,3.808630353040645e-7,3.810827864221003e-7,5.93130383867238e-6,3.8156815577352e-7,3.81433234894916e-7,3.834297343689889e-7,3.8080343899167653e-7,3.796808842023066e-7,4.7645890974723545e-7,3.774003127171275e-7,3.802650993785926e-7,3.813336285786871e-7,3.792717486041152e-7,3.793745346727566e-7,3.8200556919039584e-7,6.3345198542270644e-6,3.803332227415509e-7,3.801610316975976e-7,3.795896964235177e-7,3.790288597575552e-7,3.789713961948905e-7,3.77212961454784e-7,3.7756790652792423e-7,3.752838770757168e-7,3.7647915551431057e-7,3.7983783095219617e-7,3.789420150059338e-7,3.7778787834787927e-7,3.790400908606662e-7,3.773453101450957e-7,3.7907787797251453e-7,3.80010495427533e-7,9.033301804818396e-7,3.7836921591486533e-7,3.7924071683534464e-7,3.7554481127618046e-7,0.19824482829145282,3.7972352062022285e-7,3.7907034610461355e-7,3.8114978509891143e-7,3.7849965778107876e-7,3.7649222533068063e-7,4.748752589428029e-7,3.7961446234151557e-7,3.779908932820662e-7,3.787962244646018e-7,3.7895736929843653e-7,3.7904941115267846e-7,3.765950952954702e-7,3.7502470408319896e-7,4.7574119782085185e-7,3.7447241263688185e-7,3.7511082601527026e-7,3.7303966054053915e-7,3.7399025437595843e-7,3.7704356660113543e-7,4.721300999001487e-7,3.736942845339668e-7,3.751833099612099e-7,3.766239318575537e-7,3.7683830768687414e-7,4.7186478218832155e-7,3.4353220763328574e-7,66.55358132616196,416.2336875281372,224.4402812820339,140.55075739085612,103.3470901674172,164.12639072926405,214.9892403100645,3.8139067976538017e-7,142.5038118365167,18.910790216253474,82.42647920342276,90.05216634068233,117.43353490310453,1781.76609238265
t6,3.808441350442584e-7,3.810697934156161e-7,5.470305390791763e-6,3.815482949431998e-7,3.8141070300557923e-7,3.8342508086897833e-7,3.804485620296813e-7,3.7940231849072056e-7,4.749626410654675e-7,3.7736749118341424e-7,3.8024744636895996e-7,3.8096805062500615e-7,3.792360059769402e-7,3.7933861762755784e-7,3.819835433751261e-7,5.835030134117062e-6,3.8029363620128386e-7,3.8014198475333317e-7,3.795528391304302e-7,3.7899368531920395e-7,3.789776390951634e-7,3.777432802629027e-7,3.775696665168882e-7,3.7528576050944473e-7,3.7647935403684485e-7,3.7984425649883816e-7,3.794885215982309e-7,3.7779273354013646e-7,3.7904711743917485e-7,3.773487030115361e-7,3.7976383352132166e-7,3.8071100845170634e-7,9.005868599838799e-7,3.788492074155983e-7,3.7993317988170426e-7,3.761814882586983e-7,2.6024852631591934e-5,3.7971009437205994e-7,3.797614132906727e-7,3.8112744597193364e-7,3.791815282836264e-7,3.7713857637275265e-7,4.73849960340328e-7,3.796004804801558e-7,3.779892852999244e-7,3.787997256904363e-7,3.789411074377242e-7,3.7905469347293203e-7,3.7726162307806943e-7,3.765991192014201e-7,4.7557552244733174e-7,3.75864693964653e-7,3.764447423307356e-7,3.7304735077435545e-7,3.7536571789396776e-7,3.770212330135683e-7,4.7198811898282846e-7,3.7495984830677103e-7,3.765378873419138e-7,3.7675861474586073e-7,3.768969117923133e-7,4.7169788249532037e-7,3.435387324651964e-7,66.55358132614403,416.2336875355298,224.44028128205204,140.5507573945323,103.34709017086485,164.12639073609134,214.98924031007377,3.8211413789775513e-7,142.5038118365201,18.910790216244166,82.42647920341794,90.0521663477961,117.4335349030962,1781.5678726562146
t7,3.809201985988495e-7,3.810648445719054e-7,4.029407596844686e-6,3.8160063808472697e-7,3.814904145048124e-7,3.8345513760298736e-7,3.801071261832212e-7,3.7932848931249043e-7,4.7459733220110435e-7,3.7732130328936806e-7,3.803230007546673e-7,3.808517899238287e-7,3.791867370219805e-7,3.792861357006849e-7,3.820694855739861e-7,4.35998876191253e-6,3.799761476816975e-7,3.801093773857041e-7,3.795013042475611e-7,3.7894149559603183e-7,3.7895706229438215e-7,3.7785884275365953e-7,3.775528740891784e-7,3.7526893207381494e-7,3.764712652397129e-7,3.7981944286004423e-7,3.7961885693409564e-7,3.7777317559639696e-7,3.790270346323937e-7,3.773342835454746e-7,3.7975284228135976e-7,3.807028819631966e-7,8.989070991026254e-7,3.7883513169616414e-7,3.7992218433059665e-7,3.761738701841578e-7,1.4713024246932363e-5,3.803958216068315e-7,3.797503477046605e-7,3.811805924661095e-7,3.791707012238996e-7,3.7711919186390103e-7,4.74555037074759e-7,3.8027921632091667e-7,3.779884198217312e-7,3.787881804555086e-7,3.796139153331671e-7,3.790396799519285e-7,3.772561654791147e-7,3.7657131070340584e-7,4.7546060574720977e-7,3.7584399786575735e-7,3.7643508665963174e-7,3.730225834112854e-7,3.7535885875800765e-7,3.7801836097120753e-7,4.7188144356742394e-7,3.7493145847811175e-7,3.765157326316831e-7,3.7775519877173507e-7,3.7790390528051745e-7,4.715938464146128e-7,3.4351742233538716e-7,66.55358132614379,416.2336875354923,224.44028128204658,140.55075739452005,103.34709017085363,164.1263907360926,214.98924031006393,3.8210637505362254e-7,142.50381183651925,18.91079021623831,82.4264792034092,90.05216634780322,117.43353490308289,1781.5678584308466
t8,3.815336999005782e-7,3.810913628701411e-7,3.7637409065525467e-6,3.8224951437176986e-7,3.821130065995645e-7,3.835397799005792e-7,3.8078455164178415e-7,3.800163101802609e-7,4.7545596821142184e-7,3.779844638232564e-7,3.8092988480204614e-7,3.815593779008472e-7,3.7988133654694226e-7,3.799731075155999e-7,3.826973464300624e-7,3.982134438550027e-6,3.806574258954509e-7,3.8081065227341357e-7,3.8020122829225806e-7,3.7963002437667343e-7,3.78961809321654e-7,3.7786456034225467e-7,3.775542317496048e-7,3.7527062284314573e-7,3.764710948314476e-7,3.798252138849834e-7,3.7962437457859396e-7,3.777772634141791e-7,3.7903019721802115e-7,3.773374112671596e-7,3.797565221486138e-7,3.8070570979466315e-7,8.972343743628358e-7,3.7883878314590614e-7,3.799252213015666e-7,3.761759382090746e-7,1.0398252715796533e-5,3.8040157350916763e-7,3.7975327475976125e-7,3.8182445642054686e-7,3.7917230746764565e-7,3.7712393039329587e-7,4.7592247497973545e-7,3.8028469077728855e-7,3.779860589487996e-7,3.7879014910207444e-7,3.796186212834627e-7,3.7904324292437795e-7,3.77255208908326e-7,3.765788865092692e-7,4.7665411518401433e-7,3.758530555392881e-7,3.7644215577616994e-7,3.7303046996944515e-7,3.7536672515836857e-7,3.7802494093642136e-7,4.7331332741193334e-7,3.7494043470395795e-7,3.7652372342072856e-7,3.7776242157533036e-7,3.783993421010243e-7,4.730106984342785e-7,3.435241731888015e-7,66.5535813261652,416.23368753550676,224.44028128201344,140.55075739451576,103.3470901708653,164.12639073608682,214.98924031004708,3.821081344249688e-7,142.50381183651376,18.910790216234584,82.42647920338922,90.05216634778796,117.43353490308316,1781.5678534885078
t9,3.8103227642111774e-7,3.8109606480097676e-7,3.794255792787332e-6,3.816713530430131e-7,3.8160032500917193e-7,3.8346011113061534e-7,3.80600361132803e-7,3.798372186716468e-7,4.750803499442682e-7,3.779881493471742e-7,3.8084303717778583e-7,3.8136971302555964e-7,3.797995161570579e-7,3.797925132656721e-7,3.821248068816202e-7,4.0444277354280135e-6,3.8047448241932226e-7,3.8062281350797573e-7,3.801173177506653e-7,3.794522582605941e-7,3.789663834702423e-7,3.7787106420068495e-7,3.775582037956411e-7,3.752759455312961e-7,3.7647444215642904e-7,3.7983109435478216e-7,3.7962993434763645e-7,3.777817934952324e-7,3.7903308833906915e-7,3.7734085216058864e-7,3.797594668080224e-7,3.807078314869903e-7,8.982153957806071e-7,3.7884251355962184e-7,3.799274521225909e-7,3.7617979093208543e-7,1.2516372285922366e-5,3.8040448102134544e-7,3.797562455444503e-7,3.8125341461047967e-7,3.791742601616749e-7,3.771299314332217e-7,4.758237348679268e-7,3.802870187772016e-7,3.7798749513555553e-7,3.7879324101405966e-7,3.7962372005071393e-7,3.7904653766853556e-7,3.772576682803093e-7,3.7658698142258275e-7,4.754390500943633e-7,3.758617766820469e-7,3.764486547753389e-7,3.7303856709729645e-7,3.753744087636055e-7,3.7803276386234865e-7,4.7186622666187385e-7,3.749495324424727e-7,3.7653239909737757e-7,3.7777046827072113e-7,3.7840668609436906e-7,4.715733424223782e-7,3.4353096852769493e-7,66.55358131805193,416.23368752532053,224.44028127236012,140.55075738506386,103.34709016195174,164.12639073409488,214.98924030090117,3.8210799616129885e-7,142.50381182779424,18.910790207943073,82.42647919556764,90.0521663380145,117.43353489450298,1781.567855591038
