Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,1.7082172648017192e-8,3.6172207449960515e-5,3.61551252773125e-5
OCGT-H2_1.0,1.0,0,2.032802329520369e-8,4.158893320289811e-5,4.156860517960291e-5
CCGT-H2_2.0,2.0,0,1.707811134627286e-8,3.6642020277500307e-5,3.6624942166154034e-5
OCGT-H2_2.0,2.0,0,2.0336475963047222e-8,4.2069738393919976e-5,4.204940191795693e-5
CCGT-H2_3.0,3.0,0,1.713987275954759e-8,6.969756368862742,6.96975635172287
OCGT-H2_3.0,3.0,0,2.030470174459096e-8,6.40538937682911e-5,6.40335890665465e-5
CCGT-H2_4.0,4.0,0,1.708012183548687e-8,3.627372055860525e-5,3.6256640436769765e-5
OCGT-H2_4.0,4.0,0,2.0337693189287854e-8,4.1781066558895675e-5,4.176072886570639e-5
CCGT-H2_5.0,5.0,0,1.708380732178151e-8,3.6727879000206765e-5,3.671079519288498e-5
OCGT-H2_5.0,5.0,0,2.0346549923773525e-8,4.242852414290654e-5,4.240817759298277e-5
CCGT-H2_6.0,6.0,0,1.7075898813563755e-8,3.660774499142416e-5,3.6590669092610595e-5
OCGT-H2_6.0,6.0,0,2.0349066451549956e-8,4.226572895884654e-5,4.2245379892394993e-5
CCGT-H2_7.0,7.0,0,1.7076052320842948e-8,3.6874787659072954e-5,3.685771160675211e-5
OCGT-H2_7.0,7.0,0,2.0349588475087887e-8,4.240780030221847e-5,4.2387450713743385e-5
CCGT-H2_8.0,8.0,0,1.708037610961919e-8,3.681231202516325e-5,3.679523164905363e-5
OCGT-H2_8.0,8.0,0,2.0327833449139232e-8,4.223143418470426e-5,4.221110635125512e-5
CCGT-H2_9.0,9.0,0,1.7139247629179476e-8,3.245073920521951,3.2450739033827034
OCGT-H2_9.0,9.0,0,2.0296250986691838e-8,6.463920106206204e-5,6.461890481107534e-5
CCGT-H2_10.0,10.0,0,1.7078280431536353e-8,3.7512296667829316e-5,3.749521838739778e-5
OCGT-H2_10.0,10.0,0,2.03254029453029e-8,4.280758832665222e-5,4.278726292370692e-5
CCGT-H2_11.0,11.0,0,1.707747913736333e-8,3.63633815576596e-5,3.634630407852224e-5
OCGT-H2_11.0,11.0,0,2.0326597547099234e-8,4.18499207118026e-5,4.18295941142555e-5
CCGT-H2_12.0,12.0,0,1.7074599839843957e-8,3.658174537954435e-5,3.6564670779704504e-5
OCGT-H2_12.0,12.0,0,2.0350663367021265e-8,4.2191295565536215e-5,4.2170944902169195e-5
CCGT-H2_13.0,13.0,0,1.708437576640593e-8,3.6781267559893904e-5,3.6764183184127497e-5
OCGT-H2_13.0,13.0,0,2.032439964805107e-8,4.2143569285384735e-5,4.2123244885736685e-5
CCGT-H2_14.0,14.0,0,1.707620229939474e-8,3.870739376875239e-5,3.869031756645299e-5
OCGT-H2_14.0,14.0,0,2.0358459992343153e-8,4.526814147457044e-5,4.52477830145781e-5
CCGT-H2_15.0,15.0,0,1.7074854876970164e-8,3.953220134749702e-5,3.9515126492620046e-5
OCGT-H2_15.0,15.0,0,2.034541834713905e-8,4.782836159838637e-5,4.780801618003923e-5
CCGT-H2_16.0,16.0,0,1.7139227840303878e-8,46.54456861269092,46.54456859555169
OCGT-H2_16.0,16.0,0,2.029547500558075e-8,6.667056584265704e-5,6.665027036765147e-5
CCGT-H2_17.0,17.0,0,1.7074392579841348e-8,3.7048360193014976e-5,3.7031285800435135e-5
OCGT-H2_17.0,17.0,0,2.037062480899318e-8,4.251515469341262e-5,4.249478406860363e-5
CCGT-H2_18.0,18.0,0,1.7077648834062073e-8,3.8407939312478344e-5,3.839086166364428e-5
OCGT-H2_18.0,18.0,0,2.033218490074536e-8,4.5284111751237925e-5,4.526377956633718e-5
CCGT-H2_19.0,19.0,0,1.7085887400189172e-8,3.6951243841669715e-5,3.6934157954269526e-5
OCGT-H2_19.0,19.0,0,2.03231904665545e-8,4.2580357071408895e-5,4.256003388094234e-5
CCGT-H2_20.0,20.0,0,1.7086347841913946e-8,3.679929594994592e-5,3.6782209602104005e-5
OCGT-H2_20.0,20.0,0,2.0311086007140746e-8,4.2152098023057586e-5,4.213178693705044e-5
CCGT-H2_21.0,21.0,0,1.7083978481631042e-8,4.2270373418828316e-5,4.225328944034669e-5
OCGT-H2_21.0,21.0,0,2.037451118441462e-8,4.771477343079232e-5,4.7694398919607906e-5
CCGT-H2_22.0,22.0,0,1.70779114158863e-8,4.599180815824143e-5,4.5974730246825544e-5
OCGT-H2_22.0,22.0,0,2.0360806622698813e-8,4.895667905607823e-5,4.893631824945553e-5
CCGT-H2_23.0,23.0,0,1.7084652640464837e-8,5.011807060268299e-5,5.010098595004253e-5
OCGT-H2_23.0,23.0,0,2.037392254622256e-8,5.474817503256049e-5,5.472780111001427e-5
CCGT-H2_24.0,24.0,0,1.7075356514978595e-8,4.7656601765628e-5,4.7639526409113025e-5
OCGT-H2_24.0,24.0,0,2.0351607121345655e-8,5.065324879337696e-5,5.063289718625561e-5
CCGT-H2_25.0,25.0,0,1.7080506262787648e-8,4.176774903364034e-5,4.175066852737755e-5
OCGT-H2_25.0,25.0,0,2.034670853129922e-8,4.6458530891621315e-5,4.6438184183090015e-5
CCGT-H2_26.0,26.0,0,1.7084669991922986e-8,4.43649539984508e-5,4.434786932845888e-5
OCGT-H2_26.0,26.0,0,2.0366140182011717e-8,4.915970280493217e-5,4.913933666475016e-5
CCGT-H2_27.0,27.0,0,1.7083945138197252e-8,4.059995916524978e-5,4.058287522011158e-5
OCGT-H2_27.0,27.0,0,2.0367661342291025e-8,4.619277299184763e-5,4.6172405330505336e-5
CCGT-H2_28.0,28.0,0,1.7081929555652843e-8,4.7548533694301486e-5,4.7531451764745834e-5
OCGT-H2_28.0,28.0,0,2.0373675549930354e-8,5.4104036953131285e-5,5.4083663277581354e-5
CCGT-H2_29.0,29.0,0,1.7079603372051973e-8,4.9326288013564693e-5,4.930920841019264e-5
OCGT-H2_29.0,29.0,0,2.034695959109494e-8,5.340017040474737e-5,5.337982344515628e-5
CCGT-H2_30.0,30.0,0,1.7079918333239045e-8,5.7178042674821834e-5,5.7160962756488594e-5
OCGT-H2_30.0,30.0,0,2.0393641659735075e-8,7.302033977709944e-5,7.299994613543971e-5
CCGT-H2_31.0,31.0,0,1.7084087455909165e-8,3.8085315277097376e-5,3.806823118964147e-5
OCGT-H2_31.0,31.0,0,2.030979387961369e-8,4.2780497251873866e-5,4.2760187457994254e-5
CCGT-H2_32.0,32.0,0,1.7078844560778676e-8,3.884585265575864e-5,3.882877381119786e-5
OCGT-H2_32.0,32.0,0,2.0316321505363694e-8,4.366762294873295e-5,4.364730662722759e-5
CCGT-H2_33.0,33.0,0,1.7142944733185157e-8,9.836412848201131e-5,9.834698553727813e-5
OCGT-H2_33.0,33.0,0,2.030271400478666e-8,5.180648860082785e-5,5.178618588682307e-5
CCGT-H2_34.0,34.0,0,1.708213378096847e-8,3.801198967663279e-5,3.7994907542851825e-5
OCGT-H2_34.0,34.0,0,2.030375641048768e-8,4.2652871792812756e-5,4.2632568036402266e-5
CCGT-H2_35.0,35.0,0,1.7080005943717705e-8,3.89055611087684e-5,3.888848110282468e-5
OCGT-H2_35.0,35.0,0,2.030933215106401e-8,4.3820174284289885e-5,4.379986495213882e-5
CCGT-H2_36.0,36.0,0,1.7082935214450886e-8,4.300777393168829e-5,4.299069099647384e-5
OCGT-H2_36.0,36.0,0,2.0284364502508194e-8,4.609875564834085e-5,4.607847128383834e-5
CCGT-H2_37.0,37.0,0,1.7140301490079585e-8,0.3682604651361456,0.36826044799584406
OCGT-H2_37.0,37.0,0,2.0301368844332642e-8,6.614639317413931e-5,6.612609180529497e-5
CCGT-H2_38.0,38.0,0,1.7081805118734466e-8,3.7139214937690806e-5,3.712213313257207e-5
OCGT-H2_38.0,38.0,0,2.0297430790398135e-8,4.204539290641636e-5,4.2025095475625966e-5
CCGT-H2_39.0,39.0,0,1.7080295355779827e-8,3.906966101087498e-5,3.9052580715519195e-5
OCGT-H2_39.0,39.0,0,2.030248738095057e-8,4.388683240512575e-5,4.38665299177448e-5
CCGT-H2_40.0,40.0,0,1.708241371604246e-8,3.6831306586739706e-5,3.681422417302367e-5
OCGT-H2_40.0,40.0,0,2.030213772500168e-8,4.187834510456921e-5,4.185804296684421e-5
CCGT-H2_41.0,41.0,0,1.7079123683350064e-8,4.45573106536374e-5,4.454023152995405e-5
OCGT-H2_41.0,41.0,0,2.0306724906913233e-8,4.785130151689593e-5,4.783099479198902e-5
CCGT-H2_42.0,42.0,0,1.708495958756215e-8,3.938627162141405e-5,3.9369186661826494e-5
OCGT-H2_42.0,42.0,0,2.028335463452902e-8,4.382236224147179e-5,4.380207888683726e-5
CCGT-H2_43.0,43.0,0,1.714037072274514e-8,4.870453124441801,4.87045310730143
OCGT-H2_43.0,43.0,0,2.0302183681376425e-8,6.795971966034917e-5,6.793941747666779e-5
CCGT-H2_44.0,44.0,0,1.7088567539935682e-8,3.692563160177559e-5,3.6908543034235654e-5
OCGT-H2_44.0,44.0,0,2.030787403317128e-8,4.172250779249451e-5,4.1702199918461344e-5
CCGT-H2_45.0,45.0,0,1.7077614469846713e-8,3.994922754291633e-5,3.9932149928446485e-5
OCGT-H2_45.0,45.0,0,2.0325400297372436e-8,4.4431422810162846e-5,4.441109740986547e-5
CCGT-H2_46.0,46.0,0,1.7079998512583355e-8,4.0019151047131465e-5,4.000207104861888e-5
OCGT-H2_46.0,46.0,0,2.0318725665665584e-8,4.444939582689867e-5,4.4429077101233e-5
CCGT-H2_47.0,47.0,0,1.7089357134876868e-8,3.723691202619426e-5,3.7219822669059384e-5
OCGT-H2_47.0,47.0,0,2.0291721977892703e-8,4.200888269673193e-5,4.198859097475404e-5
CCGT-H2_48.0,48.0,0,1.7078900381568015e-8,4.092177033403083e-5,4.090469143364926e-5
OCGT-H2_48.0,48.0,0,2.0340665532397307e-8,4.521896169104818e-5,4.5198621025515785e-5
CCGT-H2_49.0,49.0,0,1.7083441582433235e-8,4.057876058145517e-5,4.056167713987273e-5
OCGT-H2_49.0,49.0,0,2.0311695767893655e-8,4.453790686497754e-5,4.4517595169209646e-5
CCGT-H2_50.0,50.0,0,1.7086327107362515e-8,3.8950852529658615e-5,3.893376620255125e-5
OCGT-H2_50.0,50.0,0,2.0282878380783375e-8,4.3461215966433724e-5,4.344093308805294e-5
CCGT-H2_51.0,51.0,0,1.714073937881167e-8,0.0008456560907365818,0.000845638949997203
OCGT-H2_51.0,51.0,0,2.0306767660111016e-8,5.8016570366652645e-5,5.799626359899253e-5
CCGT-H2_52.0,52.0,0,1.7080885789651583e-8,3.903987421299953e-5,3.9022793327209874e-5
OCGT-H2_52.0,52.0,0,2.0282557906542628e-8,4.315885163612822e-5,4.313856907822168e-5
CCGT-H2_53.0,53.0,0,1.7074756418598674e-8,3.998078940039487e-5,3.996371464397627e-5
OCGT-H2_53.0,53.0,0,2.034080267144453e-8,4.481291352439469e-5,4.4792572721723244e-5
CCGT-H2_54.0,54.0,0,1.7083742658918113e-8,4.0157691597119324e-5,4.014060785446041e-5
OCGT-H2_54.0,54.0,0,2.030919830963871e-8,4.488725851596444e-5,4.48669493176548e-5
CCGT-H2_55.0,55.0,0,1.7082489459510124e-8,3.969391441126735e-5,3.967683192180784e-5
OCGT-H2_55.0,55.0,0,2.0315886907725175e-8,4.433981015236372e-5,4.4319494265456e-5
CCGT-H2_56.0,56.0,0,1.7085319328634665e-8,3.8583273791022683e-5,3.856618847169405e-5
OCGT-H2_56.0,56.0,0,2.0300771303185147e-8,4.357256699414537e-5,4.3552266222842185e-5
CCGT-H2_57.0,57.0,0,1.714077651200031e-8,0.0015967663269972126,0.0015967491862207007
OCGT-H2_57.0,57.0,0,2.0303628774731778e-8,6.791108610869928e-5,6.789078247992455e-5
CCGT-H2_58.0,58.0,0,1.7084676732573894e-8,3.85495553114434e-5,3.8532470634710826e-5
OCGT-H2_58.0,58.0,0,2.0297467247621522e-8,4.345872708033526e-5,4.343842961308764e-5
CCGT-H2_59.0,59.0,0,1.708576983576201e-8,3.877551471826177e-5,3.8758428948426004e-5
OCGT-H2_59.0,59.0,0,2.0316089292957786e-8,4.360006404373226e-5,4.35797479544393e-5
CCGT-H2_60.0,60.0,0,1.7093562750193553e-8,3.8375026554071934e-5,3.835793299132174e-5
OCGT-H2_60.0,60.0,0,2.0286743558371367e-8,4.315335971401412e-5,4.313307297045575e-5
CCGT-H2_61.0,61.0,0,1.7086900933925472e-8,3.8729834385200785e-5,3.871274748426686e-5
OCGT-H2_61.0,61.0,0,2.029867865006564e-8,4.3330647303726286e-5,4.331034862507622e-5
CCGT-H2_62.0,62.0,0,1.7140749370237337e-8,4.616753288648974,4.616753271508225
OCGT-H2_62.0,62.0,0,2.03068540696568e-8,6.836892987446168e-5,6.834862302039202e-5
CCGT-H2_63.0,63.0,0,1.7080454628158572e-8,4.11154128986259e-5,4.1098332443997744e-5
OCGT-H2_63.0,63.0,0,2.0306700525352546e-8,4.6442403479084684e-5,4.642209677855933e-5
CCGT-H2_64.0,64.0,0,1.7074361679014778e-8,5.756323225931266e-5,5.754615789763364e-5
OCGT-H2_64.0,64.0,0,2.0370037683805753e-8,6.874402477632932e-5,6.872365473864552e-5
CCGT-H2_65.0,65.0,0,1.7074165039183533e-8,3.895674130827815e-5,3.893966714323896e-5
OCGT-H2_65.0,65.0,0,2.038454301138251e-8,4.4109192528031014e-5,4.408880798501963e-5
CCGT-H2_66.0,66.0,0,1.7076904808189754e-8,4.002203393533723e-5,4.000495703052904e-5
OCGT-H2_66.0,66.0,0,2.0382916493362626e-8,4.449337855776083e-5,4.447299564126747e-5
CCGT-H2_67.0,67.0,0,1.7075865342719976e-8,4.013789394427046e-5,4.012081807892774e-5
OCGT-H2_67.0,67.0,0,2.037518764160875e-8,4.4511414530475736e-5,4.4491039342834124e-5
CCGT-H2_68.0,68.0,0,1.7073884813295546e-8,4.797307915998976e-5,4.795600527517646e-5
OCGT-H2_68.0,68.0,0,2.0373194297408735e-8,5.3826181067626044e-5,5.3805807873328636e-5
CCGT-H2_69.0,69.0,0,1.7074579371998488e-8,4.079691647263473e-5,4.077984189326273e-5
OCGT-H2_69.0,69.0,0,2.0378455397234184e-8,4.55308078793687e-5,4.551042942397147e-5
CCGT-H2_70.0,70.0,0,1.7075725029210433e-8,4.867263280828721e-5,4.8655557083258e-5
OCGT-H2_70.0,70.0,0,2.037881116869266e-8,5.413310086176017e-5,5.411272205059148e-5
CCGT-H2_71.0,71.0,0,1.7081745756629602e-8,3.885812803016107e-5,3.884104628440444e-5
OCGT-H2_71.0,71.0,0,2.037020277090919e-8,4.335856266922406e-5,4.333819246645315e-5
CCGT-H2_72.0,72.0,0,1.7074081007203433e-8,5.0952571175542304e-5,5.09354970945351e-5
OCGT-H2_72.0,72.0,0,2.0369259021192174e-8,5.780947354785204e-5,5.778910428883085e-5
CCGT-H2_73.0,73.0,0,1.707417088893068e-8,5.473015156077665e-5,5.471307738988772e-5
OCGT-H2_73.0,73.0,0,2.0368017295984857e-8,6.462054933341921e-5,6.460018131612322e-5
