Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
DE1 0 CCGT,1,1163.16,1.1425352418357489e-6,3.2452898193776727e-8,1163.1599988899177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 OCGT,1,359.04,193.70563920815047,8.823330436150822e-6,165.33436961518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 biomass,1,148.2,2.6692993062550537e-6,0.0,148.19999733070068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 coal,1,5874.24861107554,5874.24837805835,0.0,0.0002330171904318945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 nuclear,1,2722.0,2.42074856770299e-6,0.0,2721.9999975792516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 oil,1,70.0,69.99776500682796,0.0,0.0022349931720483385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 onwind,1,590.61855,4.338226397872359e-8,7.103034641494725e-8,590.6185500276481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 ror,1,177.68802999999997,2.70320005307363e-7,0.0,177.68802972967995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 solar,1,2040.925306499999,3.310792703664453e-8,4.65972791162342e-6,2040.9253111266187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 CCGT,2,3351.0,473.26895165935196,9.144656420388856e-6,2877.731057485305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 OCGT,2,175.61,175.60169493574762,1.1913327919742926e-7,0.008305183385681758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 biomass,2,18.1,2.2264323487021844e-6,0.0,18.099997773567654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 coal,2,1064.7,1064.6998078126783,0.0,0.00019218732161263574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 lignite,2,35.04131531627193,35.041197348097434,0.0,0.00011796817449283292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 oil,2,24.8,24.79831086314643,0.0,0.0016891368535693063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 onwind,2,855.7914,3.233832712418288e-8,9.762613865964659e-8,855.7914000652878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 ror,2,4.782,3.8001175602930225e-8,0.0,4.781999961998824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 solar,2,859.1840639999997,4.6099358605073714e-8,1.221451991466099e-7,859.1840640760455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 CCGT,3,961.8,961.797197200949,2.2047977627633166e-6,0.002805003848860288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 OCGT,3,543.58,543.5748374088777,6.880185072713557e-8,0.005162659924229374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
