Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
CO2_Price_1,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,-476.4493892768931,0.0
AnnualSum,121248.72421108157,270292.49672940926,2.098200760093468e6,3891.0672375282,5738.95486232739,34501.119806601455,115316.63189463459,19374.411167127928,2.1935716649207305e6,17785.92273791474,96072.71277074897,22503.08764285708,1.6053544934191832,92115.85085566147,313047.1994723581,2.816495545261493e6,44824.14915670127,152069.63925344602,178058.26061770137,0.6691539488550242,0.44279738619333336,88392.94137451034,225295.55001486084,88293.03671192095,131810.73667980058,397078.8444438417,110128.26025463449,0.27342976117782714,0.0,51051.62447968273,11.805093193432647,0.0,1.0089036222028403e6,0.0,0.0,0.15927752670267661,931464.7186805381,0.0,0.0,0.0,0.0,0.3375209855503614,58006.49008234108,79962.94097609613,0.0,0.0,75904.9073126436,0.0,0.21193498596748106,0.0,103226.76765950174,0.0,1.2061933218492993,0.06683469567618107,0.27893525115484585,386416.62214181246,424888.7895242908,0.24511493582775676,283522.2531653775,354063.0522859782,95762.56335398086,1.2753261896323183,0.05552827890048301,0.6562278011342486,578533.4007487663,300599.2133670511,541291.1401207419,127148.11690647845,306557.59492107487,1.5087488640246028e6,207359.9820013229,1.3126983069258151,0.4611979348235614,0.48256882961115166,663972.6497898143,0.09471821405502714,1.7723514521822337e7
t1,1.0643657963214272e-5,1.3350478142208416e-5,1.1215018727821082e-5,5.24382067726279e-6,8.075347484592015e-6,5.257682126866628e-6,1.3638246383703882e-5,1.0837134097855729e-5,8.592289294658157e-6,7.880596522473804e-6,8.070304955417308e-6,7.992701394313705e-6,7.863355757638356e-6,1.3669461614347164e-5,1.0779779217579993e-5,1.1251406400077895e-5,1.0559352497359437e-5,1.0084188777578319e-5,1.3441203976975908e-5,7.874686396159769e-6,5.474830508687105e-6,1.0926695913250391e-5,1.1136399161381431e-5,1.0699397638712271e-5,7.657660665336193e-6,5.207861563456175e-6,7.846319374994932e-6,8.098762282030527e-6,0.0,8.189657572761436e-6,5.375495775391828e-6,0.0,3.4612411005673672e-6,0.0,0.0,2.697981420341797e-6,3.678551176803942e-6,0.0,0.0,0.0,0.0,5.557388780925723e-6,3.436654567810002e-6,5.531700453158029e-6,0.0,0.0,5.300223834097718e-6,0.0,5.5415475493361e-6,0.0,6.058167262979246e-6,0.0,5.031286693504953e-6,2.459476711480502e-6,2.5550537029061964e-6,4.981608935043897e-6,5.9056581269075145e-6,2.545080369640505e-6,7.712497755606043e-6,2.5397647023848662e-6,7.643698554740758e-6,6.112943933289376e-6,5.2622316629725235e-6,0.00041996203154905673,1.7624824486122581,62.686152668933154,239.8509863679014,30.77130782350262,98.42654214004561,368.5912625047496,1.664440349473517,0.0008674827591496483,0.00030073820625077773,0.00030397736525233725,334.21590223102737,9.253575319808105e-6,1137.9713488947334
t2,1.0641064207299649e-5,1.335072477544793e-5,1.1225383759714245e-5,5.241549250809109e-6,8.07374558216347e-6,5.254813905189994e-6,1.3637982553121269e-5,1.083324546142967e-5,8.60250758039919e-6,7.886143155805651e-6,8.068210103190521e-6,7.990171923114901e-6,7.870100480782356e-6,1.3669249486236128e-5,1.0776785996963389e-5,1.1261741432265377e-5,1.0559580600773693e-5,1.0082027603655235e-5,1.3448593099479748e-5,7.881259696311296e-6,5.473912307122881e-6,1.0923793906603946e-5,1.1134391644335884e-5,1.0696324600399667e-5,7.655642866092076e-6,5.206554185035062e-6,7.843457849353925e-6,8.097162391652165e-6,0.0,8.188148312392094e-6,5.37361219526187e-6,0.0,3.458783762207813e-6,0.0,0.0,2.6972892633077556e-6,3.677305734683626e-6,0.0,0.0,0.0,0.0,5.556487179521573e-6,3.4338739909779217e-6,5.53041903672005e-6,0.0,0.0,5.298286683028061e-6,0.0,5.540138332690091e-6,0.0,6.086514071749875e-6,0.0,5.057590067427869e-6,2.467942196736877e-6,2.571628085938634e-6,5.0061411105517535e-6,5.934073527435008e-6,2.5619263584696278e-6,7.73843229809258e-6,2.555021587720304e-6,7.67188975291085e-6,6.141972764399336e-6,5.269674256757681e-6,0.0004187463218294248,1.7624803650816288,62.68615034864748,239.85098436125736,30.771306200790416,98.4265403415856,368.5912609606647,1.6644403476370726,0.0008636944210361782,0.0002998104131722,0.00030323740549375146,334.21589997523375,9.250741762914253e-6,1137.9713288434725
t3,1.0640829925586707e-5,1.3351758108372775e-5,1.1262554103901824e-5,5.241131123975563e-6,8.073319084418617e-6,5.254185944299425e-6,1.3638418780500971e-5,1.0854127690734539e-5,8.637885623897023e-6,7.908276718855496e-6,8.067820916017398e-6,7.989478225978114e-6,7.894080537170755e-6,1.3669671274497303e-5,1.0776358784155046e-5,1.1299216914328194e-5,1.0560141864180265e-5,1.008158411052478e-5,1.34757389485442e-5,7.904891665695036e-6,5.473832956544254e-6,1.09232657766777e-5,1.1134416910124378e-5,1.0696169450833237e-5,7.655809905245963e-6,5.20735506520727e-6,7.84318817277534e-6,8.097697915228622e-6,0.0,8.188228569708845e-6,5.373453826096298e-6,0.0,3.4582238248548157e-6,0.0,0.0,2.697289179215601e-6,3.676704233482843e-6,0.0,0.0,0.0,0.0,5.5565122068661374e-6,3.4328784222730674e-6,5.5301695671110785e-6,0.0,0.0,5.298306577289929e-6,0.0,5.539280799967561e-6,0.0,6.1847919677962e-6,0.0,5.144576509932323e-6,2.5008352392469367e-6,2.6226875160234373e-6,5.091516271558052e-6,6.032986177537172e-6,2.612987908380175e-6,7.830715120242087e-6,2.6062822182061907e-6,7.79420670740121e-6,6.241083269212809e-6,5.304757858297564e-6,0.00041814086989241424,1.762479088474652,62.686148884345094,239.85098314305853,30.77130542074436,98.42653923604729,368.59126009038135,1.6644403480063696,0.0008615999015106706,0.0002988180990223948,0.00030295048590788914,334.21589861125483,9.250233404739585e-6,1137.9713179135827
t4,1.064319086956525e-5,1.3353530632538413e-5,1.1418682924963497e-5,5.242642855146749e-6,8.07437106927524e-6,5.255643499391541e-6,1.3639195354966097e-5,1.0946159193665347e-5,8.765704129909425e-6,7.992748471078788e-6,8.069409659055747e-6,7.990580330009127e-6,7.982462534750797e-6,1.3670258227640212e-5,1.0778522959117585e-5,1.1455657072587015e-5,1.056150568624931e-5,1.0083407935819429e-5,1.3600121073990469e-5,7.992650461822101e-6,5.473868134174372e-6,1.0923114955981282e-5,1.1134737530727102e-5,1.0696474156944318e-5,7.656279867315626e-6,5.208135232703436e-6,7.843281808155903e-6,8.098192909404785e-6,0.0,8.188356390645096e-6,5.3742839009433465e-6,0.0,3.459949462832008e-6,0.0,0.0,2.698233805916814e-6,3.6771885681594185e-6,0.0,0.0,0.0,0.0,5.557670561199462e-6,3.4342148239499226e-6,5.531196150378258e-6,0.0,0.0,5.300043163692616e-6,0.0,5.538466760877987e-6,0.0,6.2039484533226e-6,0.0,5.159190614755649e-6,2.5050116330315443e-6,2.632798724072572e-6,5.105693769089123e-6,6.0514379303396e-6,2.622944874633303e-6,7.845057737587832e-6,2.6160211002428197e-6,7.812456228878641e-6,6.26048097498772e-6,5.300373630631196e-6,0.0004182378031123572,1.7624782827308219,62.68614793346364,239.85098238602586,30.771305142793626,98.42653857195184,368.5912596641148,1.6644403486683934,0.0008606962788926191,0.0002979199391717053,0.0003029932385456181,334.21589774753033,9.250289596857579e-6,1137.9713126003774
t5,1.0646113313517775e-5,1.3358093920086335e-5,1.1446301360417839e-5,5.244614657785577e-6,8.075840603733227e-6,5.2580651207389534e-6,1.3641620579934804e-5,1.0961599183332034e-5,8.791047418112882e-6,8.008562863853725e-6,8.07162480488557e-6,7.992342885556478e-6,7.999236954564755e-6,1.367239599842225e-5,1.078107480070318e-5,1.1484600508935384e-5,1.0564732857463221e-5,1.0086208794569948e-5,1.3621619905802269e-5,8.00888849454176e-6,5.473978919481558e-6,1.0922940309922917e-5,1.1135192219872265e-5,1.069699875884878e-5,7.657297196470162e-6,5.208549250831523e-6,7.843374403683484e-6,8.098436291609393e-6,0.0,8.188449406048022e-6,5.375630969728552e-6,0.0,3.462529388530389e-6,0.0,0.0,2.698481950459902e-6,3.6780901273388922e-6,0.0,0.0,0.0,0.0,5.557930814289677e-6,3.43642035225273e-6,5.532542945425872e-6,0.0,0.0,5.3018582500823045e-6,0.0,5.537250039151937e-6,0.0,6.211528783672087e-6,0.0,5.164997349121577e-6,2.506831381557861e-6,2.6364005848214478e-6,5.11210907220856e-6,6.058631557457867e-6,2.6263781517824446e-6,7.850436224551787e-6,2.61987571918396e-6,7.820366998548648e-6,6.2686254187218306e-6,5.26288248411092e-6,0.0004190254577102865,1.7624778085976402,62.68614734169549,239.8509819908131,30.77130525302215,98.42653823582548,368.59125960966566,1.6644403490893225,0.000860948751049788,0.00029838077482216086,0.00030344388998015514,334.21589722242186,9.253294159769472e-6,1137.9713125228986
t6,1.0651912406047197e-5,1.3370122778999347e-5,1.146759791683811e-5,5.250269212908197e-6,8.079882141353212e-6,5.265994776702211e-6,1.3654732029293327e-5,1.0976793703801936e-5,8.811591393778738e-6,8.022474811764147e-6,8.077342165006168e-6,7.998844666367868e-6,8.013290970904181e-6,1.3685246925715217e-5,1.0788202873438884e-5,1.1508169640698813e-5,1.0575577903911348e-5,1.0091619093469742e-5,1.3639214356338936e-5,8.023359167225147e-6,5.474505109049886e-6,1.0925496664816975e-5,1.1136363130279306e-5,1.0699872186899825e-5,7.658263180542928e-6,5.207894654196708e-6,7.846279706793577e-6,8.098123629422097e-6,0.0,8.19007657445678e-6,5.3799314883313295e-6,0.0,3.469334694046111e-6,0.0,0.0,2.6993241396284702e-6,3.680544022348672e-6,0.0,0.0,0.0,0.0,5.558899688549691e-6,3.442252215199148e-6,5.536066492128901e-6,0.0,0.0,5.304834883451445e-6,0.0,5.5394058330666125e-6,0.0,6.218174558522797e-6,0.0,5.169717712765292e-6,2.509150963507546e-6,2.638934437778145e-6,5.117107640562459e-6,6.06420137589179e-6,2.6286252301313023e-6,7.855116280438386e-6,2.6234797455373154e-6,7.828926775412913e-6,6.276001470739604e-6,5.260994995686865e-6,0.00042306469454119383,1.762479314402059,62.68615520190038,239.85101038885685,92.31368977438525,98.42654424483248,1029.6011104019722,1.664440352017726,0.0008739137178318074,0.0003021580357730927,0.0003061276697464658,334.21589954612574,9.292045680039766e-6,1860.5236177707945
t7,1.0659297787878743e-5,1.338242495678502e-5,1.1484881561512825e-5,5.255173108692102e-6,8.084057168162447e-6,5.271357845183617e-6,1.3668582602776357e-5,1.0988590916218345e-5,8.82686086039684e-6,8.032131831564722e-6,8.082822652696798e-6,8.004421219367798e-6,8.023361557588044e-6,1.3698660443244258e-5,1.0795500213753376e-5,1.1525791913417743e-5,1.0589149727869844e-5,1.0099280304920823e-5,1.3653246698438292e-5,8.033464448806978e-6,5.47511383060606e-6,1.092843429759698e-5,1.1139677306521423e-5,1.0703766816744529e-5,7.662656812457664e-6,5.208962748535854e-6,7.850164112191978e-6,8.09896979187825e-6,0.0,8.193005755841095e-6,5.38321308552363e-6,0.0,3.4744876681314448e-6,0.0,0.0,2.7005858699405546e-6,3.682637843112768e-6,0.0,0.0,0.0,0.0,5.560373085904632e-6,3.446897212263089e-6,5.539171896774859e-6,0.0,0.0,5.308339893632377e-6,0.0,5.541588412458795e-6,0.0,6.223024736955319e-6,0.0,5.172893834489313e-6,2.5108405339165736e-6,2.6406342180327713e-6,5.120465045880063e-6,6.070099180597063e-6,2.630711070570137e-6,7.858808475306252e-6,2.6258344739014645e-6,7.834830837558152e-6,6.2816080533185916e-6,5.260922627952989e-6,0.0004243219258692927,1.7625052275111088,134.7964315836854,716.0281954343071,92.31370531825975,295.27953782679765,1029.6012131183916,1.6644403555838876,0.0008789245738897869,0.00030419642548394545,0.0003071000380899141,529.8819252652282,9.394505111998496e-6,2801.3302523550105
t8,1.0662469646910055e-5,1.338733878824035e-5,1.1491439116698854e-5,5.257054524445412e-6,8.085666256470453e-6,5.27335549206406e-6,1.3673185578256192e-5,1.0992916626728968e-5,8.8334507156291e-6,8.036669792023855e-6,8.085314363440682e-6,8.006984774321118e-6,8.027314397543008e-6,1.3703119026183265e-5,1.0798640972639808e-5,1.1533615589517833e-5,1.0594154623923746e-5,1.0103096478256953e-5,1.3658382637462641e-5,8.037965814292572e-6,5.476294307012046e-6,1.0931315011643053e-5,1.1142412969773559e-5,1.0707823489760282e-5,7.66695728144339e-6,5.212092810386267e-6,7.854522630298362e-6,8.101994406523807e-6,0.0,8.196471686423174e-6,5.386888599831639e-6,0.0,3.478242333147906e-6,0.0,0.0,2.7026478321432037e-6,3.684284346895201e-6,0.0,0.0,0.0,0.0,5.562845854698455e-6,3.450247442758461e-6,5.540552662704803e-6,0.0,0.0,5.311387671770149e-6,0.0,5.543135031278894e-6,0.0,6.226291901058677e-6,0.0,5.17532538669805e-6,2.5120174212566373e-6,2.6412904488039627e-6,5.122400463973201e-6,6.074900769604563e-6,2.631727976474112e-6,7.862075092734653e-6,2.6273140131126394e-6,7.838567221885025e-6,6.285319690360554e-6,5.2611995174532435e-6,0.0004186330078445144,1.7624808570690398,62.68615103829213,239.85099586372854,92.31368399001616,99.53228222847743,439.2355575258078,1.6644403582314493,0.0008689012088558575,0.0003010749527877088,0.00030400792878849904,334.2159023733941,9.277483086509082e-6,1271.2637705802795
