Line,New_Trans_Capacity,Cost_Trans_Capacity
1,1.2410273e-9,1.13687655e-8
2,1.156104e-8,7.71985e-8
3,0.123531744,0.9572509
4,2.0933263,11.724301
5,1.9406512e-9,1.6287002e-8
6,3.2296214e-8,2.651317e-7
7,1.6579099e-9,1.31528335e-8
8,0.48235676,3.6964943
9,0.9895016,5.2321835
10,4.297073,26.43223
11,8.222614,64.28475
12,5.1455383,39.5734
13,10.0,43.466427
14,6.0490533e-9,6.416066e-8
15,0.67772996,5.4216857
16,1.1436554,18.540663
17,5.241104e-10,5.4516063e-9
18,1.0475728e-8,5.9694074e-8
19,6.1551757,53.695656
20,0.54839295,9.426459
21,4.8269504e-9,4.7553044e-8
22,6.617341e-9,7.5277505e-8
23,4.874185e-9,3.8234e-8
24,10.0,105.84828
25,2.230186,15.158738
26,10.0,86.83616
27,10.0,104.792725
28,10.0,70.51048
29,10.0,89.28908
30,5.4396973,63.057655
31,1.0080487e-8,7.428161e-8
32,1.6394741e-9,1.5338292e-8
33,10.0,72.49161
34,3.8258513e-10,4.009005e-9
35,0.051541805,0.466172
36,5.929678,56.522415
37,9.397523e-9,3.8301923e-8
38,2.6014049e-9,1.5187014e-8
39,3.324684e-9,3.0586463e-8
40,3.16987,38.707844
41,10.0,127.65612
42,2.6826263e-10,4.0606087e-9
43,3.9218547,54.81445
44,10.0,125.06093
45,1.4371562e-8,2.4194006e-7
46,6.4069483e-9,1.0000043e-7
47,1.3161434e-9,1.5417939e-8
48,1.494298e-9,2.4598332e-8
49,1.9855784e-10,3.4929868e-9
50,4.312854,78.12709
51,1.7435836e-9,4.0789892e-8
52,1.3250067e-9,2.798369e-8
53,6.7827157e-9,1.0577247e-7
54,7.1735844e-9,1.2254242e-7
55,5.112684,61.54886
56,2.1252828e-9,3.8081804e-8
57,7.463784e-9,1.0076887e-7
58,6.8883595,89.03037
59,9.967041e-9,1.25393e-7
60,9.2903213e-10,8.936352e-9
61,1.5500869,18.198093
62,8.780336e-9,1.06852795e-7
63,1.7592441e-8,2.7839093e-7
64,1.6053867e-9,3.0097922e-8
65,7.3584216e-10,4.832839e-9
66,4.289326,73.48536
67,1.115346,12.86719
68,10.0,82.4684
69,6.7430794e-9,8.5631044e-8
70,10.0,82.64922
71,9.999999,104.35717
72,1.1742487,11.047353
73,10.0,141.29056
74,3.6826536e-10,5.907271e-9
75,7.978967,106.196785
76,5.7158717e-10,4.9624846e-9
77,4.375988,49.0389
78,9.850227,98.902214
79,2.8357291,34.426003
80,4.902397e-9,6.5247974e-8
81,10.0,79.35919
82,9.925699,129.52237
83,2.5040434e-10,2.8948821e-9
84,1.0906533e-9,9.427246e-9
85,3.9078755,64.062706
86,1.721228,26.172201
87,4.267674,64.24333
88,0.11705824,0.87038654
89,1.1115427,11.241725
90,0.03853325,0.23821953
91,10.0,113.60966
92,4.0557632,23.446878
93,9.647141,111.46503
94,4.0134727e-9,4.1480206e-8
95,1.4872532e-7,1.2929603e-6
96,9.35082,67.7428
97,5.0879703,43.154755
98,6.2443686e-9,5.034102e-8
99,1.9208112,21.298605
100,10.0,121.68138
101,4.206723,56.744064
102,1.0405782e-9,6.0817684e-9
103,1.6891426e-9,9.841761e-9
104,2.2066543,14.265501
105,2.0248573,17.297562
106,10.0,66.37384
107,1.5577137e-9,1.6988315e-8
108,5.940074e-10,2.2304303e-9
109,2.342469e-8,1.2622169e-7
110,10.0,156.27272
111,2.0831603e-9,1.2665835e-8
112,6.3515687,87.42387
113,2.6885452e-10,2.1197117e-9
114,7.3431954e-9,1.2346644e-7
115,2.863159,31.740154
116,1.355269,18.54284
117,3.75784,44.615902
118,10.0,66.95375
119,0.65547657,5.188823
120,2.0539221e-9,1.6407595e-8
121,1.9625256,28.228138
122,9.079791e-9,1.0551659e-7
123,1.8593489,28.548233
124,2.8173883e-10,2.5428646e-9
125,3.7361128e-10,3.1766205e-9
126,6.4919106e-9,4.5951683e-8
127,2.641155,27.55195
128,1.0595543e-9,9.844932e-9
129,2.004175,23.680065
130,4.4179335,59.603867
131,1.9734094,143.29126
132,3.8124473e-10,5.148607e-8
133,5.4884164e-10,1.3344084e-8
134,10.0,321.14584
135,4.934443e-10,1.6549697e-8
136,1.9586577e-9,6.135942e-8
137,1.15177784e-7,9.254045e-6
138,1.9777854e-6,0.0001321429
139,1.9883534e-7,8.0948685e-6
140,4.0612622e-7,1.2241094e-5
141,7.9482703,486.0778
142,3.7068713e-7,1.7031829e-5
143,2.459555,159.8753
144,3.6378435e-7,1.0610792e-5
145,10.0,433.71515
146,5.17668,646.3469
147,2.229869,18.620771
