Line,New_Trans_Capacity,Cost_Trans_Capacity,Line_Max_Flow_MW,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
1,1.2410273e-06,1.13687655e-08,4362.853663,DE1 0,8.585665972,49.23105928,DE1 11,8.059747295,47.88802187
2,1.156104e-05,7.71985e-08,15060.90012,DE1 0,8.585665972,49.23105928,DE1 12,9.580929922,48.46048444
3,123.531744,0.9572509,3566.015485,DE1 0,8.585665972,49.23105928,DE1 18,6.961294781,49.74481059
4,2093.3263,11.724301,9117.540976,DE1 0,8.585665972,49.23105928,DE1 7,8.614807726,50.07909121
5,1.9406512e-06,1.6287002e-08,2377.343656,DE1 1,9.745630895,51.04223934,DE1 14,11.75030038,51.22456746
6,3.2296214e-05,2.651317e-07,2377.343656,DE1 1,9.745630895,51.04223934,DE1 15,10.35871363,52.2258987
7,1.6579099000000002e-06,1.31528335e-08,2377.343656,DE1 1,9.745630895,51.04223934,DE1 7,8.614807726,50.07909121
8,482.35676,3.6964943,4754.687313,DE1 1,9.745630895,51.04223934,DE1 9,8.718996773,52.01133541
9,989.5015999999999,5.2321835,2377.343656,DE1 10,8.442956595,53.18344976,DE1 16,7.383087925,52.70033778
10,4297.073,26.43223,3971.020013,DE1 10,8.442956595,53.18344976,DE1 5,9.656115621,53.77222271
11,8222.614,64.28475,1593.676357,DE1 10,8.442956595,53.18344976,DE1 9,8.718996773,52.01133541
12,5145.5383,39.5734,4754.687313,DE1 11,8.059747295,47.88802187,DE1 12,9.580929922,48.46048444
13,10000.0,43.466427,3964.434574,DE1 11,8.059747295,47.88802187,FR1 17,7.098681163,48.02632462
14,6.0490533e-06,6.416066e-08,2377.343656,DE1 12,9.580929922,48.46048444,DE1 19,10.72308407,49.88281742
15,677.72996,5.4216857,5551.525491,DE1 12,9.580929922,48.46048444,DE1 4,11.39973609,48.35883243
16,1143.6554,18.540663,2377.343656,DE1 13,12.50484475,48.81759488,DE1 14,11.75030038,51.22456746
17,5.241104e-07,5.4516063e-09,796.8381785,DE1 13,12.50484475,48.81759488,DE1 19,10.72308407,49.88281742
18,1.0475728e-05,5.9694074e-08,4362.853663,DE1 13,12.50484475,48.81759488,DE1 4,11.39973609,48.35883243
19,6155.1757,53.695656,2377.343656,DE1 14,11.75030038,51.22456746,DE1 15,10.35871363,52.2258987
