Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,Zone27,Zone28,Zone29,Zone30,Zone31,Zone32,Zone33,Zone34,Zone35,Zone36,Zone37,Zone38,Zone39,Zone40,Zone41,Zone42,Zone43,Zone44,Zone45,Zone46,Zone47,Zone48,Zone49,Zone50,Zone51,Zone52,Zone53,Zone54,Zone55,Zone56,Zone57,Zone58,Zone59,Zone60,Zone61,Zone62,Zone63,Zone64,Zone65,Zone66,Zone67,Zone68,Zone69,Zone70,Zone71,Zone72,Zone73,Zone74,Zone75,Zone76
cH2Total,2.4731390985059826e10,4.75780534589407e7,4.694411395971838e6,2.398522652140874e8,4.2808743643863825e6,1.2771258813739078e8,3.6877999598389596e7,1.1983391756303862e7,5.305865055084737e7,2.8454051578854685e9,3.696569165259633e6,1.041814969345753e7,4.41687262954287e7,7.220493084755528e7,1.8354839067364013e8,3.3059928786231697e8,2.53194488973441e9,1.0301719046960622e7,2.863446874387032e8,1.7340120093037513e8,3.0442891192225665e7,5.875881852122516e7,4.5352665724869736e7,3.1114435869919026e8,2.999699472854191e8,3.755098654521314e8,5.1570766569908744e8,5.618004918697301e7,1.0945247448486993e8,2.89517009365213e7,4.896756128139464e8,6.934446394797905e6,8.620580174824911e7,3.052171443812532e9,5.122588169876414e7,9.598957083213046e6,3.160423218495634e7,1.2161609226307895e9,1.2708966975845955e8,6.562476180068752e7,1.0412690389132764e7,3.058612504454002e7,7.601278506882189e7,6.930438647464885e8,2.9377474273028164e6,1.0858557221680583e8,7.029274767215829e7,3.816291726929015e8,1.995063125077634e7,8.435546272055165e7,1.0650723425243323e8,1.3454199514554727e9,5.912292417931013e6,1.4584654454720864e7,2.1603262558375508e7,2.4025960700834107e7,6.429916598359585e8,1.1031356514222734e9,1.6202358472106516e8,9.571523857988355e7,8.882877379789832e7,7.490379955363752e7,5.155610358941008e8,1.650560119357531e7,1.1343628427200651e8,2.43658794727239e8,5.834711175859707e7,5.99488317029788e7,1.3976235489073503e8,1.0685109808566369e8,4.0637809276417553e8,4.2753805094176866e7,3.3199567493970305e8,2.098304852487262e8,3.317385530104139e8,2.3968315376943484e7,2.3095155440272155e8
cH2Fix_Gen,7.145871668457819e9,4.668974110089147e7,4.532324066605538e6,8.23757923083964e7,23.76318271530177,5.523177092217043e7,3.687798218149298e7,31.941983022290398,2.429500021344355e7,9.004564714236987e8,2.3241233779312917e6,18.17520382527467,2.177878962824634e7,5.564983157753958e7,7.443042911305676e6,1.1314377105521409e8,7.917800094117076e8,2.0695504745753682e6,5.778143812615322e7,1.5201903858354738e7,2.6975281789248537e7,2.787748420652437e7,4.259868991741818e7,1.0726994120268096e8,1.0129841796408685e8,9.93660167447883e7,1.7151275744454706e8,1.8732669475009955e7,6.13892163179186e7,1.6559027743467204e7,9.909473821991459e7,4.811095308886123e6,6.706578944402607e7,9.918300034207815e8,4.130174187853715e6,3.9299323525039665e6,1.3465936765478434e7,3.7519409623243695e8,1.2708966125865042e8,4.0074779715506155e6,172072.47342830253,1.2591349021948306e7,2.786363087110471e7,2.1486541212109822e8,16.36688283212749,2.49669622264104e7,1.142511991810413e7,6.642470878374809e6,4.76709465207816e6,2.634604056808763e7,2.957814399898641e7,5.434121027506174e8,2.665434169127911e6,1.0220647306548493e7,1.6174795720268061e7,1.0418569719936656e7,5.43894444319379e7,3.354397683920809e8,7.549150438060412e7,4.7079846720849864e7,7.200379775245483e7,6.259311688973613e7,1.5405297676658264e8,1.4913507563177275e7,4.3874841100163005e7,9.179575688837321,43.391812886142944,5.805563899530901e6,7.757558682729527e7,1.4770685313252535e7,1.3288176304722975e8,1.7885959599682853e7,1.598560160274854e8,8.905023136964692e7,1.6761017753299087e8,17.93335874561336,9.66569230895009e7
cH2Fix_Liq,5.007610636565774e9,883110.9596390137,162079.09237434383,1.2402985724746266e7,4.261608615770312e6,7.203129133438659e7,1.0363006096842704,1.1915616168371875e7,2.8643129644417357e7,5.007102277940227e6,1.3646790598172224e6,1.0368264557327993e7,2.227252620061361e7,1.6470432031375967e7,1.7515951934599164e8,2.1384909778225833e8,8.07599842405745e7,8.192842045722101e6,2.2737228113404745e8,1.5754742091429788e8,3.448037313226534e6,8.909493345401315e6,2.732783546916615e6,1.3683676033989823e8,1.2843631496241114e8,2.3875062200535822e8,2.168035376805252e8,3.7249335118267216e7,2.628127353352889e7,1.116197613632655e6,3.14926093626515e8,2.1092932779631563e6,1.912465294681019e7,1.036315862269994,4.685508485368457e7,5.631833364979245e6,1.7872665861770045e7,6.042918710657138e6,1.0363092483048257,6.133182945091543e7,1.018452015444959e7,1.7882660686527293e7,4.7856720590878695e7,1.5758636458670864e7,2.9216761784998067e6,8.319696628355327e7,5.857667732886529e7,3.733041875030019e8,1.5094927478475993e7,5.7695674827998154e7,7.6360542132865e7,880523.3897807717,3.2253207699979013e6,3.9027276662798603e6,5.10847199981909e6,1.2872093241842475e7,5.846273978922288e8,1.0580287776586775e8,8.606943875505292e7,4.835919748010968e7,1.6693423543841252e7,1.2230390426775925e7,3.5854814920319274e7,201411.78722588747,2.886339517719949e7,2.4245346242837784e8,5.787069104850105e7,5.244518935385239e7,5.68110922838792e6,8.321832352857392e7,2.0614512526380503e8,2.4717014115110163e7,5.735192535352427e7,4.809386403043872e7,1.0232675738830426e8,2.3746729467150107e7,7.69130691285667e7
cH2Fix_G2P,2.6308464105578303e7,3.774790244570966,4.7514336963708566,701968.3615831531,3.666894736783502,3.2420218055099865,3.413397622272041,5.073602350628912,8.97802082309296,2.1691395060075107e6,12.92276860165871,4.527051793855362,3.819355091530353,7.393446414422983,7.517120057309914,2.9322415248819103,7.146470120317098e6,4.254187386362428,4.755275856434,13.689468303375959,7.598138330245866,2.758322736444926,2.7458709207733545,2.802610803974798,2.77464054196328,2.6891665330980152,2.72934415296121,2.834804922769008,2.7239297284235766,2.5816367078990092,2.9913969467366686,3.3065895615596936,3.083247436395924,20.37158797530835,3.3025628592593166,3.069823985897489,3.5518019006133845,14.32937716223671,4.214163293130944,3.2447006910224103,4.038967283165581,2.9726688309611697,4.238750456254569,32.19298365150037,5.350164739042192,2.845774142976714,2.865192900759116,6.248660924714288,3.000480470133908,2.84740701440825,10.483902495115046,4.445015868026633e6,9.267229955188007,3.7766229319233022,4.678182682512372,3.682344039185963,6.4779684882076385,7.65434046116315e6,6.300343431185065,4.473752711579746,9.899034360978323,8.083536815393769,4.191165626153226e6,3.7586620967558293,2.4061942864840646,4.532788384610764,3.3684462418321153,3.0014085469977627,2.5798235192406866,3.0134644112825977,2.6351897697104,2.865955434811674,2.471658746971627,2.4059664292393568,2.9122336819018697,3.3786449754346255,2.693129189910151
cH2Fix_Stor,1.3696447827450916e8,5196.031621081623,2.561303746682093,51328.94279778149,19236.81193935808,449520.21238437603,8.025423094589797,67737.34123567594,120510.82762510932,30831.306971075403,7752.843542306847,49861.36454211376,117404.85561706372,84659.14407552894,945819.6997868482,3.6064124936237033e6,385979.48406657664,39320.407441505224,1.1909623619728787e6,651861.4015759389,19563.644000263896,61192.66413040594,21130.057307186133,9.195222805926353e6,3.829119717117053e6,4.051947619999745e6,6.121410580099361e6,198035.8713827925,5.013626974605616e6,498960.3523500268,5.994901011563731e6,14053.675850740505,15355.043660924257,2.7078440688502003,240618.44421081565,37186.87378241969,265625.33020486234,43241.75525224425,2.646616906656424,285450.1753538641,56092.67726367526,112109.68835530741,292428.80018397735,102832.4715996434,16048.778969980478,421636.3200596812,290945.0029209806,1.6825074670635692e6,88604.16372223682,313741.8574455666,568536.7132498246,5084.264307187601,21527.391892479092,461274.63736616547,319989.30287409684,735293.1041747065,3.9748102619827944e6,532415.5834682719,462634.510193891,276189.0073231467,131541.8623635496,80283.343294796,279448.1290396292,1.3906771071290334e6,2.345091517687345e6,1.2053161055007286e6,476366.1015248798,289123.68359787535,6.176898167379906e6,683895.0001420531,1.1559447154008303e7,150826.79651849004,1.484270539524068e7,7.346027268334017e6,2.4983581503571022e7,221559.97875138168,1.0335933087203138e7
cH2Var,9.663367882893414e9,1.5104024353198582,0.8024944127162379,1.4429606205219698e8,1.4266625004094458,2.3608099118508634,4.876367818286711,1.1055698749753826,0.6165878739454936,1.9376626848208714e9,0.5493915701648672,0.9599383800737744,1.7110170902335213,0.47951248357251547,0.9809443395052568,3.5527824096730134,1.651645313594007e9,1.7684732237717304,0.9439026636564369,0.6339259102794513,0.6186808590662086,2.1910645505664743e7,59.42489870680701,5.784243151452972e7,6.6406091835004926e7,3.3341276360493623e7,1.212699572324004e8,5.849045954425814,1.6768354889790976e7,1.0777512616540583e7,6.96598769235246e7,0.7608976416625468,1.1793421294238315,2.0603414155598385e9,0.8498634231391263,1.3724934579408405,0.5883432185947023,8.348806510819353e8,0.4992017863175205,0.899766093826863,0.9481066568385944,2.625525183629726,0.46262603030322264,4.6231695014323604e8,0.6090325648641798,4.498978315718662,2.5131746119026177,0.3956411291701426,1.9090299017230865,2.5723525842029957,0.5537906567054122,7.965343203916662e8,0.4979080979374506,0.9472555411074361,0.696899215813419,0.8420138191826734,0.5654622759223669,6.534605214000976e8,0.5698910603007837,0.7597030144727525,0.41155587623172524,0.5420624205480693,3.210440251071195e8,0.8662301063107573,3.835295404214474e7,2.342884154676485,7.771037789248934,1.4089517117685063e6,5.032875806476763e7,8.1781911792275e6,5.579175463740235e7,1.6778561569280503,9.99450256693354e7,6.534036014940884e7,3.6818033597459376e7,4.541530295220497,4.704562637136109e7
cH2Var_G2P,857437.2031780675,0.08159646243413458,0.12176009926134722,24127.824366796252,0.07993675926124642,0.06561766408509372,0.0654074684564809,0.12554106224257952,0.27075265320648756,78928.54997973303,0.41180864092072306,0.10939342458936042,0.08057949499696619,0.2216052978504293,0.21849155676461102,0.046196863592739924,227132.88373696822,0.09656103806817735,0.11735110387274025,0.4327523416515218,0.22893113901628762,0.04118158179799083,0.03245811960771874,0.03354427834498482,0.03215859640650954,0.03232497490456517,0.032171371201068034,0.038462172011165564,0.04509611485700921,0.028894119666069265,0.04103158459781732,0.06461068161966911,0.05116237625425529,0.7161640084782692,0.0605887593986269,0.04962997144269446,0.08735787758836659,0.5211305323623774,0.10351791824871044,0.058400818470966905,0.09691725545630406,0.049515103949600334,0.10527803041227761,1.3588999520189835,0.1437528935717503,0.042030033182955756,0.043900382673234935,0.20015909537154175,0.04698957368185727,0.04726071032213686,0.36963882336822274,142904.79107476844,0.3217746686454561,0.12064786998039538,0.16033235669175855,0.11052240874118714,0.2063779997566066,245727.81959574757,0.2049797109373766,0.13814512174480387,0.3286484668167853,0.26823142769560143,138605.34488646846,0.1111509090318787,0.028617660085696613,0.13811223324558186,0.07727422336921419,0.05282057535542995,0.02308077638043928,0.05100327431750242,0.02654035903044567,0.039053778470687514,0.022458544457252663,0.02493125586679854,0.07585470628923503,0.07750797597941861,0.03296050035584161
cH2NSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cH2Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cNetworkExp,2.7504104175595527e9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cH2Fix_Truck,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cH2Var_Truck,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
