Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
AnnualSum,0.012656613,0.006724606,57752.305,0.011954904,0.019782713,0.040862158,0.009264266,0.005166778,775520.0,0.004603698,0.008043928,0.01433769,0.004018137,0.00821995,0.029771,661045.9,0.014819151,0.007909555,0.005312064,0.0051843165,183603.1,0.49795863,484698.16,556458.44,279387.56,1.0161973e6,0.04901284,140512.61,90311.56,583723.94,0.0063760406,0.00988245,824620.25,0.0071215406,0.011500987,0.004930098,334148.25,0.004183126,0.007539707,0.007944782,0.02200093,0.0038766349,185035.31,0.0051034675,0.03769977,0.021059472,0.003315326,0.015996963,0.021555362,0.0046405606,318800.72,0.0041722856,0.00793765,0.005839757,0.007055764,0.0047383644,261537.62,0.004775476,0.00636603,0.0034486859,0.0045422823,128492.984,0.0072586876,321383.56,0.019632502,0.06511842,11806.493,421736.34,68530.21,467514.25,0.014059813,837502.3,547528.0,308521.5,0.03805634,394224.94,1.0260593e7
t1,1.7147786768228363e-7,1.73454686596869e-7,1.9037945506401825,1.7541766290233108e-7,1.7337055655553985e-7,1.8220206278221557e-7,1.7656996051367642e-7,1.7231820310781376e-7,46.65806257386903,1.7300554173989422e-7,1.7439701942991958e-7,1.7918874754007198e-7,1.7085787445834636e-7,1.7817505086543004e-7,1.723642905551516e-7,68.15861092960361,1.819326614585905e-7,1.7394788999324106e-7,1.7146130920278592e-7,1.6717074988825568e-7,1.7141423331476017e-7,1.639286971212444e-7,1.7252583407507565e-7,1.680295025015644e-7,1.6866618326684628e-7,1.6878867581057525e-7,1.734509829818387e-7,1.7072142396220532e-7,1.6983701933034547e-7,1.7221338784030122e-7,1.6658269169747511e-7,1.756490115404321e-7,36.617544761818046,1.653992449297331e-7,1.710719131636732e-7,1.6103684807121056e-7,1.350017367766654e-6,1.6829620194888085e-7,1.6694546167076263e-7,1.6931455486440477e-7,1.7099874009013666e-7,1.6386591376325831e-7,1.8289385951542363e-6,1.670402301895759e-7,1.7919639925773895e-7,1.6850259155749692e-7,1.6651910312802462e-7,1.7034324080060697e-7,1.674473478155909e-7,1.6862409074424952e-7,6.949657863497006e-7,1.6872601917270611e-7,1.6737204300005362e-7,1.6101944814647124e-7,1.655003943892491e-7,1.6702050151295123e-7,1.1469476918540543e-6,1.6199676644322943e-7,1.648908409794293e-7,1.6391485574942923e-7,1.6689084511853625e-7,0.0001981338652234861,1.6519157257817704e-7,86.00233979775437,2.730456929047384e-7,3.004177832422596e-5,4.679498041123576,119.35359545970566,24.31644683412969,167.78244000856537,1.9573153432987275e-7,230.00595807780405,132.42271898855296,122.13400988761772,2.463259254663888e-6,116.80870852219206,1156.843973748171
t2,1.7150617733626634e-7,1.7348081935607166e-7,2.4236374696248273,1.7544679952262786e-7,1.733985901139362e-7,1.822326503992286e-7,1.765989526738659e-7,1.7234340601083833e-7,121.0133807397543,1.730276520596835e-7,1.7442462903113291e-7,1.7921913256915787e-7,1.708889238208623e-7,1.782035880436287e-7,1.7239363330747994e-7,91.7680799627094,1.8196573167807593e-7,1.7397567926529326e-7,1.7149301766299142e-7,1.671969520013281e-7,1.7159840632823074e-7,1.642002889572578e-7,1.7267017797310965e-7,1.6822751975503947e-7,1.6892264419393567e-7,1.689846575701e-7,1.7513364311417158e-7,1.6921269790264691e-7,1.699504944814601e-7,1.722260855037866e-7,1.6660918183559215e-7,1.756687971436074e-7,3.8085009999454246e-5,1.65420777056429e-7,1.711044287156203e-7,1.6107665285625387e-7,1.3659878269834868e-6,1.6831561781522315e-7,1.669761525443513e-7,1.6933834772820118e-7,1.7103508688788293e-7,1.6388654354149008e-7,1.8285746864055732e-6,1.6706531037763292e-7,1.7924063036105543e-7,1.685416240940375e-7,1.6654080277906166e-7,1.7037948866500418e-7,1.674838703521755e-7,1.6864016940218772e-7,6.956932759828245e-7,1.687529503290551e-7,1.6741495911992912e-7,1.6104684663657538e-7,1.6552628344851894e-7,1.6704036507777e-7,1.1479155198763137e-6,1.6201805095854694e-7,1.6491492681473824e-7,1.6394080333352028e-7,1.6690547532246187e-7,6.075805600543027e-5,1.6520506865966424e-7,86.00233979775821,2.731654270013906e-7,3.0042027238690038e-5,4.679498041411503,119.35359545970738,24.316446836275837,167.78244000841684,1.9576776788514844e-7,230.00595807802867,132.42271898855222,122.13400988761956,2.544694688119625e-6,116.8087085222066,1218.71095991797
t3,1.715563641907311e-7,1.7353112597031647e-7,2.4236515955396905,1.7549842191817873e-7,1.7344894128864146e-7,1.8228849335544106e-7,1.7665552267447648e-7,1.7239229899337064e-7,129.05533144915702,1.7307582823197368e-7,1.7447494806425965e-7,1.7927696366940524e-7,1.7093929067038024e-7,1.7825950333576368e-7,1.7244083248614723e-7,91.76808129459039,1.8202428868422273e-7,1.7402766025138375e-7,1.715437104258952e-7,1.672450233182079e-7,1.716556579695526e-7,1.6428679823839266e-7,1.7271015340318534e-7,1.6830619104182225e-7,1.6900693406961594e-7,1.6906876685520114e-7,1.7519363945575652e-7,1.693138472717612e-7,1.699973488209429e-7,1.7226959464626422e-7,1.6665996214134296e-7,1.7571598220123173e-7,4.915506813920199e-5,1.6546803745373478e-7,1.7117198714480396e-7,1.6114659984819823e-7,1.4038191879370758e-6,1.6836190822016307e-7,1.670469596445175e-7,1.6938978783807873e-7,1.7110945030947796e-7,1.6394197803905142e-7,1.8647699284630169e-6,1.6711663114607248e-7,1.793187424626919e-7,1.6861970230960414e-7,1.6658760454649248e-7,1.7045370356320105e-7,1.675554155451908e-7,1.6868983160330425e-7,6.994454977526131e-7,1.6879871813943066e-7,1.6748221348406514e-7,1.6110276051350955e-7,1.6558370480439224e-7,1.6708478163469499e-7,1.1581643120564079e-6,1.6206822499300146e-7,1.649749066783472e-7,1.639900346126996e-7,1.6695543851498891e-7,0.684080071094954,1.652771252641038e-7,86.00233979775592,2.7313753483784515e-7,3.004211025265699e-5,4.6794980414584035,119.35359545987656,24.316446837381797,167.78244000846757,1.9583334120306098e-7,230.00595807812354,132.42271898855358,122.1340098876167,2.5360669569076277e-6,116.80870852221211,1227.4369565524037
t4,1.7161153087514185e-7,1.735883128371548e-7,2.248046607965883,1.755609531613499e-7,1.7350376029331967e-7,1.8234913394019947e-7,1.767187359152951e-7,1.7244677543473144e-7,46.67231446366009,1.7312986662531615e-7,1.745428503064309e-7,1.7934125298881084e-7,1.70993747125192e-7,1.7832154260057667e-7,1.7247906891871155e-7,74.53295811882396,1.820890409185184e-7,1.74085153810817e-7,1.71598257048823e-7,1.6729851893049218e-7,1.7171717166540165e-7,1.6434564769104222e-7,1.7276962526031233e-7,1.683648272689596e-7,1.6906730884924576e-7,1.6913792084745873e-7,1.7525380216502239e-7,1.6934339476229385e-7,1.7005525443335293e-7,1.7232156477886692e-7,1.6670436595895886e-7,1.757706375594938e-7,1.8495876786172696e-5,1.6551426921893544e-7,1.7119917201489689e-7,1.6119043731492976e-7,1.3186015603027324e-6,1.6841720775850498e-7,1.6707316168518785e-7,1.6943587747987713e-7,1.7113534520036412e-7,1.6395954364134212e-7,1.7399491744598852e-6,1.6715763979516116e-7,1.7933039069359485e-7,1.6864679872730775e-7,1.666383424911922e-7,1.704762991239317e-7,1.6756514545791888e-7,1.687214877658198e-7,6.862530242700368e-7,1.688396998614173e-7,1.6754329801764457e-7,1.611736792361441e-7,1.656488437336274e-7,1.6712904879746736e-7,1.1250986847789977e-6,1.6212142768672104e-7,1.6500696366085427e-7,1.640113718614213e-7,1.669877151691783e-7,1.0485686105536917e-5,1.653330043269348e-7,86.00233979775584,2.7321206455314493e-7,3.0042076282234735e-5,4.679498041476866,119.35359545985445,24.316446837946636,167.78244000844938,1.9590375315421247e-7,230.00595807806897,132.42271898855248,122.1340098876148,2.5447930270632695e-6,116.80870852221443,1126.9591109146004
t5,1.7166494924515624e-7,1.7364549043435428e-7,1.841173206876476,1.7562096534953501e-7,1.7355799064835712e-7,1.8240938338503165e-7,1.767811444136099e-7,1.7250184802257387e-7,39.6300436479278,1.7318514671529934e-7,1.7458541835722188e-7,1.794058781795371e-7,1.7105071460251183e-7,1.7838360241491803e-7,1.7251651109915615e-7,6.7818380013652035,1.8215594761046575e-7,1.7414141499517604e-7,1.7165518736283665e-7,1.673540184710896e-7,1.7177830143801574e-7,1.6439977911816245e-7,1.7284639910084444e-7,1.6842138327574555e-7,1.6912210547352507e-7,1.692093334018201e-7,1.753066603853342e-7,1.692851319899912e-7,1.7012083805093954e-7,1.7239174871008152e-7,1.6674832613039437e-7,1.7582207026077086e-7,1.675373893403797e-5,1.6555657643468114e-7,1.7123790197549508e-7,1.6117218008791416e-7,1.2823016000409577e-6,1.6846700090057117e-7,1.6710111605534405e-7,1.6948843388206284e-7,1.7117740720519317e-7,1.6397405818686223e-7,1.6832932167079529e-6,1.672057540767912e-7,1.7933405321903715e-7,1.6869079249951322e-7,1.6668608567197657e-7,1.705136902766273e-7,1.6755368647745566e-7,1.687493634800783e-7,6.798168580322931e-7,1.6888702591031563e-7,1.6753202490629699e-7,1.6128705098408481e-7,1.657372468142601e-7,1.671716318207799e-7,1.1157030918645992e-6,1.6217107575513433e-7,1.6504178947099403e-7,1.6402959338300315e-7,1.670106877239499e-7,1.045476968542305e-5,1.654020484718115e-7,86.00233979775106,2.733292647825758e-7,3.0041718244650982e-5,4.679498040804112,119.35359545946748,24.31644680370273,167.78244000839211,1.9595972297217154e-7,230.00595807763605,132.42271898854906,122.13400988761958,2.4618181676863883e-6,116.80870852220733,1051.7588445819938
t6,1.717016822108648e-7,1.7369397156923554e-7,1.9941827449942973,1.7566668781255996e-7,1.7359414220872392e-7,1.824513184441538e-7,1.7682436665307688e-7,1.7253626883395912e-7,38.66904272352658,1.732215136212355e-7,1.7460849251848775e-7,1.7945513010597934e-7,1.7108268714253608e-7,1.7842537153301042e-7,1.7254250206982347e-7,6.170188429164198,1.8220687766582162e-7,1.7417947255829284e-7,1.7169609156962025e-7,1.673905078717599e-7,1.716580543468832e-7,1.657920327106359e-7,1.7440108648168413e-7,1.6833578808598994e-7,1.687595256531771e-7,1.705321321991844e-7,1.732558976916626e-7,1.709614201319516e-7,1.7011699890579383e-7,1.7248101743134558e-7,1.6672132420129692e-7,1.7585017152914213e-7,7.070677427336832e-7,1.655512349302084e-7,1.7049229958786865e-7,1.5506984171311945e-7,5.766208790430782e-7,1.6839473349629432e-7,1.6615889354913216e-7,1.6952558537695823e-7,1.697628349502082e-7,1.6310486197787405e-7,5.639005652005267e-7,1.67231144598803e-7,1.7631965442526877e-7,1.6789868841760952e-7,1.6669704446269133e-7,1.6957896537125268e-7,1.6023001782239293e-7,1.680413554774499e-7,4.3200657455912187e-7,1.6887880570748413e-7,1.665966024248522e-7,1.6093370006642427e-7,1.6506206734621154e-7,1.671905749695123e-7,5.685896527453221e-7,1.621617623197468e-7,1.6426755153029282e-7,1.6326225627643516e-7,1.6598332536608864e-7,3.946073089077695e-7,1.6466654129892272e-7,86.00233979450131,2.556242038404738e-7,3.0022351194068596e-5,4.679498017608857,119.35359545962919,24.316441618758752,167.78244000400235,1.934602246865727e-7,230.00595807604267,132.4227189864344,122.13400988761175,1.7671856178326523e-6,116.80870852206822,1050.3391689189593
t7,1.7151524558332067e-7,1.7423975083230172e-7,1.6960363173972568,1.7678892208984343e-7,1.7340700198426964e-7,1.8225287225731873e-7,1.76669938091699e-7,1.7238202357223684e-7,5.629811009701613e-7,1.730832510968374e-7,1.7448917874514198e-7,1.801709722961741e-7,1.700972996270643e-7,1.7825593684306524e-7,1.711160661249744e-7,6.179325821024197e-7,1.8202816607631707e-7,1.7401191026533114e-7,1.715164919611859e-7,1.6718660155890557e-7,1.7142396428261994e-7,1.6624053895278814e-7,1.7434213635610512e-7,1.6974578053686924e-7,1.69862716291315e-7,1.7165399260802228e-7,1.7283601581092258e-7,1.7078595721565354e-7,1.700207078170242e-7,1.72278830278132e-7,1.6657856837717342e-7,1.7572261928968115e-7,5.737565753368204e-7,1.6541242263776583e-7,1.703424874598693e-7,1.5687901512733707e-7,5.479537861896272e-7,1.6814714480960743e-7,1.6596455063703289e-7,1.6990182607331773e-7,1.6944413436338637e-7,1.6290464012853122e-7,5.376394486479261e-7,1.669024520594324e-7,1.7574651359639958e-7,1.674933174161134e-7,1.6653790420803222e-7,1.6941371197967753e-7,1.6132884232563698e-7,1.6788741972441822e-7,4.122664132722876e-7,1.6879223937888164e-7,1.6752752517051945e-7,1.617658609298403e-7,1.6651371003657516e-7,1.6695576413366245e-7,5.391190512380953e-7,1.6212596102055227e-7,1.6410018123053523e-7,1.629320136974078e-7,1.6576812985712344e-7,3.8447179214713655e-7,1.6475735484682387e-7,86.00233979294714,2.440205247666029e-7,3.0001256020528606e-5,4.679497992568765,119.353595459604,12.158251915157349,167.78243999072666,1.9281634272442611e-7,230.00595807170112,132.42271898331097,122.13400988761586,1.358102527091533e-6,116.80870852201814,993.043602081612
t8,1.7154735201644673e-7,1.7430120542680767e-7,1.696030720221769,1.7683279029378828e-7,1.7331758257704637e-7,1.8228797083229086e-7,1.7670749704930092e-7,1.7241153610947706e-7,5.581658870546122e-7,1.7311377832772145e-7,1.745268325609173e-7,1.8022322190833814e-7,1.7009239299104017e-7,1.782830107156451e-7,1.7106642397197722e-7,5.808141585454897e-7,1.8207316880460276e-7,1.7403916083606102e-7,1.7154422066662165e-7,1.67212356177282e-7,1.714418678193088e-7,1.6628237633864803e-7,1.7437101819704073e-7,1.6978412418317708e-7,1.7024089732083064e-7,1.716854906084866e-7,1.753068736844603e-7,1.7084598736867522e-7,1.7141217279882977e-7,1.7232685309025335e-7,1.666076469433628e-7,1.7574873684025506e-7,5.383652904137438e-7,1.6543739916423603e-7,1.7037366102727976e-7,1.5934206798623985e-7,5.355114670239926e-7,1.6811267570099603e-7,1.6598740260647553e-7,1.6993483464032774e-7,1.695033871695866e-7,1.6288538879918037e-7,5.267418191652968e-7,1.6692634439934512e-7,1.7532544718914118e-7,1.6782011883351447e-7,1.6639841089190355e-7,1.708244225838952e-7,1.6372584817891432e-7,1.679379387506959e-7,4.14044327539625e-7,1.6872032729425966e-7,1.6801610717761617e-7,1.6185259147507906e-7,1.665996588941378e-7,1.6700021766394253e-7,5.382796757823859e-7,1.6222907055474062e-7,1.6456305369236107e-7,1.6300836688174386e-7,1.6625498422292345e-7,3.8533218784435057e-7,1.6482688140233492e-7,86.00233979294697,2.434401824615303e-7,3.0001453572051306e-5,4.679497992686879,119.35359545963647,12.158230775287134,167.78243999087013,1.9227339364019342e-7,230.00595807159846,132.42271898331757,122.13400988761602,1.387397493290779e-6,116.80870852212047,993.0435752873624
t9,1.7159613341341667e-7,1.743527532769095e-7,1.2890369608016814,1.768843254185271e-7,1.7337354383703416e-7,1.8234017626815952e-7,1.767613007855943e-7,1.7245788536200492e-7,5.549358210565959e-7,1.7316062491575152e-7,1.7457521005028078e-7,1.8027870420250245e-7,1.7013897348611006e-7,1.7833805870514063e-7,1.7111908477269786e-7,5.796208680419143e-7,1.8213184489387866e-7,1.7407601819663104e-7,1.715913442088543e-7,1.6725794567376215e-7,1.7153189111985985e-7,1.6632549365968092e-7,1.7440575864016196e-7,1.6982608770315927e-7,1.6994997435408608e-7,1.7174592885439717e-7,1.7291949821916646e-7,1.709242656587169e-7,1.7008526927508152e-7,1.7239424071264108e-7,1.6665369866719776e-7,1.757953484159934e-7,5.49988785535961e-7,1.654817420308585e-7,1.7041610001577157e-7,1.5940991109755945e-7,5.351857628505524e-7,1.6819342457150473e-7,1.6603759032995328e-7,1.6998405494380054e-7,1.694988995159819e-7,1.629238915825781e-7,5.2661919612165e-7,1.6697402933491756e-7,1.7566697528932448e-7,1.6757517518441929e-7,1.6637438564432772e-7,1.694860145514358e-7,1.6237947133286753e-7,1.679900677419423e-7,4.141635495647456e-7,1.6879054609683597e-7,1.6809657462785096e-7,1.61835248991349e-7,1.6667122358258144e-7,1.6705099852046958e-7,5.355052964449087e-7,1.622730284513134e-7,1.6464005678283623e-7,1.6310164590627026e-7,1.6633800992625403e-7,3.8551918078537606e-7,1.6479642661774309e-7,86.00233979644622,2.7166662877681666e-7,3.0041909054877543e-5,4.679498040931373,119.35359545960989,24.316444677930754,167.78244000862625,1.926966797101611e-7,230.0059580777591,132.4227189885495,122.13400988352548,2.2508671744444747e-6,116.80870851760673,1004.7947964354419
