Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,5.109410584257513e-9,3.221706321500618e-5,3.2211953804421926e-5
OCGT-H2_1.0,1.0,0,6.099183669453943e-9,2.1132884597111107e-5,2.1126785413441655e-5
CCGT-H2_2.0,2.0,0,5.0402726500397634e-9,4.420990544656489e-5,4.420486517391485e-5
OCGT-H2_2.0,2.0,0,5.973012159320263e-9,2.210973769510202e-5,2.21037646829427e-5
CCGT-H2_3.0,3.0,0,5.079244108204273e-9,9.191894737460833,9.19189473238159
OCGT-H2_3.0,3.0,0,6.0053881717027165e-9,2.8042267341663605e-5,2.80362619534919e-5
CCGT-H2_4.0,4.0,0,5.0536891163920184e-9,3.030893896787737e-5,3.0303885278760978e-5
OCGT-H2_4.0,4.0,0,5.965991258144873e-9,2.1740829959715078e-5,2.1734863968456933e-5
CCGT-H2_5.0,5.0,0,5.109994583554953e-9,2.563138811516383e-5,2.5626278120580275e-5
OCGT-H2_5.0,5.0,0,6.099568424630304e-9,2.0653322123491964e-5,2.0647222555067332e-5
CCGT-H2_6.0,6.0,0,5.045417846477952e-9,2.7619122238881975e-5,2.76140768210355e-5
OCGT-H2_6.0,6.0,0,5.970308491267467e-9,2.0967942724943117e-5,2.096197241645185e-5
CCGT-H2_7.0,7.0,0,5.041212950663332e-9,4.7981402242568606e-5,4.797636102961794e-5
OCGT-H2_7.0,7.0,0,5.9790403133071066e-9,2.265863854444814e-5,2.2652659504134835e-5
CCGT-H2_8.0,8.0,0,5.046688902835473e-9,9.796621395354828e-5,9.796116726464545e-5
OCGT-H2_8.0,8.0,0,5.969560482575099e-9,2.40599941361875e-5,2.4054024575704926e-5
CCGT-H2_9.0,9.0,0,5.106230626099359e-9,28.403753806397717,28.403753801291487
OCGT-H2_9.0,9.0,0,6.094879675355009e-9,2.6290942963626088e-5,2.6284848083950734e-5
CCGT-H2_10.0,10.0,0,5.040004243350545e-9,0.0001492930264838687,0.00014928798647962534
OCGT-H2_10.0,10.0,0,5.979800279464459e-9,2.4462208954245532e-5,2.4456229153966067e-5
CCGT-H2_11.0,11.0,0,5.048933970761757e-9,4.1032585728379525e-5,4.102753679440876e-5
OCGT-H2_11.0,11.0,0,5.9632352665495166e-9,2.2403318832227386e-5,2.2397355596960836e-5
CCGT-H2_12.0,12.0,0,5.05243249350146e-9,3.253214088807535e-5,3.2527088455581844e-5
OCGT-H2_12.0,12.0,0,5.968066941193688e-9,2.146240009182592e-5,2.1456432024884728e-5
CCGT-H2_13.0,13.0,0,5.050850707011064e-9,7.688082517631017e-5,7.687577432560316e-5
OCGT-H2_13.0,13.0,0,5.96526357312112e-9,2.447270245746156e-5,2.446673719388844e-5
CCGT-H2_14.0,14.0,0,5.039270585240332e-9,7.961605916788837e-5,7.961101989730313e-5
OCGT-H2_14.0,14.0,0,5.985961286492175e-9,2.3102977185225922e-5,2.309699122393943e-5
CCGT-H2_15.0,15.0,0,5.110286051309437e-9,2.150094694707102e-5,2.149583666101971e-5
OCGT-H2_15.0,15.0,0,6.099674519599306e-9,2.0744195932549973e-5,2.0738096258030372e-5
CCGT-H2_16.0,16.0,0,5.106807293847699e-9,93.57935802518122,93.57935802007441
OCGT-H2_16.0,16.0,0,6.096066094541025e-9,2.743753619785996e-5,2.7431440131765417e-5
CCGT-H2_17.0,17.0,0,5.040577843070842e-9,3.79407580244533e-5,3.793571744661023e-5
OCGT-H2_17.0,17.0,0,5.989318334980604e-9,2.1812619063588783e-5,2.1806629745253802e-5
CCGT-H2_18.0,18.0,0,5.04811159408376e-9,4.3805963548977265e-5,4.380091543738318e-5
OCGT-H2_18.0,18.0,0,5.964385250646603e-9,2.2667371977477044e-5,2.2661407592226398e-5
CCGT-H2_19.0,19.0,0,5.0519308734801195e-9,0.0001591374231470306,0.00015913237121615713
OCGT-H2_19.0,19.0,0,5.9667717457873054e-9,2.4701766430199206e-5,2.469579965845342e-5
CCGT-H2_20.0,20.0,0,5.110459923558862e-9,8.094679167326416e-5,8.09416812133406e-5
OCGT-H2_20.0,20.0,0,6.102779042209048e-9,2.2771789520718503e-5,2.2765686741676295e-5
CCGT-H2_21.0,21.0,0,5.044488337627483e-9,1.8599379825008752e-5,1.8594335336671126e-5
OCGT-H2_21.0,21.0,0,5.965733710909712e-9,2.1510374731515707e-5,2.1504408997804797e-5
CCGT-H2_22.0,22.0,0,5.110783427215834e-9,1.852193587348677e-5,1.8516825090059555e-5
OCGT-H2_22.0,22.0,0,6.100240284639254e-9,2.1405352279196952e-5,2.1399252038912313e-5
CCGT-H2_23.0,23.0,0,5.050875059793656e-9,1.8524850160782347e-5,1.8519799285722552e-5
OCGT-H2_23.0,23.0,0,5.9636050759057776e-9,2.2313780409808396e-5,2.230781680473249e-5
CCGT-H2_24.0,24.0,0,5.110841421345885e-9,1.8571068470035694e-5,1.856595762861435e-5
OCGT-H2_24.0,24.0,0,6.1002466641211676e-9,2.1807497667515738e-5,2.1801397420851616e-5
CCGT-H2_25.0,25.0,0,5.110935665852998e-9,1.8180195993325036e-5,1.8175085057659183e-5
OCGT-H2_25.0,25.0,0,6.100558261957345e-9,2.09133672790953e-5,2.0907266720833345e-5
CCGT-H2_26.0,26.0,0,5.110628578662752e-9,1.8164334664356256e-5,1.8159224035777594e-5
OCGT-H2_26.0,26.0,0,6.099802347332168e-9,2.1578676654525464e-5,2.1572576852178132e-5
CCGT-H2_27.0,27.0,0,5.050400470186443e-9,1.933024345376933e-5,1.9325193053299145e-5
OCGT-H2_27.0,27.0,0,5.96514663145186e-9,2.1842599902339066e-5,2.1836634755707613e-5
CCGT-H2_28.0,28.0,0,5.038163355865196e-9,1.827913227709206e-5,1.8274094113736195e-5
OCGT-H2_28.0,28.0,0,5.977771910637713e-9,2.135065319958439e-5,2.1344675427673753e-5
CCGT-H2_29.0,29.0,0,5.110641494508683e-9,1.726521684003501e-5,1.7260106198540502e-5
OCGT-H2_29.0,29.0,0,6.099734605053229e-9,2.030808324526103e-5,2.0301983510655977e-5
CCGT-H2_30.0,30.0,0,5.0382509303040785e-9,2.0076000871864337e-5,2.0070962620934034e-5
OCGT-H2_30.0,30.0,0,5.974054692833943e-9,2.3444269833070185e-5,2.343829577837735e-5
CCGT-H2_31.0,31.0,0,5.109643422960342e-9,2.5414332076263884e-5,2.5409222432840925e-5
OCGT-H2_31.0,31.0,0,6.099074616679774e-9,2.195767630781859e-5,2.1951577233201908e-5
CCGT-H2_32.0,32.0,0,5.040181951151116e-9,2.2753959510596804e-5,2.2748919328645653e-5
OCGT-H2_32.0,32.0,0,5.962592609997901e-9,2.1633306639012397e-5,2.16273440464024e-5
CCGT-H2_33.0,33.0,0,5.106824132061559e-9,0.00024500289461630635,0.00024499778779217427
