Pipelines,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147
t1,7.35894900175883e-6,42.41964132234786,0.31393773414190496,1.351283409618532,1.8285269342264565e-5,1.4857261957663049e-5,1.3351079200777486e-5,12.282529718252293,0.04123290129704376,0.0304598709704697,0.2004838598385314,20.311472252260362,28.692192949548826,9.979991489333591e-6,1.6212263928486093,71.42450552823848,2.3125668906917764e-5,3.8144049864564395e-5,200.93289597831864,1.9692903573285964e-5,3.522110711634022e-5,3.356917355193312,15.605422544909004,214.44936918444608,2.7172126261961695e-5,153.82773099929886,121.53056773482604,36.450744357014536,63.788694030035984,100.22041850232449,1.3041920045455633e-5,0.206775070739151,31.123783352895465,6.749430455802927,57.62425129595787,138.10828869810663,0.6791413467570326,3.2344886143142345e-5,0.343190427463338,5.6143129883497594e-5,0.00026377495083419934,1.5914140681090014,4.760925751636679,26.5589475893173,0.5335042233924465,1.2712698839346588,2.487577918416978,6.806184711504913,8.22087176805758,7.94405311062858,1.3315964759734632e-5,1.3901060573617799e-5,0.1806689182359677,1.3973130113199547e-5,30.28503737336582,0.0006071506892674345,2.6662367063717163e-5,2.513067000989958e-5,0.1308926813909129,8.420570878717093,8.815428992557845,2.3999832714110924e-5,12.192916539984301,700.7272729012286,2.8704671536426308e-5,0.15575353382760565,24.99246614211886,273.45455641319137,666.3418008959455,1.8181341613446778,60.3054375628806,6.638082183633145,140.97997117394988,54.89478085481059,16.276378686084566,0.466139630093455,0.8605055396892121,8.03311599305189,141.5680415133177,1.0989684592859846e-5,38.70119676796919,51.63804312066717,1.2133498449854978e-5,6.765372589042731,3.0173298374374443e-5,10.574759440067336,21.587995811025717,47.330984682962985,0.77040614710939,2.362543356649446e-5,89.68480743080113,0.9840881491619293,3.562007571206139,1.344014357905248e-5,0.00037867119744231794,80.90107069795215,29.37291846332595,1.3309666916081065e-5,0.03195897140648424,253.5273930236465,1.1718278432256796e-5,0.00027554529219050744,4.63524415699807,7.54787836443259,0.8268661034419099,9.433099548111631,12.084366378084047,7.849863868923921,5.2720896279492495e-5,33.8548185632892,4.29765271790582e-5,64.1752821495001,0.002181167774962884,4.409010458962918e-5,4.081008681838485,12.86399511190615,118.35958269570907,216.78947891737948,89.65481278000317,3.247244647692431e-5,78.76737199829702,1.1252169318090146e-5,12.40673926436286,1.513168063030392e-5,27.701991595366707,0.16373879825857224,1.6779444094200697e-5,31.428749648771863,8.790422480423118,2.844031695817423,74.771958990769,3.0673946847265174e-5,30.285044686372242,37.77414228038653,6.709310715731573,6.709310753035085,72.91648999731267,44.75825629376072,158.4582832995618,121.53056808165887,2.563005464959514,0.00023483519460648324,44.758256054315346,98.07392956966319,37.77414246904907,0.764230242159293,2.7881656847021086
t2,7.583227157478975e-6,53.34115858124096,0.4600089964960365,1.3512980899692189,1.9170930681405936e-5,1.5470962420722648e-5,1.3819152142107829e-5,15.914715991812717,0.04154112154477663,0.030854174270993552,0.414128087262193,35.02738442410286,35.047718442612286,1.0317326210604654e-5,1.6212217391566934,71.42461958712109,2.4804220983745786e-5,3.6907434679757775e-5,294.6455531526084,2.0326624357011867e-5,3.8890983996212076e-5,3.9152283754390407,17.00873473111661,232.1167572434252,2.8044742572665986e-5,196.8953904415435,124.37234399036299,27.030990548753334,68.5073687168456,100.58459028656688,1.327509999516298e-5,0.2070192005665423,31.124024473706402,6.749435372102691,82.2596521610752,178.65755324922824,0.6791360945294836,3.2098483491435246e-5,0.34325874653337046,5.676126905210127e-5,0.00029119852312551426,1.7496686079313644,4.760920940459444,26.55897827807546,0.6975604346364672,1.271300312362887,2.487584273778362,6.8062286291211,8.22087164976078,7.944054367524167,1.3765132700408548e-5,1.477502104396387e-5,0.180679367048876,1.4717115940080424e-5,23.6356480090326,0.0006049085875585317,2.9205257060228317e-5,2.2563137610038186e-5,0.1531221370018699,9.04227797120801,8.815440190394794,2.3918213596844998e-5,12.19292646208549,773.0346810123835,2.8388796415871287e-5,0.1799933272133728,20.53136582516249,273.4545559548965,568.6625309007285,1.7808240337507724,60.29310599802285,5.9465245438058005,140.7121003139668,64.03704734297412,15.471187518578418,0.464660416819572,0.8589401304016296,7.334652479651358,139.94912690172205,1.1152314655943248e-5,38.70122138238744,48.94769418409877,1.2328687607084126e-5,6.765381486426057,3.1089474425420844e-5,8.924418122436071,21.58680901658009,56.591966628716435,0.7702944872386909,2.117570499237259e-5,94.8211054349244,0.9839139925036573,3.562006773502684,1.2871491961856131e-5,0.00032147214145036374,79.15882982216051,22.8078652527869,1.3485611205870193e-5,0.024193604592437436,250.30578594327608,1.1456017447982766e-5,0.00022106439394711173,4.345371049223759,7.371879835954574,0.8269078406913071,9.682097071619005,12.182266102691523,13.876994553525531,6.448762441660006e-5,33.85481985292479,3.3051246567521994e-5,64.1752761548712,0.0017444467957432675,4.339749166793394e-5,3.0548279838869306,11.409878165409078,118.35958268558909,216.78947777502438,89.65481272610344,2.4470286881834136e-5,75.13088070562937,1.12166223265297e-5,10.672284616105992,1.5060532669287693e-5,27.701991553734956,0.16373764031705967,1.676737013394792e-5,31.42874175924117,8.790422440320354,2.844029772661844,89.09046736777083,3.065343762991509e-5,23.635652718946638,30.959157659152883,6.388210531337141,6.388210567637703,71.44168092789012,47.01033513869216,162.06336293651634,124.37234434960286,2.5629952188135214,0.00024957108751918756,47.01033484755317,131.82254754618793,30.959157804130985,0.890873634088423,2.7881656616295714
t3,7.864584089109525e-6,64.20821006807127,0.6060791484730053,1.3513128402867576,2.0260378063227553e-5,1.624837177747973e-5,1.4419205328597985e-5,19.546908227525304,0.041848587215408496,0.031252065779220954,0.6277872133083175,49.79789468342264,50.91882640863774,1.0714758139986648e-5,1.6212170807606705,71.4247358561979,2.6738464398268275e-5,3.556864739633305e-5,389.17248818655673,2.0999038133043706e-5,4.311177049853069e-5,4.48869303566475,18.412046380680703,249.78424963339725,2.915807332931056e-5,239.96303143593138,127.21408310338771,32.88285423750246,73.2108891621058,100.94874755260896,1.3588920570979896e-5,0.20726387148760522,31.1242655732663,6.749440288383946,106.89505238284403,219.20682079150285,0.6791308685236702,3.181393511707375e-5,0.3433277154524457,5.739896321770122e-5,0.00032008320735212834,1.9111066388558366,4.7609161658870525,26.55900876127905,0.8584329412409272,1.271327830011382,2.4875903767734324,6.806266646329214,8.220871530752138,7.944055594703747,1.4210780862506143e-5,1.564533186228387e-5,0.18068978930076401,1.548560404839382e-5,16.986259248686345,0.0006027261081273956,3.1892562870735134e-5,2.019707586598325e-5,0.17623115888948088,9.180742252294907,8.815456585498962,2.382386658758919e-5,12.192938179662477,844.9482505866829,2.8022891074378374e-5,0.20472314395061494,16.071592076266935,273.4545555005335,531.3577181033354,0.7609558070070586,0.007522467578391314,5.226777091292165,140.44137085915497,73.25783289116868,14.66355768759651,0.004038043811912424,0.7835082825560907,6.641546570359423,137.89161341718508,1.135264780543445e-5,38.70124607829308,42.55042299071055,1.256803036949429e-5,6.765391479882494,3.203526609098164e-5,8.314766609859632,19.13639038132017,56.35114884421152,0.18763402375325144,1.7423970609504142e-5,99.98559241118696,0.983681431224147,3.5620059724266215,1.2252885215825049e-5,0.0002493118822182593,77.41526294770199,16.24283676687877,1.3185624735454073e-5,0.0176088145868447,246.73175257754974,1.1144095393574003e-5,0.0001607183156116535,3.9600544715949644,7.01728949467915,0.8269502461507511,9.931973310906706,12.471043982053084,20.256567028459674,7.073983203362356e-5,33.85482114108876,2.4150150751889946e-5,64.1752701106339,0.0012650602924686447,4.2705312010834045e-5,2.0338643285835,9.946977794863242,118.35958267493616,216.78947663268076,89.65481267221777,1.6833476721835225e-5,69.74366134879591,1.1181041802987045e-5,8.937813017741934,1.4989346239733981e-5,27.701991512055177,0.1637364796916501,1.6755293512885666e-5,31.428733829250913,8.790422400296423,2.8440278518842455,103.40848505211663,3.063293852528547e-5,16.986261548838467,23.70687437710656,6.060538634816341,6.060538670438671,69.96677881525245,49.23581278201352,164.85419222633752,127.2140834564192,2.5629852560874786,0.0002644377500272523,49.23581246343156,165.5712276441675,23.706874339709493,1.0175170750287112,2.788165638553571
t4,8.234006217058865e-6,57.266630055821416,0.6788589411465632,1.3513262486124031,2.171482613380823e-5,1.7314667269728872e-5,1.5259586053353403e-5,23.178813709964324,0.04195682832438191,0.0313712541871813,0.6280641794970253,49.798250072407306,50.9184193120611,1.121374094803287e-5,1.6212125176495888,71.42479426827406,2.907217377984648e-5,3.407286525966944e-5,385.44951930316654,2.1723135597394677e-5,4.8178178322566076e-5,5.089586113040867,19.81536936940317,339.8324897674349,3.064761143347841e-5,143.58588046390122,163.94175599931322,21.821904898705395,77.88700183461376,101.38911108329074,1.3999136534008967e-5,0.2075060735107353,31.124502980633135,6.7494452878670215,131.90152894834765,259.7562897140706,0.6791254401219916,3.1276140802340846e-5,0.3433731853502493,5.7297939695430956e-5,0.0003480463093885519,2.0745500693559973,4.760911404807484,26.559039187507608,1.0172999154747873,1.2713553001488156,2.487596488924792,6.8063046073386655,8.220871412099818,7.944056846732084,1.4663353603057986e-5,1.6538238271693672e-5,0.1807002173178582,1.632236410731831e-5,10.33687060306305,0.000600554008280956,3.4847855956941583e-5,1.7921549340089043e-5,0.20106073237045557,9.799419864846021,8.815467923251038,2.3731351734938464e-5,12.192947927876006,917.1507746598579,2.7627995584580798e-5,0.23028410633604046,11.583382482861875,273.45455504211867,430.8260309724575,3.9623719107467394,0.003900369032960909,4.467692290213812,140.178811644808,84.55319358971435,13.945304817052234,0.0023512666733193415,0.7819371489140327,5.943065153337448,136.9644036588313,1.1593889391014597e-5,38.70127064062169,35.69830299903155,1.2855139081935306e-5,6.765399857233047,3.3065097009275446e-5,6.6639808949796615,16.95224737110344,72.16428972675386,0.18752432123875756,1.2177882326469862e-5,105.1894179490403,0.9834928715115235,3.5620051746946158,1.1623072353069386e-5,0.00016181751987863683,82.72604513965449,11.782040417813974,1.2448678454937288e-5,0.008889863506020376,249.53995836294348,1.0784421675240607e-5,9.375840931510203e-5,3.5752087045124408,6.906014367997312,0.8269935372939216,11.125947808732485,14.2586575652057,20.256728766829596,7.286453048866042e-5,33.85482241087315,1.5901694310792798e-5,64.17526409631029,0.0007427329692827045,4.201302644025358e-5,1.0132707873806375,8.451162790173228,118.35958266475117,216.78947549039665,89.65481261829443,9.116382190440927e-6,66.13522898550836,1.1145461543180823e-5,7.510958950320996,1.4918083026999225e-5,27.70199147041952,0.16373531870019226,1.6743224731880775e-5,31.428725862792728,8.790422360259987,2.8440259300628696,96.495363786553,3.0612452620109216e-5,10.336870459886677,16.97498755582942,6.734070246025003,6.734070282302963,68.49183789265025,51.83760242582288,162.57095905842212,163.9417566456951,2.5629748880816785,0.00027817383716303713,51.83760204214339,164.3420736001295,16.974987402320657,1.144159707046771,2.7881656154785093
t5,8.776124415301932e-6,53.8648526419401,0.6791815854800727,1.3513389254680297,2.3836850767909504e-5,1.8915961623596128e-5,1.655159014421809e-5,26.81054035868304,0.04200725049061039,0.03144478120575944,0.6281021924068694,49.79854158227756,50.9179558614077,1.1887955900070297e-5,1.6212079925131122,71.42482813047661,3.208537441355529e-5,3.224574381496828e-5,358.4725564545904,2.2542291883962142e-5,5.463168977205745e-5,5.73907795115351,21.218881623185013,330.5525721229423,3.296301971952211e-5,118.48763532329399,197.20543549438042,10.975201737771041,82.5145251477918,101.91356748384285,1.4711677655598148e-5,0.20811895888255602,31.125058636991525,6.749450337172593,137.53909845961917,249.78325988105084,0.679119680575099,3.039064709142563e-5,0.3434065959416945,5.731994172280137e-5,0.00037891525097638747,2.2391846360074052,4.76090664372812,26.559069862674278,1.1749758840401698,1.2713827558409054,2.4876026213477864,6.8063424690477206,8.220871294076831,7.944058099371525,1.5133963995480962e-5,1.748017041798333e-5,0.18071064537886636,1.7266872188013812e-5,3.687481941104227,0.0005983906654017787,3.820198562960977e-5,1.556549001938342e-5,0.22903054968006534,10.514115580218737,8.815479306306585,2.3642359085705227e-5,12.192957497852195,989.4200139263406,2.7166247358263694e-5,0.2571420408931884,8.394830327220033,273.4545545827582,330.29637411652413,7.845668582534612,0.00013292532500021992,3.6408579846685507,139.92038782305875,95.86222712643234,13.20911339197315,4.19962201823328e-5,0.7803652619664259,5.2447081574315435,137.31791631830436,1.1907459823459865e-5,38.701295172861904,31.06612444516088,1.3232818960065554e-5,6.7654078475340516,3.42191608901758e-5,5.55172418524109,14.502660309573795,87.97777719118882,0.18741550512097543,2.1283886903453824e-6,110.4609930154753,0.9833105548914072,3.5620043781410002,1.08338195792775e-5,1.8259374250417128e-5,86.12953503924172,7.391620514421665,1.1051922798236486e-5,2.6301656955226286e-6,252.37701219824658,1.0334450844661972e-5,3.983127296427191e-6,3.1903359781099727,6.9059676724132295,0.8270373852008067,11.386044991753751,12.61169288082776,20.256790917507583,7.153420182525456e-5,33.85482368239345,3.859932107420871e-6,64.17525808150675,8.372818350813589e-5,4.13129368877911e-5,1.1353517103867467e-6,6.8936515184463785,118.359582653363,216.78947434867658,89.65481256434514,1.1554480445400822e-6,66.13514223623896,1.1110113431529191e-5,6.438324480364393,1.484871442646344e-5,27.70199142932357,0.16373418422759606,1.673104587971271e-5,31.4287178815924,8.790422319666868,2.844023992470967,95.48354295262004,3.05917551500885e-5,3.6874790440342013,10.243075871917377,6.409035742623332,6.409035778438071,67.01693728923132,54.49782293040812,155.89790551235407,197.20543622456435,2.5629644658850506,0.00029203559429462106,54.49782248017345,163.3238875023919,10.243075502423707,1.2708011536115673,2.7881655926100892
t6,9.598285180364953e-6,50.462919758092504,0.679344971732749,1.351351920284498,2.7112342987032294e-5,2.140126247133572e-5,1.8633721736204874e-5,30.442276768409187,0.042056391569402794,0.031513589013522726,0.6282630333429435,49.79892590802818,50.919128972508084,1.2838362441693682e-5,1.6212034028220674,71.4248602876651,3.620177760989623e-5,2.9840198855682577e-5,333.69880858756454,2.351467654822139e-5,6.334559160264342e-5,6.487197737528393,22.62238169435844,319.4879819440716,3.66946038064226e-5,92.10254286508477,226.49067126909347,9.371696942921116e-5,87.04342063875194,102.36967390297362,1.5923248072718542e-5,0.3006621679266447,31.26859085436646,6.749455367038169,149.66810331318197,233.83595049349083,0.6791138917089143,2.9091070637923892e-5,0.3434396453322585,5.718673073354258e-5,0.00041496201964220865,2.2391937791843026,4.760909505376238,27.43652452766297,1.1749971273715132,1.5753158149429685,2.4876074990591417,6.8063353455721245,8.220871887796877,7.944058121176742,1.4939453516982385e-5,1.6588181230260428e-5,0.180700988731847,1.7078044636938976e-5,15.55670260829281,0.0005966514831736017,3.686443337895866e-5,1.8369417552818154e-5,0.2078236229757522,9.99997680605986,8.815470086078294,2.3757975384393736e-5,12.192950533080353,933.5335354632376,2.7544898342664176e-5,0.28601587030457803,10.284559127123106,273.45455465232385,346.6400769048648,7.845674828262166,5.418808283427807e-5,2.681517158937322,139.67956953758278,89.59558853765428,13.43823605658392,0.2022135836711333,0.3584224236529432,5.2447543761743765,137.0852846483379,1.1716966985938865e-5,38.70127131565112,37.81907493674486,1.318951458671319e-5,6.765401466055278,3.568715730742818e-5,5.551833525305363,14.502773617473562,104.30998744392764,0.187430267746864,1.4893112471836228e-5,115.86505382958615,0.9833240480978295,3.562004825444808,1.1686923906779747e-5,0.0003105549363579915,78.2296711982578,16.514641387836324,1.3020845156022873e-5,0.00938547836340161,255.65574040070396,1.071008653293862e-5,0.000670007418167872,2.948076943941167,9.321907527651144,1.1780195491819092,12.087875953883751,12.407815953615382,20.25679551880757,0.00014715859027940214,33.85482248204176,1.2104301627032277e-5,64.76340881783486,0.0014634563684447638,4.122462110541489e-5,1.5198485745963974e-6,5.244936596718743,118.35958265418634,216.7894739685244,89.6548125696902,1.0371687503453087e-5,66.13514229122407,1.111443633873034e-5,7.944412269748757,1.48573490975057e-5,27.701991435860123,0.16373297249784385,1.6726255025907627e-5,31.42871760758367,8.790422306402426,2.844023406332333,93.31350357557848,3.0578701784652e-5,15.55670565376473,5.856186423241131,6.50040977077418,6.500409806419387,67.01694687458108,56.412101814036234,146.92734029212633,226.49067221017157,2.5629667846203734,0.0003059188466269156,56.4121013062226,162.30593413963257,5.856185958292007,1.3968890090066541,2.7881655906731684
t7,8.826649484097842e-6,47.061298394555905,0.6792534361765366,1.3513421085711097,2.441323696853339e-5,1.92567645656754e-5,1.6834862231915283e-5,30.442119644657584,0.04196676655908887,0.03140180837684134,0.6278311672131301,42.58186892413219,43.90454479203586,1.191876099752249e-5,1.621205599841834,71.42482174775452,3.287749781101061e-5,3.170513006824927e-5,311.7479699294867,2.2735247920499737e-5,5.5849158903885574e-5,5.8030402539114725,24.336279334522107,309.3173150913409,3.3996425101027294e-5,92.10321807369279,218.48753976198682,0.0005458298739478817,91.28180976215094,92.81171316435312,1.4876934412539068e-5,0.2993226077503484,31.41181026449824,6.749451794122231,149.667714793919,204.54660409635693,0.6791175179328833,3.0008616429265984e-5,0.34340961667243614,5.693612631626641e-5,0.00039066226214050994,1.6117771363085136,4.760922809471641,27.132493389042676,1.1750154732681244,1.2690561766900774,2.48758423881547,6.805814336845589,8.220872205806607,7.944055062544377,1.407754472188415e-5,1.5016174899519384e-5,0.18069092455027497,1.4809820291033136e-5,15.556691922455645,0.0005913085952474805,3.135655322793601e-5,2.1798287961526383e-5,0.19031058947344584,9.482134826074084,8.81546361392479,2.3853022362178505e-5,12.192943447790537,877.853592673676,2.7888377956446686e-5,0.2627195593405019,12.094866115997375,273.454554927403,362.9846551009486,7.845680356780427,37.465644333763144,1.6537115511961875,139.44805311968886,87.61295634606243,14.809758408793382,0.39282560618027973,1.772032333037922,5.244832675443989,138.33879846673642,1.1498805069457045e-5,38.70115762934534,40.50092891565146,1.2894500780443018e-5,6.765396348668125,3.464622091117208e-5,9.173838567463264,18.776258692858846,97.97751850697536,0.7644928595192831,2.8757905907921435e-5,93.61703716264033,0.9833580196347242,3.56200547820728,1.2883931950786676e-5,0.005685348921861776,70.5732244858801,28.039190428462543,1.4621407495352827e-5,0.009366399716046279,272.30196123258963,1.1146249706767841e-5,0.0006932057599093794,2.9069023288068094,9.321904547705138,0.9200055152425604,11.99199635654809,10.98884170883179,20.25680151111671,0.09438797029888363,33.854820599999925,1.704232027559888e-5,61.12764620311123,1.7095315419006363,4.189278612876865e-5,1.1311335858503784,4.426602559099218,118.35958266740397,216.78947510991338,89.6548126341652,2.5625287551197388e-5,66.13522060970872,1.1158099052511089e-5,9.450504353027606,1.4941845515133715e-5,27.701991489017292,0.16373526804453417,1.6745400390830035e-5,31.42872014818245,8.790422367626643,2.8440259647162986,71.84953688591864,3.058781245352908e-5,15.556694967927598,21.170851089839097,6.411489724878819,6.411489760467084,69.33946349635181,58.7655527182216,144.7470048710701,218.48754074412605,2.562968421597206,0.0002954036983639646,58.76555214939571,161.28821147887342,21.17085124918039,1.2702634702187694,2.7881656049375185
t8,8.305625088830411e-6,47.06127680818236,0.6791606401435268,1.351332287449426,2.24399747574659e-5,1.7721263853431578e-5,1.5582236152164156e-5,23.487296057662046,0.041883129205925095,0.031298251822371836,0.5120570614984536,35.66909939632568,36.851315512976015,1.1345958249560153e-5,1.6212100499037405,71.42478272493209,3.0243607942475944e-5,3.3297234085459787e-5,291.2934452479717,2.204176048271988e-5,4.997290636493944e-5,5.287692424605727,26.55297257138224,300.8808167736655,3.1957220895362744e-5,92.10553450606396,219.03735957320586,0.0014484757852533652,97.03129305073736,83.25273429501027,1.4176409428111366e-5,0.2980764227128605,31.13624545884836,6.749448293250399,132.95774833817242,208.55928068149183,0.6791218062831387,3.073938366943947e-5,0.3433792451972177,5.683094673072521e-5,0.00036790048347456973,0.9843445704238131,4.76091764903279,16.39904522364163,0.8297371236194303,0.9627958526052244,2.4875536957351336,4.671061180749011,8.220868246170724,7.944047750621337,1.319024726274506e-5,1.341736165100976e-5,0.1806624897365337,1.2538804873507394e-5,12.676723146649394,0.00040376072462445936,2.0486118936589567e-5,1.6365618690412402e-5,0.17498097749942088,8.962102897022147,8.815457949740821,2.377228703159391e-5,12.192938436801066,822.2170784523397,2.80392243025941e-5,0.24175862691590436,13.859407390919515,273.4545555478374,373.20442692287946,7.8456856558529156,75.99710221578813,7.778379732733961,139.2154488460292,84.07168815603653,13.332278776818104,0.5761111212136252,1.3689784231377589,7.5414621801864365,144.80516193108622,1.1296040338484231e-5,32.89160471742658,40.500985202036894,1.2729252201427456e-5,6.765393397699468,3.3590035411427536e-5,13.113359133040182,26.33396821158336,92.27986392147622,1.3415485671764593,3.8480651220337825e-5,93.61704527577017,2.3987075169911525,3.5620064279346333,1.0745481851132792e-5,0.3451365464570698,69.51379697378997,24.62244496082171,1.4591014787522528e-5,0.00934765778322065,235.4783690526318,1.1485547676462564e-5,0.0007160702882915567,2.906853277151726,6.722650385290726,0.6816341833305192,11.902786955895582,9.469779912382059,20.256806010310665,0.09438626599449434,33.85481868438384,2.070330449630997e-5,47.5472623604268,1.7095106446074726,4.2561093084498356e-5,1.6917775805555109,2.9359494965384543,118.35958268108757,216.78947631631655,89.65481269862487,4.1099698496900627e-5,66.13529409345074,1.1201684489634257e-5,10.956596433797682,1.5035082916627973e-5,27.701991541835167,0.1637374879262412,1.67645666335485e-5,31.428750114677637,8.790422427808124,2.8440284975105516,52.63877587150725,3.0596233592838794e-5,12.676724137736862,26.939107082519357,6.324598766948959,6.32459880251277,64.73464799071805,48.55415402469078,155.1536239427682,219.03736049107462,2.5629675762698767,0.00028493139431912964,48.55415366840923,160.27048824583582,26.93910714303888,1.1436287438776849,2.78816561876851
t9,7.954004647183495e-6,47.06125406667147,0.6790682326104235,1.351322732483916,2.1049361995044195e-5,1.6679079416403715e-5,1.4783114100771316e-5,21.522588222883325,0.04180080339867583,0.03119736522449931,0.5077777237846719,28.812204923858374,29.742272829043237,1.0942229553382592e-5,1.621214330330673,71.42474332764645,2.8178128949925052e-5,3.4596930287102864e-5,271.49992474925756,2.1439299780557514e-5,4.545090539472192e-5,4.814197764223054,28.259066933895177,292.44664104420247,3.0452747460791242e-5,111.38223219704322,204.22160183034867,10.16519525936004,96.88710489132811,82.89790631604586,1.3767836228173434e-5,0.29690487331345067,31.151428857658946,6.74944478864684,119.77786494225468,223.72978435930324,0.6791261380379586,3.12761749138385e-5,0.34334870702341663,5.6791671829462835e-5,0.00034826265015020907,0.35692009418071363,4.76093084736328,15.90625876094747,0.8297505355533861,0.6565362276710618,2.487530426069754,4.670540121887853,8.220868558490256,7.94404474484284,1.230914225353352e-5,1.1798620342713078e-5,0.18065252586110606,1.0229544184396023e-5,12.676712543415057,0.0003983943067328834,1.4890310654635579e-5,1.9755662522827794e-5,0.16103657637679814,8.440691976215172,8.81545183007922,2.3782759634898282e-5,12.192934214512796,766.6099823141104,2.8243046607917857e-5,0.2224590748889225,15.592870891812732,273.4545559463235,383.42419288211033,7.845690916648518,114.50915693140549,13.903060753539323,138.9831685946411,80.70349451192294,14.66684758456189,0.7629531427500434,2.7863586861203817,9.966624805325642,151.95123154705047,1.1129032966025554e-5,38.701720168936134,40.50109204852955,1.2596444950716338e-5,6.765390854491183,3.274863516625488e-5,17.05845663550789,33.88604140888974,86.58220912616187,1.9186078813563359,5.402920390705127e-5,93.61706033338623,2.3989149410261086,3.5620071918622864,1.1724054326162985e-5,0.6810945078081956,69.5137459176567,21.205698961156816,1.4397760295814942e-5,0.009330714517880551,219.9156065326517,1.175316260338928e-5,0.0007387263879676105,2.9068160255316284,3.3661087330471267,0.4528350371279885,10.604136405528893,7.960999752671892,20.25681006308578,0.09438448772258176,33.854816889791394,2.407150401503002e-5,50.26850801839614,1.7094893155850204,4.1991032044277745e-5,0.4619570662937033,2.9359507457667435,118.35958267129786,216.7894756944458,89.65481265391568,3.582612032412119e-5,64.35638809336989,1.117043141848703e-5,9.576348216223586,1.4979996734335123e-5,27.701991505817336,0.16373636196895378,1.6752572131611623e-5,31.42874676195845,8.790422388324632,2.844026644187219,31.12342505410448,3.0610332855697195e-5,12.676713534502532,25.408401203213028,5.546401168434503,5.546401201767169,67.05658812889577,38.433089184884395,170.43690819018386,204.22160260828807,2.5629667325599503,0.00027464865858373746,38.4330890134992,159.25276452145388,25.40840121523287,1.01699351608027,2.7881656201771388
t10,7.713438152223591e-6,47.06122265759091,0.6789760075862131,1.3513130551832886,2.0044702266786932e-5,1.5959064673467923e-5,1.4214483802468763e-5,20.539204303725864,0.04171827369415946,0.03109646779103981,0.503622157394789,21.884851746554098,22.45061107181479,1.0622930625932057e-5,1.6212177855153052,71.42470361562178,2.652512781048696e-5,3.567281909235253e-5,252.10269950515863,2.0911535019773737e-5,4.190299472458423e-5,4.3848372056700295,29.655831881503442,283.4639096295747,2.931091605918481e-5,134.19530555143496,188.93547159846113,14.36030419378206,96.69341164426451,84.7652134519182,1.3472737628842136e-5,0.29579070619846576,31.17074939490404,6.749441267528707,103.08185750790483,227.79203376992177,0.679130490995705,3.167421694333787e-5,0.34331805619383193,5.677482647101303e-5,0.00032749535402075316,0.7953027617833552,4.760930720415964,16.156924313903705,0.8299634490392642,0.96279950815994,2.4875413042758816,4.671698189565942,8.220870424819772,7.944048335126876,1.3117975308521648e-5,1.270297944095742e-5,0.18066189430723928,1.1902739775572939e-5,23.007801816006722,0.00045642027110659396,1.82953648546245e-5,2.1762396031624106e-5,0.1480087392702115,7.918373883964668,8.815445317956602,2.3843582148824127e-5,12.192927245574348,711.0200097273181,2.8470124934721958e-5,0.20436340923391647,17.308003819370903,273.45455622311374,395.13783759499665,7.845696028249658,153.01597654277163,17.94109763892964,138.7443465787861,75.64020621122759,15.81497087706813,0.9570860942266826,2.3724524292273506,9.966784285205756,155.01907833437667,1.098837769276495e-5,38.701472832313954,49.746365676413504,1.2481300057097466e-5,6.765385810181736,3.204512290423125e-5,17.05908159131518,33.421585391696446,80.86189246752,1.9186119902426655,4.368838979473904e-5,92.63183460222497,2.1918216427694848,3.562007818935034,1.2096758046800667e-5,1.0184129613451878,69.5135140531426,17.788976843754046,1.4061555812337684e-5,0.009316121298588009,168.58513220364077,1.1991654007588444e-5,0.0007611603567381598,2.906766421608934,3.311760194689513e-5,0.2328008130777325,7.477161880446376,7.326815192574861,20.25681425133859,0.0943828208632123,33.85481503102759,2.684511581248923e-5,52.991493154128634,1.7094697149130031,4.181077375310946e-5,0.46194286261795625,5.39184703932408,118.35958266022439,216.78947500471727,89.6548125977865,2.9472493483595098e-5,58.96912846016881,1.1134585261566523e-5,7.841869819338497,1.4910549695501817e-5,27.70199146077014,0.16373525376106682,1.6740918680213996e-5,31.428738601255457,8.79042234973532,2.8440248929933833,40.64313940695413,3.062485521711434e-5,23.00780851054233,23.78263078863415,5.106850434665679,5.106850464801574,67.05659140819098,28.164486626740377,173.46277163277534,188.9354723334286,2.56296580049573,0.0002646109026253348,28.164486638571702,158.23504036793452,23.78263072498029,0.8903583584237479,2.7881656215175346
