Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes
1,0.0,5.025437e-6,2.48784e-7,3.5543573
2,0.0,32.72923,1.6202589,1.6873416e7
3,0.0,0.28572825,0.014144963,170944.7
4,0.0,1.5122662,0.07486466,653933.4
5,0.0,1.3070364e-5,6.470477e-7,8.469087
6,0.0,1.1190829e-5,5.540015e-7,7.092961
7,0.0,1.012939e-5,5.0145496e-7,6.204359
8,0.0,10.58863,0.5241896,6.264937e6
9,0.0,0.049873654,0.0024689927,20360.709
10,0.0,0.029962992,0.0014833164,14229.89
11,0.0,0.21420506,0.010604211,129295.39
12,0.0,17.259642,0.85443765,1.0248482e7
13,0.0,31.225637,1.5458236,1.0479016e7
14,0.0,5.9578692e-6,2.9494402e-7,4.8789644
15,0.0,1.2879069,0.06375777,795458.2
16,0.0,29.556915,1.4632137,3.699512e7
17,0.0,1.4233836e-5,7.0464534e-7,11.430861
18,0.0,4.2294614e-5,2.0937928e-6,18.607471
19,0.0,131.71173,6.520383,8.871119e7
20,0.0,7.255486e-6,3.5918248e-7,9.628941
21,0.0,2.2499515e-5,1.1138374e-6,17.113306
22,0.0,1.7227468,0.0852845,1.513068e6
23,0.0,16.937107,0.83847064,1.0257516e7
24,0.0,161.3889,7.989549,1.3189026e8
25,0.0,2.4576511e-5,1.216659e-6,12.897261
26,0.0,139.44563,6.9032493,9.348906e7
27,0.0,66.53726,3.2939239,5.3833336e7
28,0.0,32.241234,1.5961008,1.755176e7
29,0.0,48.222103,2.387233,3.3242966e7
30,0.0,57.10694,2.8270762,5.1110156e7
31,0.0,1.0748083e-5,5.3208333e-7,6.1148534
32,0.0,0.09408429,0.0046576383,67958.664
33,0.0,26.458294,1.3098165,1.4808286e7
34,0.0,4.2578497,0.21078464,3.4447215e6
35,0.0,44.108974,2.1836126,3.080128e7
36,0.0,109.495476,5.420568,8.058255e7
37,0.0,1.0909686,0.054008346,343300.72
38,0.0,3.3870525e-5,1.6767586e-6,15.266576
39,0.0,0.25540698,0.01264391,181412.38
40,0.0,2.8380633e-5,1.4049818e-6,26.756844
41,0.0,0.00012970387,6.4209835e-6,127.835014
42,0.0,0.627464,0.031062575,733288.8
43,0.0,2.2576485,0.111764774,2.4362122e6
44,0.0,10.922477,0.5407167,1.0546249e7
45,0.0,0.34530318,0.017094217,448807.03
46,0.0,0.30627024,0.015161893,369071.66
47,0.0,1.4029396,0.06945245,1.2688705e6
48,0.0,2.134787,0.10568252,2.7131778e6
49,0.0,3.1150534,0.15421057,4.2308795e6
50,0.0,2.9479809,0.14593965,4.1230332e6
51,0.0,3.6348895e-6,1.7994503e-7,6.5653253
52,0.0,4.3485093e-6,2.1527273e-7,7.090594
53,0.0,0.0787011,0.0038960942,94755.66
54,0.0,5.130983e-6,2.5400905e-7,6.767154
55,0.0,11.997775,0.59394926,1.1151339e7
56,0.0,0.00019025068,9.418351e-6,263.19778
57,0.0,1.3257829e-5,6.5632815e-7,13.819584
58,0.0,9.517432e-6,4.7116e-7,9.49724
59,0.0,0.056693625,0.002806615,55067.645
60,0.0,5.6950026,0.2819308,4.2293995e6
61,0.0,4.948181,0.24495946,4.485085e6
62,0.0,1.3263092e-5,6.565887e-7,12.461629
63,0.0,5.1458845,0.25474676,6.287011e6
64,0.0,225.70892,11.173709,3.2670883e8
65,0.0,2.7902313e-5,1.3813026e-6,14.148589
66,0.0,0.055556986,0.0027503457,73486.18
67,0.0,11.47065,0.5678539,1.0216859e7
68,0.0,211.91714,10.490948,1.3493011e8
69,0.0,257.52136,12.748583,2.5248843e8
70,0.0,4.082742,0.20211595,2.6052295e6
71,0.0,68.31639,3.3819997,5.5043056e7
72,0.0,6.12613,0.30327377,4.449791e6
73,0.0,65.60174,3.2476108,7.156221e7
74,0.0,27.68897,1.3707411,3.4291628e7
75,0.0,7.702009,0.38128757,7.914509e6
76,0.0,0.4624764,0.02289487,309999.88
77,0.0,1.8240563,0.090299815,1.5781855e6
78,0.0,5.549994,0.27475217,4.3023675e6
79,0.0,81.44204,4.031784,7.633535e7
80,0.0,5.241069e-6,2.5945886e-7,5.3855944
81,0.0,30.492216,1.5095156,1.868278e7
82,0.0,28.066519,1.3894316,2.8276618e7
83,0.0,6.6795533e-6,3.3067096e-7,5.9619966
84,0.0,5.245491,0.25967777,3.500576e6
85,0.0,1.2222401e-5,6.050693e-7,15.4695015
86,0.0,5.2466364,0.25973445,6.1593945e6
87,0.0,10.711109,0.53025293,1.2448773e7
88,0.0,37.393833,1.85118,2.1466708e7
89,0.0,0.5868132,0.029050158,458207.25
90,0.0,2.4555411e-5,1.2156144e-6,11.720447
91,0.0,38.388985,1.9004447,3.367264e7
92,0.0,1.4153608,0.07006737,631734.9
