Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
DE1 0 CCGT,1,1163.16,1163.1575801166823,2.9328804981556617e-7,0.0024201766057885266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 OCGT,1,359.04,359.03565062896627,1.3797305406186208e-8,0.004349384831070502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 biomass,1,148.2,2.0969006174961437e-7,0.0,148.19999979030993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 coal,1,5874.248611,5874.248556763846,0.0,5.42361533462099e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 nuclear,1,2722.0,1.1488090229902214e-9,15315.173176510429,18037.17317650928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 oil,1,70.0,3.745712457548954e-5,0.0,69.99996254287544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 onwind,1,590.61855,2.8839349901142646e-8,3.855837523382999e-7,590.6185503567444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 ror,1,177.68803,1.1680256266456148e-9,0.0,177.68802999883195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 solar,1,2040.925306,1.3885510994439213e-8,3.389195067371033e-7,2040.9253063250344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 CCGT,2,3351.0,3.319998811312036e-5,6.214459840017233e-7,3350.9999674214578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 OCGT,2,175.61,175.60664293849914,1.1384941870107862e-7,0.003357175350299224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 biomass,2,18.1,1.4621972316071312e-7,0.0,18.09999985378028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 coal,2,1064.7,1064.6999553541518,0.0,4.464584812957639e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 lignite,2,35.04131532,35.04128409363055,0.0,3.122636944852264e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 oil,2,24.8,2.0172338390228554e-5,0.0,24.79997982766161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 onwind,2,855.7914,1.2929866880851437e-8,2.2307490052928657e-7,855.791400210145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 ror,2,4.782,1.7915966517540792e-8,0.0,4.7819999820840335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 solar,2,859.184064,1.757037553767058e-8,2.069795779412894e-7,859.1840641894091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 CCGT,3,961.8,7.802559399317958e-7,7.91951619588142e-8,961.7999992989393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 OCGT,3,543.58,543.5687296874506,1.3443060610441684e-7,0.011270446980016224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 biomass,3,45.92,1.602997722330645e-7,0.0,45.91999983970023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 coal,3,2229.243561,2229.2435109766834,0.0,5.002331660008963e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 offwind-ac,3,0.0,0.0,1.0438797266740801e-5,1.0438797266740801e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 oil,3,142.0,4.659151329027208e-5,0.0,141.9999534084867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 onwind,3,2510.3313,6.912521869978002e-9,1.1656243668917937e-7,2510.3313001096494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 ror,3,9.9,2.1538352249661923e-8,0.0,9.899999978461649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 solar,3,1417.558037,1.3748062148601602e-8,1.0963477357885631e-7,1417.5580370958867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
