Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
CO2_Price_1,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,-279.0157308781978,0.0
AnnualSum,1515.4605446502394,803016.6648728236,307452.0718856771,0.24870157054654288,11971.255093872456,43923.3185704153,462487.36052751413,73462.14284718447,13099.805702128238,74015.61124357066,144967.27613409955,50927.63759834535,696345.4144118427,414456.26603572984,28799.464202131887,298646.35336689284,166179.41340218193,264377.95639944007,912536.8603681399,21.241174326534203,0.24228157831298555,180245.67646567812,721224.2940134685,289577.26349163486,230473.5835398749,1.051800672543189e6,263226.6126965608,1853.2504180970252,0.0,164551.7530700579,196610.28101834215,0.0,184775.30137048653,0.0,0.0,8873.288011529934,0.061717607455559084,0.0,0.0,0.0,0.0,47503.099924395814,129048.77060972882,152388.67580502582,0.0,0.0,108191.2586371603,0.0,0.16476212273981125,0.0,2.188802243502645e6,0.0,84145.59330553068,0.07703832042111045,270188.1874715481,1.1068890432997383e6,1.1279537127420835e6,281826.89913530747,426515.09406014957,627572.2210842138,304301.24901607825,62819.80323930141,0.14749210266776613,668444.314718632,1.0395438133291752e6,401012.7005411105,1.1704949647057166e6,189093.61093526313,519051.64151377697,2.7493218292072997e6,465666.32631578064,3.179816676568489e6,560886.8109032576,666270.5376674093,1.145131028315648e6,5110.621841466594,2.773940522140912e7
t1,4.171449247291993e-6,5.215742009884208e-6,4.521103079786805e-6,2.1244413056413803e-6,3.2234382591514905e-6,2.1491000961565192e-6,5.447613790232331e-6,4.596588110278522e-6,3.5673965141765176e-6,3.3309174536317555e-6,3.346213427216116e-6,3.242284054048344e-6,3.2735109212222028e-6,5.5815492780706265e-6,4.307107273959593e-6,4.5578886272221415e-6,4.150786874011985e-6,3.937516117633878e-6,5.447940599178189e-6,3.339546621248812e-6,2.4168566116770054e-6,4.843385190998389e-6,4.740910594527208e-6,4.610084309582056e-6,3.1329353161163128e-6,2.0835600351484402e-6,3.3678481013812026e-6,3.363472018918224e-6,0.0,3.5038897572652984e-6,2.0628454568260025e-6,0.0,1.3385331705417038e-6,0.0,0.0,9.930389986932915e-7,1.4454349891525446e-6,0.0,0.0,0.0,0.0,2.2360574103523004e-6,1.3404607431609506e-6,2.3059288549301236e-6,0.0,0.0,2.078709339333999e-6,0.0,2.2962420510727444e-6,0.0,2.444069960726209e-6,0.0,2.121885443923355e-6,1.022204554554252e-6,1.0971080755004156e-6,2.056576509774555e-6,2.327162025608665e-6,1.0970557624686463e-6,3.1638655523955054e-6,1.041099132738989e-6,3.0345781431576592e-6,2.5431648854618494e-6,2.199348649474963e-6,80.13481272079504,1.7623579017729305,26.63098373813646,1.7623661076633916,5.7016132676058234e-5,2.2799128204223404e-5,38.08623230333981,1.6644374057902571,224.8952061585753,70.75463977686033,78.71344665990391,5.091227260843835,3.3934009772845277e-6,529.4959450827885
t2,4.172702632650189e-6,5.215506501799806e-6,4.5209333181894645e-6,2.125238624053457e-6,3.2237781694961507e-6,2.149717056775193e-6,5.447295654857848e-6,4.596864868075783e-6,3.5670231743087836e-6,3.330691479178967e-6,3.347209455687236e-6,3.2430636679245775e-6,3.2740650086900653e-6,5.581137445365001e-6,4.3079595120468746e-6,4.557280724491685e-6,4.1505242079543306e-6,3.9384416090632335e-6,5.448746760666e-6,3.340036470515095e-6,2.3973028718919573e-6,4.813465240240284e-6,4.712053475374854e-6,4.572187012192804e-6,3.1015799013002278e-6,2.0599838717174994e-6,3.3327485058840046e-6,3.3369808145602027e-6,0.0,3.5046632986458704e-6,2.064644595253945e-6,0.0,1.3397997661323818e-6,0.0,0.0,9.931905529554607e-7,1.4458608562817097e-6,0.0,0.0,0.0,0.0,2.236186174594929e-6,1.3418033213515501e-6,2.3064801817388764e-6,0.0,0.0,2.080130152770432e-6,0.0,2.2975130496966086e-6,0.0,2.452650151755538e-6,0.0,2.1307207091445786e-6,1.0248706994173959e-6,1.1050931115240429e-6,2.065145638770205e-6,2.3365040133877785e-6,1.1049008651198516e-6,3.173263012044324e-6,1.0469338317556856e-6,3.0459936028451373e-6,2.5534210820531132e-6,2.2020322071341564e-6,80.1348121269059,1.76235738251757,26.63098270122867,1.7623649629350535,5.580563196445547e-5,2.1829139063762385e-5,38.086231037749286,1.6644374072477617,224.89520482790104,70.75463912849911,78.71344615897516,5.091226602896787,3.38676280347991e-6,529.4959350747091
t3,4.174448220891433e-6,5.217487552510844e-6,4.523113766211861e-6,2.126551126012298e-6,3.224673983528433e-6,2.1511901720430024e-6,5.44883479667686e-6,4.5981571102590785e-6,3.568904425200438e-6,3.3319644088005377e-6,3.3485329223123514e-6,3.2446848547448426e-6,3.2758614991985607e-6,5.5825685010531925e-6,4.309843029318464e-6,4.559384326893808e-6,4.1519491901897285e-6,3.940067402018173e-6,5.450932063066006e-6,3.3414417395213566e-6,2.394517890017413e-6,4.8070819531555264e-6,4.709129147897781e-6,4.564626020192165e-6,3.0952499409042e-6,2.0554088127824183e-6,3.3257771262839015e-6,3.3332497125725435e-6,0.0,3.505214905150045e-6,2.06627783181082e-6,0.0,1.3432878116917983e-6,0.0,0.0,9.930935027072609e-7,1.446936642453209e-6,0.0,0.0,0.0,0.0,2.2358504862837016e-6,1.3451677308876e-6,2.3072306761431266e-6,0.0,0.0,2.0823968373319925e-6,0.0,2.2990237775107627e-6,0.0,2.4587548394961036e-6,0.0,2.136261754475761e-6,1.027222149318188e-6,1.1103858368288839e-6,2.0714384873443317e-6,2.3428180924044724e-6,1.110027073307967e-6,3.179357584271272e-6,1.0510991139943642e-6,3.0527377246220577e-6,2.5601253311068714e-6,2.2037188968587035e-6,80.13481194098058,1.762357133070306,26.63098225136853,1.7623644968466403,5.5354590033340395e-5,2.1450861168172454e-5,38.086230536525434,1.6644374089568224,224.8952043424054,70.75463891417986,78.71344604857805,5.091226292445818,3.385706313682622e-6,529.4959313405737
t4,4.179737577904725e-6,5.223219735289477e-6,4.529200828250197e-6,2.1324687166709186e-6,3.227275464494901e-6,2.1559175749272876e-6,5.454102959246503e-6,4.602547369026198e-6,3.5745424465625475e-6,3.336348599844254e-6,3.3539612882791738e-6,3.24971788924658e-6,3.2805103615202726e-6,5.587716169316537e-6,4.315310029765291e-6,4.565515844118167e-6,4.157007286950605e-6,3.9451465996744185e-6,5.456317606465369e-6,3.345679791929189e-6,2.395356789545e-6,4.808778050088618e-6,4.710291730906923e-6,4.566468782084183e-6,3.0977732087340934e-6,2.056902783744215e-6,3.327822200130214e-6,3.334519125897208e-6,0.0,3.5056955963338443e-6,2.0760694553330976e-6,0.0,1.3556429379952269e-6,0.0,0.0,9.94073607952505e-7,1.4513296756089362e-6,0.0,0.0,0.0,0.0,2.2369982180690616e-6,1.3573988873340867e-6,2.3110263510733183e-6,0.0,0.0,2.0921374885961916e-6,0.0,2.307257357197759e-6,0.0,2.4724270788684934e-6,0.0,2.1501085176405257e-6,1.0318117326330417e-6,1.1192049920786706e-6,2.085576742037144e-6,2.3568136481848306e-6,1.1186052323962669e-6,3.1940750091520144e-6,1.0599198112001115e-6,3.068341297587977e-6,2.5741819644417455e-6,2.2085588825993512e-6,80.13481200719788,1.7623570578589238,26.63098209401971,1.762364328170524,5.523288034206483e-5,2.1363608590935258e-5,38.08623034804143,1.6644374124828445,224.89520418320282,70.75463895304863,78.71344617687899,5.091226174351127,3.386409050345182e-6,529.4959308155622
t5,4.191671936203377e-6,5.234844357542375e-6,4.543149026600916e-6,2.1437314711621893e-6,3.2321597991110423e-6,2.1669156711432974e-6,5.4659390978886e-6,4.612708127390807e-6,3.5877136671528108e-6,3.346660909465795e-6,3.3655942855476313e-6,3.261070412124823e-6,3.2908405369186834e-6,5.599398570878158e-6,4.3263694438937206e-6,4.578169396925883e-6,4.168937735341259e-6,3.956574063608685e-6,5.4678485182143845e-6,3.35530699004861e-6,2.4013706345713326e-6,4.819200288224863e-6,4.716553010044791e-6,4.577723498099365e-6,3.110992975263071e-6,2.0639387489486026e-6,3.339269491675922e-6,3.3415345206458495e-6,0.0,3.507135831843396e-6,2.0997253390637897e-6,0.0,1.3866156546643267e-6,0.0,0.0,9.968186798934523e-7,1.4622427365237336e-6,0.0,0.0,0.0,0.0,2.2403685312479368e-6,1.3883855497487584e-6,2.3185634548650603e-6,0.0,0.0,2.1160704508167754e-6,0.0,2.3270659740766727e-6,0.0,2.504385942682278e-6,0.0,2.1825342044323394e-6,1.0423904092911341e-6,1.140369924191189e-6,2.1167948319627815e-6,2.3894613892082322e-6,1.1396461450759946e-6,3.227352577910912e-6,1.0796677137644446e-6,3.1046195212063778e-6,2.6071974004389262e-6,2.220011874962089e-6,80.1348125241754,1.762357140737652,26.630982186365657,1.762364405664744,5.543976987257897e-5,2.153458328278328e-5,38.0862304577094,1.6644374207698958,224.89520435150365,70.75463942221342,78.71344713589708,5.091226211532438,3.3950496867630443e-6,529.4959344895835
t6,4.222237754994176e-6,5.264182768883279e-6,4.580168296070141e-6,2.1733902443855495e-6,3.2448923642766917e-6,2.195976080251504e-6,5.4968918726858206e-6,4.642906880032438e-6,3.6232679305943575e-6,3.3751983826205056e-6,3.3961802866152073e-6,3.2907755857935277e-6,3.3177911869516752e-6,5.630957068883251e-6,4.355347393183262e-6,4.614612542301563e-6,4.200274110955827e-6,3.986937708021997e-6,5.496656529146253e-6,3.3837860257136665e-6,2.4225993553733228e-6,4.858783730419035e-6,4.749750474249898e-6,4.626964919652109e-6,3.1614170281597244e-6,2.0920937476311888e-6,3.3870547324477893e-6,3.3697225148946928e-6,0.0,3.5120761793911165e-6,2.1995109959856944e-6,0.0,1.4883151300249689e-6,0.0,0.0,1.0309241296912442e-6,1.5061785160654634e-6,0.0,0.0,0.0,0.0,2.285164046951793e-6,1.4892385551255526e-6,2.338748670982347e-6,0.0,0.0,2.216466351285894e-6,0.0,2.3974861237076673e-6,0.0,2.6130057559584106e-6,0.0,2.290157663521353e-6,1.0822030347196896e-6,1.2072918421689993e-6,2.2182277203382808e-6,2.5004747791257252e-6,1.2064422865839236e-6,3.3407641347198497e-6,1.140975038301224e-6,3.2436609845754254e-6,2.7204066548349988e-6,2.2674138754597425e-6,240.40442150602564,1.7623586641615465,26.63098518807909,1.762368549183778,6.768098709896842e-5,2.449403275548022e-5,38.08624103253689,1.6644374465911285,522.4180878918073,212.26389785284798,236.1403204000339,5.091227994523283,3.472948131999309e-6,1286.2245976297086
t7,4.3644073131839915e-6,5.406718112619076e-6,4.753273224284386e-6,2.2815263477177482e-6,3.3259882848573852e-6,2.3041425555887624e-6,5.6482833790383e-6,4.7635191473169025e-6,3.766189999763071e-6,3.486755985135562e-6,3.5124438838028526e-6,3.4081363940389035e-6,3.429718131939258e-6,5.783276273833073e-6,4.499152693646482e-6,4.786446339431294e-6,4.3387393425879055e-6,4.118536995617308e-6,5.645741321032029e-6,3.49651751010545e-6,2.427760799864954e-6,4.870382052634949e-6,4.75370772557192e-6,4.6406196716973664e-6,3.1755510906063705e-6,2.0987448645730636e-6,3.400741516223508e-6,3.3764900037456067e-6,0.0,3.519299602509374e-6,2.2194158909323212e-6,0.0,1.5164775812158772e-6,0.0,0.0,1.035268390644269e-6,1.5181576800131751e-6,0.0,0.0,0.0,0.0,2.290810630527436e-6,1.518541607454808e-6,2.4151870284556255e-6,0.0,0.0,2.2422709425767925e-6,0.0,2.4088046624264996e-6,0.0,2.648643275797899e-6,0.0,2.320119038474688e-6,1.0909380301097739e-6,1.2270976316247671e-6,2.250150006292274e-6,2.5350551191016275e-6,1.2264036924809865e-6,3.37238066792485e-6,1.1622077387362971e-6,3.284797015118312e-6,2.754763879717459e-6,2.278266161914528e-6,240.40442554333293,1.7623656883336785,26.63100384074938,1.762395258620884,0.00015554352593882424,4.901510363376342e-5,38.086289041152334,1.664437456092411,674.6856015556958,212.2639028736529,236.14032287145818,5.091239123889765,3.554581830992688e-6,1438.4923500647571
t8,4.382580883375058e-6,5.4274687920709615e-6,4.779513659855465e-6,2.295973445520308e-6,3.3335749528753373e-6,2.320780295104445e-6,5.669435338565797e-6,4.782018598899701e-6,3.7891831589521063e-6,3.50357625210087e-6,3.528549575136261e-6,3.425799880618437e-6,3.446991275657873e-6,5.803946252782633e-6,4.519131458051191e-6,4.810971429124694e-6,4.358533032072782e-6,4.1376226467169805e-6,5.6674298495182346e-6,3.5138091529880913e-6,2.4305206524875744e-6,4.875791148759303e-6,4.75822075903261e-6,4.647064330609616e-6,3.1821332504883396e-6,2.1033348842789036e-6,3.4076519415180153e-6,3.3808933922515568e-6,0.0,3.52452921943368e-6,2.2283693913444385e-6,0.0,1.5289951895506632e-6,0.0,0.0,1.0375478874145004e-6,1.5239736213046247e-6,0.0,0.0,0.0,0.0,2.293975947792716e-6,1.532039606677314e-6,2.4273870146990825e-6,0.0,0.0,2.253337233215677e-6,0.0,2.4073086399717703e-6,0.0,2.6588415058918765e-6,0.0,2.3283790125913663e-6,1.0926234380491879e-6,1.2316551638234823e-6,2.262944407531333e-6,2.5462589726680527e-6,1.231108331169711e-6,3.3808292117181498e-6,1.1708895653823494e-6,3.2962635102351347e-6,2.7632134647761018e-6,2.280491069305788e-6,240.40442437103684,1.7623652747816922,26.631002786600995,1.762394194844154,0.00015445443420287027,5.1058941085104814e-5,38.08628764697436,1.664437463124792,674.6856001933055,212.26390179956883,236.14032160895098,5.091238610133251,3.5479082795461355e-6,1438.4923422940667
