Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
t1,11.843763531397745,11.96658492330536,11.555935880939053,12.128986023076767,11.948273621273009,11.99848466677246,12.099450593418895,11.83803106064138,11.4758219163747,11.828878038033835,11.965130697617433,12.07418799262836,11.64286703973433,12.077889171725932,11.908867106296533,11.649837213631427,12.224968239127767,11.931360166267071,11.705467531954374,11.732638848438432,27.509265329552004,26.488166271962886,27.882946186583865,27.037744255973443,26.08304437627935,27.65231698251339,27.00801762831013,27.060326865687948,27.316681030259815,27.119621395715097,12.951408911678731,13.01345844772442,12.246795023097043,12.738796239179356,13.11635729028924,12.340077629718163,12.306036889852116,12.577422134124506,12.901493338735083,12.1985471624275,13.267039523274416,12.504174510658205,12.114345314951482,12.079794359222454,13.26004087661729,13.444754714759782,12.43519844660491,13.628823818364813,13.159566930155316,11.962743039011333,11.826692861615653,12.106152428373983,11.954966824256461,11.666885159712438,11.798752571046055,12.017556171147822,12.013704779110663,11.769213729127994,12.057083483334619,11.958333744811924,11.932660761313459,11.917985567630282,11.949335335188907,134.02011792081402,122.41624988960022,125.60371169702626,126.7151535049394,129.30098564630958,125.21933538731736,129.0658159900866,24.126880963484606,131.0878659917792,133.4355193645202,136.4545178467118,123.69788050641029,130.2556810360956
t2,11.829366943732577,11.793180707445133,11.38848227182667,12.164074777621327,11.933749997115669,11.983899995558602,11.924121061781893,11.771770613443785,11.30952921896536,11.657469294845779,11.999745425009321,12.059511307144518,11.577698970593234,11.902872079348448,11.894391369212594,11.481022902222255,12.0478198681171,11.916857094542253,11.63994907203454,11.666968308899099,23.82302667313417,23.279115177239127,24.621681535874902,23.762111585888064,22.923073949754404,24.302228598457138,23.73598634427088,23.434245777349243,24.121648280842567,27.118943208729384,12.95140850795141,13.013458017279198,12.282224597018622,12.738795802229399,13.116356864630973,12.34007720615902,12.306036466575716,12.577421701456627,12.901492911837865,12.23383715505321,13.26703908741723,12.504174081527417,12.14939171802256,12.114740804571948,13.260040496175025,13.4447542710131,12.43519801886354,13.628823367945424,13.159566493817222,11.99735087817594,11.860907112548356,12.14117514615916,11.954966415932267,11.700637116382403,11.832886019364267,12.052322567980637,12.048460049774285,11.80326171911089,12.057083071598855,11.99292881286477,11.96718155736234,11.952463925626484,11.983904415483822,133.91644352079723,122.41624987191058,125.3837143435258,126.61713004633374,129.20096185784266,125.21933534394589,128.96597409159887,24.12688096184704,130.98645990799974,133.33229719830072,136.34896025942993,123.69788048524448,130.02753566732008
t3,11.829366940283824,11.793118963972095,11.38842264416449,12.1142427014458,11.933749993759395,11.983899995208763,11.924058630422564,11.771708971290112,11.309470004936701,11.65740825896141,11.950586551194839,12.059511304543046,11.577638344502544,11.902809760052488,11.894391368823019,11.48096279043524,12.047756789786563,11.916857091729167,11.639888119974378,11.666907215557188,23.823026590206478,22.938754803341507,24.621681463154687,23.41468939624823,22.587919199601846,23.946909443434436,23.388946129328925,23.43424569383246,24.1216482097603,27.11928225077051,12.686317762226542,12.747097236147114,12.231908499156589,12.581690754446171,12.847889936646375,12.187889475965473,12.154268556537268,12.42230685169047,12.63742384386972,12.183719286142868,12.995487978709988,12.349962577513681,12.099619794005223,12.065110833344184,12.98863261948692,13.16956566889616,12.281837185391261,13.349867220313511,12.890215144374773,11.948201817610348,11.81231701675159,12.0914368932313,11.807528183642294,11.777544581481598,11.910662749483102,12.002948304744557,11.9991016167215,11.88084372787488,11.90838545433045,11.943797865384548,11.918156088626183,11.903498754389364,11.701754834064307,133.91644346859198,122.4162498593473,125.29333206973273,126.61712999777875,129.20096181048527,125.21933532816631,128.96597403057976,24.12688096112577,130.98645985841836,133.33229714905676,136.3489602061901,123.69788047203777,129.93380591626425
t4,11.978755729799444,11.942049833527001,11.51304677141947,12.351777795115519,12.084456999157332,12.135240338286454,12.054544251707515,11.900527429736393,11.433230147571255,11.784975909395415,12.184912686538574,12.21180650893985,11.704333118302683,12.033062852186609,12.044601339547656,11.606599589186123,12.179596045566276,12.067350767444065,11.767264096728715,11.794578823293875,23.823026594514488,22.938754724042653,24.621681382895794,23.41468931569282,22.587919121547742,23.946909361996877,23.388946052287373,23.43424569923054,24.12164813120281,27.119621084237778,12.951408492436796,13.01345801547145,12.47175078133925,12.844595242527546,13.116356846815965,12.442565171818053,12.408241713054512,12.681880880796893,12.901492910067459,12.422616671034058,13.267039068346834,12.608024920068214,12.33686817665332,12.301682552923307,13.260040464947963,13.444754251387062,12.53847598916861,13.628823347850629,13.159566474367146,12.18248120576256,12.04393198800441,12.141175343299102,12.054255928595332,11.881188835882343,12.015478467408654,12.23830116070461,12.234379024591552,11.985397031405183,12.157220692101747,12.177990904372445,12.151846345604183,12.136901593768368,11.804731840169213,133.91644357928908,122.41624986869908,125.2933322851188,126.61713009078343,129.2009619033071,125.21933534137456,128.965974144376,24.126880961709606,130.9864599654118,133.33229725966916,136.34896031898478,123.69788048200662,129.93380613941096
t5,12.0813455674319,12.044325296229882,11.708313533558885,12.42094357043552,12.18795209606164,12.239170363529574,12.15778323428214,11.935628028808681,11.62714318322746,11.885906224476763,12.253144078751173,12.316392264917429,11.920576731677768,12.136117859101315,12.147755103387642,11.706002234626265,12.283906010042699,12.170699357733662,11.984670392551145,11.829366927302408,23.823026605230844,22.938754760831657,24.621681424871905,23.414689353778357,22.587919158029383,23.94690940180284,23.388946091831187,23.434245710005175,24.121648172350632,27.119621058422247,12.951408724122738,13.086328954747408,12.541588373689189,12.916520618485285,13.11635707584983,12.512239315686417,12.477723655944803,12.75289510746871,12.973736883306236,12.49217912108983,13.267039284098232,12.678625582158478,12.421620652129215,12.3705678160401,13.26004086556335,13.444754473466318,12.608687197660421,13.628823574025985,13.15956667317684,12.266173073458056,12.126672044042783,12.143064167392687,12.121755677825666,11.88325540508281,12.017568396365581,12.322376495846328,12.236507031173618,11.987481726463143,12.225297008639625,12.26165191668903,12.235327750850988,12.13901264951653,11.806785101278477,134.4366530976068,122.41624989234627,125.60371239715276,126.9307899034785,129.70285372105747,125.43242622156085,129.46695317277954,24.12688096413718,131.49528771188582,133.85023760658063,136.87861915047375,123.69788051926352,130.25568176186346
t6,12.16461184680589,12.044325313236087,11.708313651525643,12.457561062811982,12.271953122655098,12.23917058287075,12.157783350362108,11.935628049491125,11.627143299414168,11.885906333405083,12.289266895751943,12.31639247825684,11.920576774524362,12.136117975562334,12.147755319419655,11.706002338846966,12.283906128005473,12.170699568285345,11.984670435756717,11.829366945823956,27.50926861348341,27.009282839796793,28.431502869949068,27.569672977310866,27.42879107519959,28.062619691052465,27.64172775871816,27.06032993037717,27.854097264710568,27.65316093283777,26.615915827103755,27.024088992159008,25.92876890876143,26.703912516323413,26.946964344891352,25.868092035111506,25.796733568629772,26.365629377752427,26.79157931209134,12.529006621314206,26.640910490998902,26.212082839337995,25.680744955083124,12.407036802803857,26.466710890427184,26.99777189091626,26.067490620762257,27.17565330750625,26.26616698757537,25.930395926744623,25.63549410732594,25.8420018956954,25.704773278719767,25.28909549756382,25.574930809727167,25.475565304577618,26.040860384187795,25.510902512375964,25.924337713919915,25.350021908519196,25.656812273844377,25.833379811162846,25.126356855808414,144.74044351812094,131.98377498579896,135.4203558295468,136.8511519514126,139.64382589340977,135.235682665201,139.38984493093795,27.3189013802682,141.5736395360431,144.10908269309974,147.3695721181771,133.36557234345983,140.4359030197584
t7,25.849093416510534,25.550887061605135,24.961825286510436,26.471593306658857,26.07718739304736,26.0075231887616,25.834580036763583,25.44645365325507,24.788772178163015,25.256857233919526,26.113977984096387,26.171615207430712,25.41436472695596,25.78854233505291,25.81327109292089,24.874571737479855,26.10258353471311,25.86202628217745,25.551010773038186,25.219907700418226,27.794215376894357,27.662317966206402,28.43150291668822,28.23625731290165,28.091969139569322,28.353298179854413,28.31005429874506,27.3406264925098,27.854097310823253,28.321763863268952,27.369474012332752,27.559486517707978,27.334958996932333,27.383806205738797,27.598492680975735,26.526705360168535,27.312236318955865,27.795511645742693,27.322370387327044,26.623410966406453,27.285039036527042,26.87945432595207,27.189433625742424,26.36423219099726,26.99106526712569,27.65052869534274,27.59889976791759,27.86755772557513,26.786548645783018,28.17476151167235,27.85433492381143,27.694376206834825,27.64008109577269,27.101836937357685,27.408161125536132,27.68056373861695,27.90748948528888,27.33954324710052,27.87617649866535,27.54415412421459,27.87749825962905,27.8391578216735,26.927433064921203,153.48366310588267,141.35825623854473,145.03892891481473,146.20915730441556,149.19279680022507,144.59507614187783,147.80985523132188,27.860139686732285,150.1255645464745,152.81416418168843,156.2716073619006,142.83819923268413,150.41071802335097
t8,26.066220694356097,25.934283513295245,25.47022371150141,26.563662677952003,26.29623061489027,26.39777157964429,26.22223337792275,25.904739819184776,25.29364602933085,25.653210424300088,26.33333024177774,26.56432583100397,25.87207297454036,26.121710539791188,26.200604688687733,25.26492578366367,26.439808911105327,26.250091455930836,26.0111799919798,25.67411380937123,28.563519312695714,28.427971174078063,29.218446003545587,29.017796337780062,28.869514472362457,29.13807672266747,29.093635916771053,28.097375739664784,28.62505864155811,29.10566958910424,28.090618819029576,28.285637856805085,28.055194664551834,28.183245420986967,28.36237930752085,27.30112248646431,28.109586131718334,28.527881906126584,28.04227407093891,26.847042354182758,28.04024970347652,27.66416955869493,27.983198351909504,26.585686533956892,27.702239554644045,28.41585558997492,28.40461839491522,28.681119518674993,27.492334225368715,28.30573822015584,27.983822059236164,27.823119735939464,27.758397319557886,27.101837122955757,27.40816131477314,28.488666444010406,28.037223719952593,27.33954343477428,27.995503354104823,28.348274509808405,28.287414508217104,27.839158020651674,26.927433251710934,153.48366296668968,141.35825626187534,145.0389289106691,146.2091573320477,149.19279679873202,147.95571120888093,147.80985517969978,28.594212783960447,150.12556448399732,152.81416411483886,156.27160682030993,142.83819923821966,150.4107180193121
t9,26.06622050643463,25.93428350968514,25.614618322906495,26.56366248384764,26.29623042468951,26.397771470262942,26.22223333961835,25.90473982381877,25.43703959481203,25.798642387755944,26.33333008050954,26.564325731873673,25.87207297272009,26.103500927195032,26.20060458544795,25.40815650369006,26.42137755033133,26.25009135782699,26.011179990074325,25.674113808912757,27.79421539711982,27.66231798666349,28.431502889644023,28.236257332206407,28.09196914655943,28.353298200838655,28.310054320404635,27.34062651184443,27.85409728522112,28.32176385006668,27.819337250959638,27.844953676049446,28.055195344941847,27.542530406987026,27.598491725835547,27.301123050497853,28.109586712661866,28.083423624502533,27.60538144615987,26.847042191515538,27.285038099855928,27.664170129993277,27.983198932238146,26.585686371243973,27.270644555205244,27.65052870407151,28.404618981899276,28.02908586151238,27.0640095065,28.30573820784081,27.983822056198104,27.823119722042534,27.75839785009557,27.07718681593772,27.383232392183764,28.48866703921205,28.03722370626908,27.31467692431691,27.995503890149983,28.348275102007293,28.287415052527496,27.8138370898634,26.902941574903384,132.9168521062706,123.65691964132603,125.60371235849912,126.93078984437534,129.2009619493544,128.44705234780307,128.00333450656893,28.148721073508245,130.0087387677843,132.3370660473648,131.6494193411609,125.51878995844504,126.67446866327309
t10,26.013997044266393,25.934283508896485,25.614618470574257,26.51044239224001,26.24354613699987,26.35383120839858,26.222233197671173,25.90473982815936,25.437039743208576,25.798642517844794,26.333330066166635,26.520108235304402,25.87207297017966,26.10350102517105,26.156992517311682,25.408156627469296,26.421377648762373,26.20639691712388,26.011179987381954,25.674113808787713,26.614464824783138,26.488165916414683,25.771787527911652,25.94975885014565,26.899580153140256,26.49798067068709,27.108408498510315,26.180128930280166,26.0314453019694,27.11962102698574,27.290775576007178,27.48024171736375,27.68772965288272,26.842765157089953,26.94757293109848,26.94353415717422,27.741408597547302,27.715588190594566,27.243807393312554,26.662482895058748,26.406973638445738,27.301826061778232,27.983198958123065,26.585686356353957,26.820148186641994,26.76070140302865,28.032576546763355,27.127076134842152,11.829366913559388,28.260580146255553,27.983822057273507,27.778731612899634,27.75839787286352,27.033988738086286,27.33954606343109,28.48866706646662,27.992494022359704,27.271099963603884,27.99550391357914,28.34827512913721,28.28741507699288,27.769463785686522,26.8600214878886,130.98861829412152,121.86302031433787,123.78157077412011,125.0893962875245,127.32663482228554,126.58366209827402,126.14638143332732,27.86013965914677,128.12269315136186,130.4172432245438,131.64941933003658,123.6978805255569,126.67446852585859
